rank	mrna name	mirna name	mirtigo score
1	ZNF117|51351	hsa-miR-23a-3p	0.0194102091441554
2	ZNF117|51351	hsa-miR-23b-3p	0.0157371806001515
3	ZNF107|51427	hsa-miR-23a-3p	0.0127273909850317
4	ZNF780B|163131	hsa-miR-181a-5p	0.0116253214712832
5	ZNF208|7757	hsa-miR-23a-3p	0.0104741531805599
6	ZNF107|51427	hsa-miR-23b-3p	0.0103725422109819
7	ZNF780B|163131	hsa-miR-181b-5p	0.0096425965857413
8	ZNF208|7757	hsa-miR-23b-3p	0.00844422868356309
9	ZNF780A|284323	hsa-miR-181a-5p	0.00781680295965821
10	ZNF91|7644	hsa-miR-23a-3p	0.00722667891960897
11	ZNF780A|284323	hsa-miR-181b-5p	0.00649506501221914
12	ZNF91|7644	hsa-miR-23b-3p	0.00585140366644509
13	ZNF780B|163131	hsa-miR-181c-5p	0.00555046513792105
14	ZNF844|284391	hsa-miR-181a-5p	0.00512881308936335
15	COL1A1|1277	hsa-miR-29a-3p	0.00494688643149111
16	IGF2|3481	hsa-miR-210-3p	0.00476719086511568
17	ZNF440|126070	hsa-miR-199a-5p	0.00466964161228422
18	ZNF780B|163131	hsa-miR-181d-5p	0.00456316935780497
19	ZNF594|84622	hsa-miR-181a-5p	0.00450674360960162
20	ZNF844|284391	hsa-miR-199a-5p	0.00449417026558307
21	ONECUT2|9480	hsa-miR-9-5p	0.0043848859590573
22	COL1A1|1277	hsa-miR-29c-3p	0.00426906242368444
23	ZNF721|170960	hsa-miR-23a-3p	0.004239341944619
24	ZNF844|284391	hsa-miR-181b-5p	0.0042383731172494
25	COL1A1|1277	hsa-miR-29b-3p	0.00423424925506701
26	ZNF776|284309	hsa-miR-199a-5p	0.00405097085442759
27	ZNF254|9534	hsa-miR-23a-3p	0.00386852832429649
28	ZNF594|84622	hsa-miR-181b-5p	0.0037487119736521
29	ZNF780A|284323	hsa-miR-181c-5p	0.00371568187072382
30	ZNF721|170960	hsa-miR-23b-3p	0.00345207487296026
31	ZNF700|90592	hsa-miR-199a-5p	0.00339012652535874
32	ZNF439|90594	hsa-miR-181a-5p	0.00336770902111853
