rank	mrna name	mirna name	mirtigo score
1	ZNF117|51351	hsa-miR-23a-3p	0.0874392995338963
2	ZNF117|51351	hsa-miR-23b-3p	0.0778849627622946
3	ZNF107|51427	hsa-miR-23a-3p	0.0645843389161814
4	ZNF208|7757	hsa-miR-23a-3p	0.0618537509009518
5	ZNF107|51427	hsa-miR-23b-3p	0.0578339784329386
6	ZNF208|7757	hsa-miR-23b-3p	0.0559167275078691
7	ZNF780B|163131	hsa-miR-181a-5p	0.0480152320010063
8	ZNF780B|163131	hsa-miR-181b-5p	0.0401589329703665
9	ZNF91|7644	hsa-miR-23a-3p	0.0356601636375077
10	ZNF440|126070	hsa-miR-199a-5p	0.0344821322490647
11	ZNF780A|284323	hsa-miR-181a-5p	0.0341591279082782
12	ZNF91|7644	hsa-miR-23b-3p	0.0317088337832788
13	COL1A1|1277	hsa-miR-29a-3p	0.0310847426664853
14	ZNF780A|284323	hsa-miR-181b-5p	0.0285665732827498
15	COL1A1|1277	hsa-miR-29c-3p	0.0278235274135852
16	ZNF780B|163131	hsa-miR-181c-5p	0.0276346290287095
17	ZNF440|126070	hsa-miR-199b-5p	0.0275591535711873
18	COL1A1|1277	hsa-miR-29b-3p	0.0244409287214142
19	ZNF780B|163131	hsa-miR-181d-5p	0.0241454916327627
20	ZNF844|284391	hsa-miR-199a-5p	0.0237808831736746
21	ZNF776|284309	hsa-miR-199a-5p	0.0222723321087073
22	ZNF844|284391	hsa-miR-181a-5p	0.0210842182918352
23	ZNF721|170960	hsa-miR-23a-3p	0.0199597310431846
24	ZNF439|90594	hsa-miR-181a-5p	0.0199006347815256
25	ZNF594|84622	hsa-miR-181a-5p	0.0196690607170723
26	ZNF780A|284323	hsa-miR-181c-5p	0.0196455233817799
27	ZNF254|9534	hsa-miR-23a-3p	0.0193438829471392
28	ZNF700|90592	hsa-miR-199a-5p	0.0193331116613823
29	ZNF844|284391	hsa-miR-199b-5p	0.0190277209567401
30	ZNF544|27300	hsa-miR-199a-5p	0.018924348822809
31	ZNF440|126070	hsa-miR-181a-5p	0.0181250350470275
32	ZNF721|170960	hsa-miR-23b-3p	0.0178409956353733
33	ZNF776|284309	hsa-miR-199b-5p	0.0177839733786372
34	ZNF844|284391	hsa-miR-181b-5p	0.0176094207660225
35	ZNF254|9534	hsa-miR-23b-3p	0.0172319105678958
36	ZNF780A|284323	hsa-miR-181d-5p	0.0171332739947635
37	ZNF141|7700	hsa-miR-23a-3p	0.0167515005128699
38	ZNF439|90594	hsa-miR-181b-5p	0.0166238313751822
39	ZNF419|79744	hsa-miR-199a-5p	0.0166169039221826
40	ZNF594|84622	hsa-miR-181b-5p	0.0164922850212698
41	TET3|200424	hsa-miR-29a-3p	0.0156444403137322
42	ZNF700|90592	hsa-miR-199b-5p	0.0154773602924319
43	IGF2|3481	hsa-miR-210-3p	0.0154697396479314
44	ONECUT2|9480	hsa-miR-9-5p	0.0154532942790845
45	ZNF440|126070	hsa-miR-181b-5p	0.0151488100805887
46	ZNF544|27300	hsa-miR-199b-5p	0.0151085152015414
47	ZNF141|7700	hsa-miR-23b-3p	0.0149597212271354
48	ZNF439|90594	hsa-miR-199a-5p	0.0145375856344774
49	ZNF195|7748	hsa-miR-23a-3p	0.0142371380426757
50	ZNF700|90592	hsa-miR-181a-5p	0.0141055910051788
51	TET3|200424	hsa-miR-29c-3p	0.0140620943132474
52	ZNF419|79744	hsa-miR-199b-5p	0.013278712588065
53	ZNF257|113835	hsa-miR-23a-3p	0.0129803805704404
54	ZNF791|163049	hsa-miR-199a-5p	0.012583061321174
55	ZNF195|7748	hsa-miR-23b-3p	0.0125584115217068
56	ATP6AP2|10159	hsa-miR-148a-3p	0.0123729335831386
57	TET3|200424	hsa-miR-29b-3p	0.0123048516311282
58	ZNF844|284391	hsa-miR-181c-5p	0.012124220944703
59	ZNF700|90592	hsa-miR-181b-5p	0.0117866933714755
60	ZNF439|90594	hsa-miR-199b-5p	0.011636919231832
61	ZNF257|113835	hsa-miR-23b-3p	0.0116307920989464
62	ZNF85|7639	hsa-miR-23a-3p	0.0116252830125652
63	ZNF439|90594	hsa-miR-181c-5p	0.0115174514190878
64	ZNF594|84622	hsa-miR-181c-5p	0.011294092405291
65	ZNF788|388507	hsa-miR-181a-5p	0.0111419565602625
66	COL3A1|1281	hsa-miR-29a-3p	0.0109569043164688
67	ZNF117|51351	hsa-miR-130a-5p	0.0108334449075251
68	ZNF525|170958	hsa-miR-23a-3p	0.0108320681970097
69	ZFP14|57677	hsa-miR-181a-5p	0.0108173546189784
70	MDM4|4194	hsa-miR-34a-5p	0.0107897842664851
71	ZNF267|10308	hsa-miR-23a-3p	0.0107261321140426
72	FGFRL1|53834	hsa-miR-210-3p	0.0107061124003857
73	ZNF844|284391	hsa-miR-181d-5p	0.0106203603479859
74	ZNF225|7768	hsa-miR-23a-3p	0.0105360958508278
75	ZNF440|126070	hsa-miR-181c-5p	0.01041340762214
76	ZNF85|7639	hsa-miR-23b-3p	0.010341129378384
77	ZNF470|388566	hsa-miR-181a-5p	0.0102392311247758
78	ARID3B|10620	hsa-let-7a-5p	0.0101826318372878
79	ZNF100|163227	hsa-miR-23a-3p	0.0101439604341638
80	ZNF791|163049	hsa-miR-199b-5p	0.0100560259429396
81	ZNF439|90594	hsa-miR-181d-5p	0.0100519141725118
82	ZNF14|7561	hsa-miR-181a-5p	0.00999541942507631
83	ZNF594|84622	hsa-miR-181d-5p	0.00991648917393295
84	HMGA2|8091	hsa-let-7a-5p	0.00989279773336078
85	COL3A1|1281	hsa-miR-29c-3p	0.00987513181119101
86	ZNF267|10308	hsa-miR-23b-3p	0.00963388818462707
87	ARID3B|10620	hsa-let-7b-5p	0.00950147569776132
88	ZNF525|170958	hsa-miR-23b-3p	0.00940814509874062
89	DDIT4|54541	hsa-miR-22-3p	0.00930977901642919
90	ZNF788|388507	hsa-miR-181b-5p	0.0093074590736135
91	ZNF430|80264	hsa-miR-23a-3p	0.00924634662210638
92	ZNF225|7768	hsa-miR-23b-3p	0.00924028521498118
93	ARID3B|10620	hsa-let-7f-5p	0.00922424917756327
94	HMGA2|8091	hsa-let-7b-5p	0.00914421779631217
95	HSPB8|26353	hsa-miR-126-5p	0.00910516222612508
96	H3F3B|3021	hsa-miR-22-3p	0.0090973983082183
97	BOK|666	hsa-miR-24-3p	0.0090910733175491
98	COL1A2|1278	hsa-miR-29a-3p	0.00907885147499216
99	ZNF440|126070	hsa-miR-181d-5p	0.00907189098665748
100	ZFP14|57677	hsa-miR-181b-5p	0.00904561120902938
101	HOXA7|3204	hsa-miR-196b-5p	0.00903957483695454
102	ITM2B|9445	hsa-miR-143-3p	0.00901528905703714
103	ZNF681|148213	hsa-miR-23a-3p	0.00901150556103432
104	HMGA2|8091	hsa-let-7f-5p	0.00900684027721651
105	ZNF100|163227	hsa-miR-23b-3p	0.00891001077479807
106	CTTN|2017	hsa-miR-182-5p	0.00889195839883365
107	ZNF563|147837	hsa-miR-199a-5p	0.00888815101709653
108	ZFP36L1|677	hsa-miR-182-5p	0.00881759311999093
109	ZNF28|7576	hsa-miR-23a-3p	0.00881051664834993
110	RPSAP58|388524	hsa-miR-103a-3p	0.00871180796436022
111	COL3A1|1281	hsa-miR-29b-3p	0.00867000682550797
112	ENO1|2023	hsa-miR-22-3p	0.00862944260526747
113	RPL15|6138	hsa-miR-25-3p	0.00859093111624276
114	ZNF470|388566	hsa-miR-181b-5p	0.00857044297290289
115	RPL31|6160	hsa-miR-23a-3p	0.00854336332496676
116	ARL2|402	hsa-miR-16-5p	0.00852476440323717
117	CNPY2|10330	hsa-miR-30e-3p	0.00851721584137033
118	NAA20|51126	hsa-miR-22-3p	0.00846240800412755
119	TFRC|7037	hsa-miR-23a-3p	0.00843485486455954
120	ZNF788|388507	hsa-miR-199a-5p	0.00842819089416269
121	ZNF83|55769	hsa-miR-199a-5p	0.00840390755245912
122	FSCN1|6624	hsa-miR-145-5p	0.0083926420291654
123	RPL15|6138	hsa-miR-92a-3p	0.00836960585194029
124	ZNF14|7561	hsa-miR-181b-5p	0.00835744004101137
125	C17orf58|284018	hsa-miR-22-3p	0.00828128532882127
126	ZNF430|80264	hsa-miR-23b-3p	0.00818444380166094
127	NET1|10276	hsa-miR-22-3p	0.00815948060469835
128	FGFRL1|53834	hsa-miR-103a-3p	0.00815643722205023
129	FLOT1|10211	hsa-miR-182-5p	0.00813214760933183
130	COL1A2|1278	hsa-miR-29c-3p	0.00812693010320885
131	ARL2|402	hsa-miR-15b-5p	0.00812111045504445
132	DST|667	hsa-miR-93-3p	0.00811705006102286
133	ZNF700|90592	hsa-miR-181c-5p	0.00811587308876223
134	RPL14|9045	hsa-miR-16-5p	0.00811294968293913
135	ZNF681|148213	hsa-miR-23b-3p	0.00805369945485491
136	ZNF140|7699	hsa-miR-181a-5p	0.00804022383508308
137	MBOAT7|79143	hsa-miR-23a-3p	0.00802849583449537
138	ZIK1|284307	hsa-miR-199a-5p	0.00801577968645249
139	ZNF772|400720	hsa-miR-199a-5p	0.00799063230226158
140	TET2|54790	hsa-miR-29a-3p	0.0079547520794568
141	ZNF107|51427	hsa-miR-130a-5p	0.00795327819412599
142	ZNF708|7562	hsa-miR-23a-3p	0.00795307931865747
143	GIGYF1|64599	hsa-miR-361-3p	0.00785551367155171
144	CD69|969	hsa-miR-25-3p	0.00782964273332765
145	TFRC|7037	hsa-miR-103a-3p	0.0078257087933703
146	PNRC2|55629	hsa-miR-23a-3p	0.00781347630423931
147	ZNF781|163115	hsa-miR-181a-5p	0.00774364275460345
148	ZNF28|7576	hsa-miR-23b-3p	0.00773705257983082
149	TPT1|7178	hsa-miR-181a-2-3p	0.00772399975274138
150	CD69|969	hsa-miR-92a-3p	0.00770925747839024
151	ARID3B|10620	hsa-let-7e-5p	0.00769944697449526
152	ARL2|402	hsa-miR-15a-5p	0.00769491294374724
153	GLRX5|51218	hsa-miR-148a-3p	0.00767554630434819
