rank	mrna name	mirna name	mirtigo score
1	ZNF117|51351	hsa-miR-23a-3p	0.160183431189639
2	ZNF208|7757	hsa-miR-23a-3p	0.156243022985534
3	ZNF117|51351	hsa-miR-23b-3p	0.133191194961008
4	ZNF208|7757	hsa-miR-23b-3p	0.130861812661694
5	ZNF107|51427	hsa-miR-23a-3p	0.126050126901926
6	ZNF107|51427	hsa-miR-23b-3p	0.105293376269332
7	ZNF780B|163131	hsa-miR-181a-5p	0.0884018940230005
8	ZNF780B|163131	hsa-miR-181b-5p	0.0728815577481523
9	ZNF91|7644	hsa-miR-23a-3p	0.0705036157360045
10	ZNF780A|284323	hsa-miR-181a-5p	0.0632602753675087
11	ZNF440|126070	hsa-miR-199a-5p	0.0602143630385262
12	COL1A1|1277	hsa-miR-29a-3p	0.0586530431818956
13	ZNF91|7644	hsa-miR-23b-3p	0.0584875293435473
14	ZNF844|284391	hsa-miR-199a-5p	0.0566642535089228
15	COL1A1|1277	hsa-miR-29c-3p	0.0525436793762936
16	ZNF780B|163131	hsa-miR-181c-5p	0.052383376939557
17	ZNF780A|284323	hsa-miR-181b-5p	0.0521479402846344
18	ZNF99|7652	hsa-miR-23a-3p	0.0499579463685785
19	ZNF440|126070	hsa-miR-199b-5p	0.0477437759411168
20	ZNF776|284309	hsa-miR-199a-5p	0.0470148130677366
21	ZNF844|284391	hsa-miR-181a-5p	0.0462558190886674
22	COL1A1|1277	hsa-miR-29b-3p	0.0453469894768551
23	ZNF844|284391	hsa-miR-199b-5p	0.0449831996949955
24	ZNF780B|163131	hsa-miR-181d-5p	0.0445119508109197
25	ZNF99|7652	hsa-miR-23b-3p	0.0424164306008455
26	ZNF594|84622	hsa-miR-181a-5p	0.0400488092318155
27	ZNF844|284391	hsa-miR-181b-5p	0.0380807135109275
28	ZNF700|90592	hsa-miR-199a-5p	0.0380159369960436
29	ZNF544|27300	hsa-miR-199a-5p	0.0378584217724542
30	ZNF780A|284323	hsa-miR-181c-5p	0.0374128429183772
31	ZNF776|284309	hsa-miR-199b-5p	0.0372806820497723
32	ZNF721|170960	hsa-miR-23a-3p	0.0363638374013071
33	ZNF254|9534	hsa-miR-23a-3p	0.0352586125102213
34	ZNF439|90594	hsa-miR-181a-5p	0.0351627370178386
35	ZNF594|84622	hsa-miR-181b-5p	0.0330874148444009
36	ZNF419|79744	hsa-miR-199a-5p	0.0329745492402191
37	ZNF780A|284323	hsa-miR-181d-5p	0.0316986894570776
38	ZNF141|7700	hsa-miR-23a-3p	0.0310219760517104
39	ZNF721|170960	hsa-miR-23b-3p	0.0303811432696333
40	ZNF700|90592	hsa-miR-199b-5p	0.0302114500007216
41	ZNF544|27300	hsa-miR-199b-5p	0.0300209873590914
42	ZNF254|9534	hsa-miR-23b-3p	0.029256074094442
43	ZNF440|126070	hsa-miR-181a-5p	0.0290746438215281
44	ZNF439|90594	hsa-miR-181b-5p	0.0289926002998891
