rank	mrna name	mirna name	mirtigo score
1	ZNF117|51351	hsa-miR-23a-3p	0.0627304208065995
2	ZNF117|51351	hsa-miR-23b-3p	0.055673727920042
3	ZNF107|51427	hsa-miR-23a-3p	0.0489699806267375
4	ZNF107|51427	hsa-miR-23b-3p	0.0436293590764619
5	ZNF780B|163131	hsa-miR-181a-5p	0.0349302553792558
6	ZNF780B|163131	hsa-miR-181b-5p	0.0289396004260232
7	ZNF780A|284323	hsa-miR-181a-5p	0.0262890027041926
8	ZNF440|126070	hsa-miR-199a-5p	0.0247383985014619
9	ZNF208|7757	hsa-miR-23a-3p	0.0245750626668513
10	COL1A1|1277	hsa-miR-29a-3p	0.0228105716917252
11	ZNF208|7757	hsa-miR-23b-3p	0.0221346509314148
12	ZNF780A|284323	hsa-miR-181b-5p	0.0217777142681311
13	ZNF780B|163131	hsa-miR-181c-5p	0.0212701546727217
14	ZNF91|7644	hsa-miR-23a-3p	0.0208563105488908
15	ZNF440|126070	hsa-miR-199b-5p	0.0200349313629335
16	COL1A1|1277	hsa-miR-29c-3p	0.019602583140137
17	ZNF91|7644	hsa-miR-23b-3p	0.0184375022977408
18	ZNF780B|163131	hsa-miR-181d-5p	0.0171845494745347
19	COL1A1|1277	hsa-miR-29b-3p	0.0171089386848815
20	ZNF780A|284323	hsa-miR-181c-5p	0.0159931632586288
21	ONECUT2|9480	hsa-miR-9-5p	0.0159519591937492
22	ZNF721|170960	hsa-miR-23a-3p	0.0159462556411262
23	ZNF700|90592	hsa-miR-199a-5p	0.0156347970657617
24	ZNF544|27300	hsa-miR-199a-5p	0.015105880346745
25	ZNF776|284309	hsa-miR-199a-5p	0.0148781314430934
26	ZNF594|84622	hsa-miR-181a-5p	0.0146727575696415
27	ZNF721|170960	hsa-miR-23b-3p	0.0142020723759719
28	ZNF844|284391	hsa-miR-199a-5p	0.0141727637173082
29	ZNF141|7700	hsa-miR-23a-3p	0.0130568771425952
30	ZNF780A|284323	hsa-miR-181d-5p	0.0128858618301895
31	ZNF700|90592	hsa-miR-199b-5p	0.0126660463866255
32	ZNF440|126070	hsa-miR-181a-5p	0.0124888400670044
33	TET3|200424	hsa-miR-29a-3p	0.0123443000173846
34	ZNF544|27300	hsa-miR-199b-5p	0.0122072165797635
35	ZNF594|84622	hsa-miR-181b-5p	0.0121953864341945
36	ZNF844|284391	hsa-miR-181a-5p	0.0121572148321579
37	ZNF776|284309	hsa-miR-199b-5p	0.012021368875908
38	ZNF254|9534	hsa-miR-23a-3p	0.011801401884391
39	ZNF141|7700	hsa-miR-23b-3p	0.0115855105834948
40	ZNF844|284391	hsa-miR-199b-5p	0.0114729473224694
41	ZNF195|7748	hsa-miR-23a-3p	0.0110768500722947
42	ZNF700|90592	hsa-miR-181a-5p	0.0109872574020078
43	ZNF117|51351	hsa-miR-130a-5p	0.0107463923038559
44	TET3|200424	hsa-miR-29c-3p	0.0105634129609048
