rank	mrna name	mirna name	mirtigo score
1	ZNF117|51351	hsa-miR-23a-3p	0.0100169406348973
2	ZNF117|51351	hsa-miR-23b-3p	0.00896256416124552
3	ZNF208|7757	hsa-miR-23a-3p	0.00773691712030589
4	ZNF107|51427	hsa-miR-23a-3p	0.00724418335911809
5	ZNF208|7757	hsa-miR-23b-3p	0.00696504110478043
6	ZNF107|51427	hsa-miR-23b-3p	0.0064953887821779
7	ZNF780B|163131	hsa-miR-181a-5p	0.00640641282940828
8	ZNF780B|163131	hsa-miR-181b-5p	0.00535557162395924
9	ZNF780A|284323	hsa-miR-181a-5p	0.00464189569709816
10	ZNF91|7644	hsa-miR-23a-3p	0.00442642955079029
11	ZNF91|7644	hsa-miR-23b-3p	0.00396912670405996
12	ZNF780A|284323	hsa-miR-181b-5p	0.0038784811125813
13	ZNF780B|163131	hsa-miR-181c-5p	0.00376625786302027
14	COL1A1|1277	hsa-miR-29a-3p	0.00369780485588482
15	ZNF440|126070	hsa-miR-199a-5p	0.00360069222788294
16	ZNF844|284391	hsa-miR-199a-5p	0.00323706283729042
17	COL1A1|1277	hsa-miR-29c-3p	0.00315152214500059
18	ZNF780B|163131	hsa-miR-181d-5p	0.0030763662482831
19	ONECUT2|9480	hsa-miR-9-5p	0.0030709603081454
20	ZNF776|284309	hsa-miR-199a-5p	0.00303579281158639
21	COL1A1|1277	hsa-miR-29b-3p	0.00294990010520318
22	ZNF844|284391	hsa-miR-181a-5p	0.00276947715570349
23	ZNF780A|284323	hsa-miR-181c-5p	0.00273050509033426
24	ZNF700|90592	hsa-miR-199a-5p	0.00272471932852779
25	ZNF594|84622	hsa-miR-181a-5p	0.00270493452579536
26	ZNF721|170960	hsa-miR-23a-3p	0.00249930227955624
27	ZNF544|27300	hsa-miR-199a-5p	0.00237116945011425
28	ZNF254|9534	hsa-miR-23a-3p	0.0023633928478487
29	ZNF440|126070	hsa-miR-199b-5p	0.00233304517159611
30	ZNF844|284391	hsa-miR-181b-5p	0.00230735050721327
31	ZNF594|84622	hsa-miR-181b-5p	0.00227281572801626
32	ZNF419|79744	hsa-miR-199a-5p	0.00226275817069122
33	ZNF721|170960	hsa-miR-23b-3p	0.00225822320969871
34	ZNF780A|284323	hsa-miR-181d-5p	0.00222451363655607
35	ZNF254|9534	hsa-miR-23b-3p	0.00212807513174233
36	ZNF141|7700	hsa-miR-23a-3p	0.00211133289916084
37	ZNF439|90594	hsa-miR-181a-5p	0.00210362265211124
38	ZNF844|284391	hsa-miR-199b-5p	0.00208126292213105
39	ZNF117|51351	hsa-miR-23c	0.00196108065993249
40	ZNF776|284309	hsa-miR-199b-5p	0.00195905463590967
41	ZNF700|90592	hsa-miR-181a-5p	0.00191641043846895
42	ZNF141|7700	hsa-miR-23b-3p	0.00189820843620674
43	IGF2|3481	hsa-miR-210-3p	0.00186252859170144
