rank	mrna name	mirna name	mirtigo score
1	ZNF117|51351	hsa-miR-23a-3p	0.0429953661985381
2	ZNF117|51351	hsa-miR-23b-3p	0.0376920142186821
3	ZNF107|51427	hsa-miR-23a-3p	0.0348029822433313
4	ZNF107|51427	hsa-miR-23b-3p	0.0306300623699961
5	ZNF780B|163131	hsa-miR-181a-5p	0.0254893523270752
6	ZNF208|7757	hsa-miR-23a-3p	0.0252654057267604
7	ZNF208|7757	hsa-miR-23b-3p	0.0224336928726689
8	ZNF780B|163131	hsa-miR-181b-5p	0.0214593662491942
9	ZNF91|7644	hsa-miR-23a-3p	0.0211996330720827
10	ZNF91|7644	hsa-miR-23b-3p	0.0185203590156914
11	COL1A1|1277	hsa-miR-29a-3p	0.0182810897279444
12	ZNF780A|284323	hsa-miR-181a-5p	0.0178074365150035
13	ZNF440|126070	hsa-miR-199a-5p	0.0169940662024389
14	ZNF780B|163131	hsa-miR-181c-5p	0.0152030678436442
15	ZNF780A|284323	hsa-miR-181b-5p	0.0149907626822595
16	ZNF780B|163131	hsa-miR-181d-5p	0.0146746762100315
17	COL1A1|1277	hsa-miR-29c-3p	0.0145336665843643
18	COL1A1|1277	hsa-miR-29b-3p	0.0132426646175604
19	ZNF440|126070	hsa-miR-199b-5p	0.0129890351269161
20	ZNF844|284391	hsa-miR-199a-5p	0.0125655904968829
21	ZNF776|284309	hsa-miR-199a-5p	0.0114996253509085
22	ZNF844|284391	hsa-miR-181a-5p	0.0111066272603722
23	ZNF721|170960	hsa-miR-23a-3p	0.0110478720226569
24	ZNF780A|284323	hsa-miR-181c-5p	0.0106172657136529
25	ZNF780A|284323	hsa-miR-181d-5p	0.0102188866717971
26	ZNF254|9534	hsa-miR-23a-3p	0.0102042951591444
27	ZNF700|90592	hsa-miR-199a-5p	0.0101377268573617
28	ZNF721|170960	hsa-miR-23b-3p	0.00972052466852738
29	HMGA2|8091	hsa-let-7a-5p	0.00968800149748931
30	ZNF844|284391	hsa-miR-199b-5p	0.00964468400183346
31	ZNF844|284391	hsa-miR-181b-5p	0.00934841157028399
32	ZNF594|84622	hsa-miR-181a-5p	0.00928987835729286
33	ZNF544|27300	hsa-miR-199a-5p	0.00922353932558286
34	HMGA2|8091	hsa-let-7f-5p	0.00912408757913066
35	TET3|200424	hsa-miR-29a-3p	0.00895497936827112
36	HMGA2|8091	hsa-let-7b-5p	0.00893497380213003
37	ZNF254|9534	hsa-miR-23b-3p	0.0089261254280783
38	ZNF440|126070	hsa-miR-181a-5p	0.00887669563689734
39	ZNF776|284309	hsa-miR-199b-5p	0.00879485494361577
40	ONECUT2|9480	hsa-miR-9-5p	0.00855717790394271
41	ZNF141|7700	hsa-miR-23a-3p	0.00852606409423136
42	ZNF195|7748	hsa-miR-23a-3p	0.0081864969047473
43	ZNF439|90594	hsa-miR-181a-5p	0.00794603415654596
44	ZNF594|84622	hsa-miR-181b-5p	0.00784154232790141
45	ZNF700|90592	hsa-miR-199b-5p	0.00776668352309796
46	ZNF141|7700	hsa-miR-23b-3p	0.0074741838005116
47	ZNF440|126070	hsa-miR-181b-5p	0.00747215090499409
48	ATP6AP2|10159	hsa-miR-148a-3p	0.00736358272933886
49	ZNF700|90592	hsa-miR-181a-5p	0.00736130559430208
50	ZNF419|79744	hsa-miR-199a-5p	0.00735858498759127
51	ZNF791|163049	hsa-miR-199a-5p	0.00719290248648036
52	ZNF195|7748	hsa-miR-23b-3p	0.0071025667886531
53	TET3|200424	hsa-miR-29c-3p	0.00706644784265205
54	ZNF544|27300	hsa-miR-199b-5p	0.00704565385562971
55	FGFRL1|53834	hsa-miR-210-3p	0.00679706351167763
56	HMGA2|8091	hsa-let-7e-5p	0.00679351483279076
57	ZNF439|90594	hsa-miR-181b-5p	0.00668744784533719
58	ZNF844|284391	hsa-miR-181c-5p	0.00663066694414623
59	HMGA2|8091	hsa-let-7g-5p	0.00658540616706339
60	COL3A1|1281	hsa-miR-29a-3p	0.0065666824429564
61	HMGA2|8091	hsa-let-7i-5p	0.00655297407551488
62	TET3|200424	hsa-miR-29b-3p	0.00646370875938524
63	HOXA7|3204	hsa-miR-196b-5p	0.00646272004054326
64	IGF2|3481	hsa-miR-210-3p	0.00643846326537755
65	ZNF844|284391	hsa-miR-181d-5p	0.00642699200956923
66	HMGA2|8091	hsa-let-7c-5p	0.00634687219667955
67	ZNF700|90592	hsa-miR-181b-5p	0.00619761450619749
68	ZNF267|10308	hsa-miR-23a-3p	0.00601226239457861
69	ZNF439|90594	hsa-miR-199a-5p	0.00586463019887353
70	ARID3B|10620	hsa-let-7a-5p	0.00585354482585534
71	HMGA2|8091	hsa-let-7d-5p	0.00576270089044123
72	ZNF419|79744	hsa-miR-199b-5p	0.00564173353051747
73	PPP2R2D|55844	hsa-miR-1275	0.00561007536407808
74	ZNF525|170958	hsa-miR-23a-3p	0.00558024653061265
75	ZNF100|163227	hsa-miR-23a-3p	0.00554430269319363
76	ZNF594|84622	hsa-miR-181c-5p	0.00553845991443782
77	ZNF225|7768	hsa-miR-23a-3p	0.00553076793947663
78	ZNF791|163049	hsa-miR-199b-5p	0.00550910047918783
79	ZNF470|388566	hsa-miR-181a-5p	0.00548490117635538
80	ARID3B|10620	hsa-let-7b-5p	0.00545926001024645
81	ARID3B|10620	hsa-let-7f-5p	0.00545022169523284
82	ZFP14|57677	hsa-miR-181a-5p	0.00540780475959575
83	COL1A2|1278	hsa-miR-29a-3p	0.00538925258441355
84	ZNF594|84622	hsa-miR-181d-5p	0.00537434178304182
85	ZNF430|80264	hsa-miR-23a-3p	0.00534705333975574
86	FGFRL1|53834	hsa-miR-103a-3p	0.00533015512717184
87	ZNF267|10308	hsa-miR-23b-3p	0.00532318720790392
88	ZNF440|126070	hsa-miR-181c-5p	0.00527036882047594
89	COL3A1|1281	hsa-miR-29c-3p	0.00525782875392621
90	MDM4|4194	hsa-miR-34a-5p	0.0052253313983752
91	HIST2H2AA3|8337	hsa-miR-1247-5p	0.00521998224314537
92	ITM2B|9445	hsa-miR-143-3p	0.00514181958277647
93	TFRC|7037	hsa-miR-23a-3p	0.00507742345742213
94	ZNF440|126070	hsa-miR-181d-5p	0.00507059590356883
95	ZNF14|7561	hsa-miR-181a-5p	0.00499372136116241
96	BOK|666	hsa-miR-24-3p	0.00498744497260025
97	ZNF788|388507	hsa-miR-181a-5p	0.00495293980657971
98	ZNF28|7576	hsa-miR-23a-3p	0.00492300372327883
99	RPL15|6138	hsa-miR-92a-3p	0.00489695008552508
100	HOXA7|3204	hsa-miR-196a-5p	0.0048934259472336
101	ZNF563|147837	hsa-miR-199a-5p	0.00488259666288777
102	CNPY2|10330	hsa-miR-30e-3p	0.00480847828916176
103	ZNF439|90594	hsa-miR-181c-5p	0.00479572343259094
104	RPL31|6160	hsa-miR-23a-3p	0.00479322913190814
105	COL3A1|1281	hsa-miR-29b-3p	0.00478755427282853
106	ZNF100|163227	hsa-miR-23b-3p	0.00478719460618311
107	ZNF525|170958	hsa-miR-23b-3p	0.00477485244801015
108	ZNF225|7768	hsa-miR-23b-3p	0.00477056657113717
109	RPL15|6138	hsa-miR-25-3p	0.00473583184900859
110	ZNF208|7757	hsa-miR-135b-3p	0.00470871872252487
