rank	mrna name	mirna name	mirtigo score
1	ZNF117|51351	hsa-miR-23a-3p	0.00561793757170265
2	ZNF107|51427	hsa-miR-23a-3p	0.00535032460214507
3	ZNF208|7757	hsa-miR-23a-3p	0.00445842452306233
4	ZNF117|51351	hsa-miR-23b-3p	0.0042268683516905
5	ZNF780B|163131	hsa-miR-181a-5p	0.00415293750062252
6	ZNF107|51427	hsa-miR-23b-3p	0.00404247552847438
7	ZNF208|7757	hsa-miR-23b-3p	0.00336035298429455
8	ZNF780B|163131	hsa-miR-181b-5p	0.00322230550290227
9	ZNF780A|284323	hsa-miR-181a-5p	0.00312326186201281
10	ZNF91|7644	hsa-miR-23a-3p	0.00261648851189376
11	COL1A1|1277	hsa-miR-29a-3p	0.00243287545652394
12	ZNF780A|284323	hsa-miR-181b-5p	0.00242450397130895
13	ZNF780B|163131	hsa-miR-181c-5p	0.00218811781448384
14	COL1A1|1277	hsa-miR-29c-3p	0.00209273667952469
15	COL1A1|1277	hsa-miR-29b-3p	0.00204226646392462
16	ZNF440|126070	hsa-miR-199a-5p	0.0020281857365565
17	ZNF91|7644	hsa-miR-23b-3p	0.00196533039521297
18	ZNF594|84622	hsa-miR-181a-5p	0.00188407981587746
19	ZNF439|90594	hsa-miR-181a-5p	0.00180961104558836
20	ZNF844|284391	hsa-miR-181a-5p	0.00165636028663916
21	ZNF780A|284323	hsa-miR-181c-5p	0.00164715326671084
22	ZNF844|284391	hsa-miR-199a-5p	0.00162150566030565
23	ZNF721|170960	hsa-miR-23a-3p	0.00160485428324813
24	ZNF700|90592	hsa-miR-199a-5p	0.00158613093913307
25	ZNF776|284309	hsa-miR-199a-5p	0.00154066410051252
26	ZNF440|126070	hsa-miR-199b-5p	0.00149507027745934
27	ZNF594|84622	hsa-miR-181b-5p	0.0014661246839406
28	ZNF544|27300	hsa-miR-199a-5p	0.0014600567740226
29	ZNF141|7700	hsa-miR-23a-3p	0.00142291317093452
30	ZNF439|90594	hsa-miR-181b-5p	0.0014058540214448
31	ZNF780B|163131	hsa-miR-181d-5p	0.0013335638322316
32	ZNF700|90592	hsa-miR-181a-5p	0.0013285403246624
33	ZNF844|284391	hsa-miR-181b-5p	0.00128680174684637
34	ZNF419|79744	hsa-miR-199a-5p	0.0012770592681775
35	ZNF254|9534	hsa-miR-23a-3p	0.00124657913791871
36	ZNF440|126070	hsa-miR-181a-5p	0.00122168240435326
37	ZNF721|170960	hsa-miR-23b-3p	0.00121460044041143
38	ZNF844|284391	hsa-miR-199b-5p	0.00119928864772071
39	ZNF700|90592	hsa-miR-199b-5p	0.00117532094739244
40	ZNF439|90594	hsa-miR-199a-5p	0.00115069720234544
41	ZNF788|388507	hsa-miR-181a-5p	0.0011385604645626
42	ZNF776|284309	hsa-miR-199b-5p	0.0011371441347782
43	TET3|200424	hsa-miR-29a-3p	0.00110433176149731
44	ZNF195|7748	hsa-miR-23a-3p	0.00108997685967071
45	ZNF544|27300	hsa-miR-199b-5p	0.00107701633751961
46	ZNF141|7700	hsa-miR-23b-3p	0.00107341904516779
47	ZNF700|90592	hsa-miR-181b-5p	0.00103126633960457
48	ATP6AP2|10159	hsa-miR-148a-3p	0.00101225083763329
49	ZNF780A|284323	hsa-miR-181d-5p	0.00100290380282003
50	ZNF594|84622	hsa-miR-181c-5p	0.000988929878557511
51	ZNF257|113835	hsa-miR-23a-3p	0.000985749254762913
52	ZNF439|90594	hsa-miR-181c-5p	0.000954986523794873
53	ZNF440|126070	hsa-miR-181b-5p	0.000948648295791974
54	ZNF85|7639	hsa-miR-23a-3p	0.000948542968182396
55	TET3|200424	hsa-miR-29c-3p	0.000944358800241589
56	ZNF419|79744	hsa-miR-199b-5p	0.000942323391914153
57	ZFP14|57677	hsa-miR-181a-5p	0.000941691757719256
