rank	mrna name	mirna name	mirtigo score
1	ZNF117|51351	hsa-miR-23a-3p	0.0369393626398495
2	ZNF117|51351	hsa-miR-23b-3p	0.0328956032103166
3	ZNF107|51427	hsa-miR-23a-3p	0.0266238468575042
4	ZNF107|51427	hsa-miR-23b-3p	0.0238194409196104
5	ZNF208|7757	hsa-miR-23a-3p	0.0226318980793494
6	ZNF208|7757	hsa-miR-23b-3p	0.020409844012475
7	ZNF780B|163131	hsa-miR-181a-5p	0.0196812442322671
8	ZNF780B|163131	hsa-miR-181b-5p	0.0164476547962668
9	ZNF91|7644	hsa-miR-23a-3p	0.0137883281220247
10	ZNF780A|284323	hsa-miR-181a-5p	0.0133027477278033
11	ZNF440|126070	hsa-miR-199a-5p	0.0128892354335933
12	COL1A1|1277	hsa-miR-29a-3p	0.0128489719447467
13	ZNF91|7644	hsa-miR-23b-3p	0.0122621524001756
14	ZNF780B|163131	hsa-miR-181c-5p	0.0111787672193421
15	ZNF780A|284323	hsa-miR-181b-5p	0.0111225834724441
16	COL1A1|1277	hsa-miR-29c-3p	0.0109741781441331
17	ZNF440|126070	hsa-miR-199b-5p	0.0105239161396496
18	COL1A1|1277	hsa-miR-29b-3p	0.010070470173599
19	ONECUT2|9480	hsa-miR-9-5p	0.00964739580573423
20	ZNF780B|163131	hsa-miR-181d-5p	0.00963219866065144
21	ZNF776|284309	hsa-miR-199a-5p	0.00899566297151934
22	ZNF844|284391	hsa-miR-199a-5p	0.00832278425092122
23	ZNF721|170960	hsa-miR-23a-3p	0.00811658821019882
24	ZNF594|84622	hsa-miR-181a-5p	0.00798437752018941
25	ZNF780A|284323	hsa-miR-181c-5p	0.00754759328383315
26	ZNF700|90592	hsa-miR-199a-5p	0.0074339326699385
27	ZNF544|27300	hsa-miR-199a-5p	0.00738892539217167
28	ZNF776|284309	hsa-miR-199b-5p	0.00734321513968312
29	ZNF844|284391	hsa-miR-181a-5p	0.00733366170475958
30	ZNF721|170960	hsa-miR-23b-3p	0.00726005320479143
31	HMGA2|8091	hsa-let-7a-5p	0.00697483739330738
32	TET3|200424	hsa-miR-29a-3p	0.00688763542505065
33	ZNF844|284391	hsa-miR-199b-5p	0.00683383730984371
34	ZNF440|126070	hsa-miR-181a-5p	0.00673583418967564
35	ZNF594|84622	hsa-miR-181b-5p	0.00668938956551321
36	ZNF254|9534	hsa-miR-23a-3p	0.00668628212091838
37	ZNF780A|284323	hsa-miR-181d-5p	0.00649257601810996
38	HMGA2|8091	hsa-let-7f-5p	0.00643094318460983
39	HMGA2|8091	hsa-let-7b-5p	0.00633188170976627
40	ZNF844|284391	hsa-miR-181b-5p	0.00612776583006274
41	ZNF141|7700	hsa-miR-23a-3p	0.00610346758016244
42	ZNF700|90592	hsa-miR-199b-5p	0.006080292772429
43	ZNF544|27300	hsa-miR-199b-5p	0.00603139415415224
44	ZNF791|163049	hsa-miR-199a-5p	0.00596779068187946
45	ZNF254|9534	hsa-miR-23b-3p	0.00594737932773035
46	TET3|200424	hsa-miR-29c-3p	0.00585812364735983
47	ZNF440|126070	hsa-miR-181b-5p	0.0056266999677599
48	ZNF195|7748	hsa-miR-23a-3p	0.00558928061233133
49	ZNF99|7652	hsa-miR-23a-3p	0.00552283857437604
50	ZNF141|7700	hsa-miR-23b-3p	0.00545382419039291
51	ZNF700|90592	hsa-miR-181a-5p	0.00540496390715262
52	ZNF439|90594	hsa-miR-181a-5p	0.00538835363181929
