rank	mrna name	mirna name	mirtigo score
1	ZNF117|51351	hsa-miR-23a-3p	0.0962698908863865
2	ZNF117|51351	hsa-miR-23b-3p	0.0898349632374982
3	ZNF780B|163131	hsa-miR-181a-5p	0.0787600515385337
4	ZNF208|7757	hsa-miR-23a-3p	0.0749765784818159
5	ZNF107|51427	hsa-miR-23a-3p	0.0738935730642643
6	ZNF208|7757	hsa-miR-23b-3p	0.0709570964016717
7	ZNF107|51427	hsa-miR-23b-3p	0.0691921655129364
8	ZNF780B|163131	hsa-miR-181b-5p	0.0659628414039121
9	ZNF780B|163131	hsa-miR-181c-5p	0.0538927490189363
10	ZNF780A|284323	hsa-miR-181a-5p	0.0530106942341648
11	ZNF99|7652	hsa-miR-23a-3p	0.0501491556344931
12	ZNF99|7652	hsa-miR-23b-3p	0.0474588525881889
13	ZNF780B|163131	hsa-miR-181d-5p	0.0471173205591287
14	ZNF780A|284323	hsa-miR-181b-5p	0.0443861560396211
15	ONECUT2|9480	hsa-miR-9-5p	0.044169452973999
16	ZNF91|7644	hsa-miR-23a-3p	0.043264504899857
17	ZNF91|7644	hsa-miR-23b-3p	0.0402618158582808
18	ZNF844|284391	hsa-miR-181a-5p	0.0390467167636652
19	ZNF780A|284323	hsa-miR-181c-5p	0.0363125117736733
20	ZNF594|84622	hsa-miR-181a-5p	0.0362687763310624
21	ZNF844|284391	hsa-miR-181b-5p	0.0326932470047666
22	ZNF439|90594	hsa-miR-181a-5p	0.0326681609897035
23	ZNF780A|284323	hsa-miR-181d-5p	0.0316859342805471
24	ZNF594|84622	hsa-miR-181b-5p	0.0304469327710892
25	ZNF439|90594	hsa-miR-181b-5p	0.0273628101732733
26	ZNF844|284391	hsa-miR-181c-5p	0.0266722222603393
27	ZNF594|84622	hsa-miR-181c-5p	0.0247796585260351
28	ZNF721|170960	hsa-miR-23a-3p	0.02440946177161
29	ZNF844|284391	hsa-miR-181d-5p	0.0233780067348793
30	ZNF440|126070	hsa-miR-181a-5p	0.0230190848307789
31	ZNF721|170960	hsa-miR-23b-3p	0.0228857382741103
32	ZNF254|9534	hsa-miR-23a-3p	0.0228460324744199
33	ZNF439|90594	hsa-miR-181c-5p	0.0223864092630173
34	COL1A1|1277	hsa-miR-29a-3p	0.0218116449909301
35	ZNF594|84622	hsa-miR-181d-5p	0.0217794969404494
36	ZNF254|9534	hsa-miR-23b-3p	0.0212691073667138
37	ZNF844|284391	hsa-miR-199a-5p	0.0210767115204797
38	ZNF440|126070	hsa-miR-199a-5p	0.0210747778423421
39	FN3K|64122	hsa-miR-92b-5p	0.0210560958464572
40	ZNF470|388566	hsa-miR-181a-5p	0.0207504289855289
41	TET3|200424	hsa-miR-29a-3p	0.0204807215637156
42	ZNF141|7700	hsa-miR-23a-3p	0.0201408119920857
43	ZNF676|163223	hsa-miR-23a-3p	0.019637704916859
44	ZNF788|388507	hsa-miR-181a-5p	0.0196009344344474
45	ZNF439|90594	hsa-miR-181d-5p	0.0195635350652851
46	ZNF700|90592	hsa-miR-181a-5p	0.0193629354161694
47	ZNF440|126070	hsa-miR-181b-5p	0.0192789790615406
48	ZNF141|7700	hsa-miR-23b-3p	0.0188101310229516
49	ZNF781|163115	hsa-miR-181a-5p	0.0185927184490878
50	ZNF676|163223	hsa-miR-23b-3p	0.0184564343249195
51	ZFP14|57677	hsa-miR-181a-5p	0.0183681620297512
52	COL1A1|1277	hsa-miR-29c-3p	0.017847280450995
53	ZNF470|388566	hsa-miR-181b-5p	0.0173828436811433
54	ZNF117|51351	hsa-miR-130a-5p	0.0173154681098747
55	ZNF776|284309	hsa-miR-199a-5p	0.016835530027238
56	TET3|200424	hsa-miR-29c-3p	0.0166977403754982
57	COL1A1|1277	hsa-miR-29b-3p	0.016628990294879
58	ZNF788|388507	hsa-miR-181b-5p	0.0164224294432816
59	ZNF700|90592	hsa-miR-181b-5p	0.01622009718653
60	ZNF14|7561	hsa-miR-181a-5p	0.0161588049350504
61	ZNF195|7748	hsa-miR-23a-3p	0.0160772001182313
62	ZNF440|126070	hsa-miR-181c-5p	0.0157148447225241
63	ZNF781|163115	hsa-miR-181b-5p	0.0155657543829119
64	TET3|200424	hsa-miR-29b-3p	0.0155342264765957
65	ZFP14|57677	hsa-miR-181b-5p	0.015379778665399
66	ZNF195|7748	hsa-miR-23b-3p	0.0148651943531498
67	SEC14L1|6397	hsa-miR-129-2-3p	0.014616613615262
68	ZNF257|113835	hsa-miR-23a-3p	0.0141204607506646
69	ZNF470|388566	hsa-miR-181c-5p	0.0140674016096936
70	HSPB8|26353	hsa-miR-126-5p	0.014060942427175
71	ZNF440|126070	hsa-miR-181d-5p	0.0137197606938614
72	ZNF208|7757	hsa-miR-130a-5p	0.0136520336074067
73	ZNF14|7561	hsa-miR-181b-5p	0.0135318753773941
74	ZNF107|51427	hsa-miR-130a-5p	0.0133895381107963
75	ZNF85|7639	hsa-miR-23a-3p	0.0133700063667734
76	ZNF788|388507	hsa-miR-181c-5p	0.0133171119055671
77	ZNF257|113835	hsa-miR-23b-3p	0.0132727599342057
78	ZNF700|90592	hsa-miR-181c-5p	0.0132428275580834
79	ZNF225|7768	hsa-miR-23a-3p	0.0132125107813834
80	ZNF419|79744	hsa-miR-199a-5p	0.0128264460631486
81	ZNF700|90592	hsa-miR-199a-5p	0.0127655305622683
82	ZNF781|163115	hsa-miR-181c-5p	0.0126666338611513
83	ZNF440|126070	hsa-miR-199b-5p	0.0126265582892623
84	ZNF844|284391	hsa-miR-199b-5p	0.0126110188900428
85	ZNF100|163227	hsa-miR-23a-3p	0.0125863287683452
86	ZNF544|27300	hsa-miR-199a-5p	0.0125678766775227
87	ZFP14|57677	hsa-miR-181c-5p	0.0125333206497549
88	MDM4|4194	hsa-miR-34a-5p	0.0124537022846816
89	ZNF85|7639	hsa-miR-23b-3p	0.0124503504715028
90	ZNF470|388566	hsa-miR-181d-5p	0.0123570540273799
91	ATP6AP2|10159	hsa-miR-148a-3p	0.0122535727325108
92	ZNF225|7768	hsa-miR-23b-3p	0.0121161700405364
93	ZNF140|7699	hsa-miR-181a-5p	0.0120380358747791
94	DST|667	hsa-miR-93-3p	0.0119721456089364
95	BOK|666	hsa-miR-296-5p	0.0119629331835034
96	APLN|8862	hsa-miR-16-5p	0.0119439029054395
97	IGF2|3481	hsa-miR-210-3p	0.0119338169412603
98	ZNF420|147923	hsa-miR-181a-5p	0.0118271352185589
99	CTNNA1|1495	hsa-miR-9-5p	0.0118234731391962
100	ZNF788|388507	hsa-miR-181d-5p	0.0116594902805816
101	ZNF100|163227	hsa-miR-23b-3p	0.0115631882921395
102	ZNF700|90592	hsa-miR-181d-5p	0.0115614383167283
103	FGFRL1|53834	hsa-miR-210-3p	0.0115338746863184
104	ARID3B|10620	hsa-let-7a-5p	0.0114857362078427
105	ZNF439|90594	hsa-miR-199a-5p	0.0114523593460967
106	FIGN|55137	hsa-let-7a-5p	0.0113991960285675
107	TET2|54790	hsa-miR-29a-3p	0.0113838620347196
108	ZNF430|80264	hsa-miR-23a-3p	0.0112340371524507
109	ZNF781|163115	hsa-miR-181d-5p	0.011143408193851
110	TPT1|7178	hsa-miR-181a-2-3p	0.0110956768141535
111	SPARC|6678	hsa-miR-29a-3p	0.0110902522692119
112	ZNF681|148213	hsa-miR-23a-3p	0.0110244997158191
113	ZNF267|10308	hsa-miR-23a-3p	0.0109937814798193
114	ZFP14|57677	hsa-miR-181d-5p	0.010973238847963
115	ZNF14|7561	hsa-miR-181c-5p	0.0109542385157012
116	ARID3B|10620	hsa-let-7b-5p	0.0108935280941997
117	ZNF266|10781	hsa-miR-181a-5p	0.0108847396123269
118	ARL2|402	hsa-miR-16-5p	0.0108372317189168
119	H3F3B|3021	hsa-miR-22-3p	0.0108066990130743
120	ZNF708|7562	hsa-miR-23a-3p	0.0108058561517635
121	FGFRL1|53834	hsa-miR-103a-3p	0.0107628164545883
122	ZNF594|84622	hsa-miR-188-3p	0.0107464755013336
123	TRIB2|28951	hsa-miR-29a-3p	0.0107361123134623
124	RNF38|152006	hsa-miR-103a-3p	0.0106078091717469
125	CNPY2|10330	hsa-miR-30a-3p	0.0105822424787584
126	DDIT4|54541	hsa-miR-22-3p	0.0105817139627081
127	FIGN|55137	hsa-let-7b-5p	0.0105717061264605
128	GIGYF1|64599	hsa-miR-361-3p	0.0105601256099732
129	TET1|80312	hsa-miR-29a-3p	0.0105481282325922
130	ZNF791|163049	hsa-miR-181a-5p	0.0104402315304423
