rank	mrna name	mirna name	mirtigo score
1	ZNF117|51351	hsa-miR-23a-3p	0.0896905067426755
2	ZNF117|51351	hsa-miR-23b-3p	0.0777035976922378
3	ZNF107|51427	hsa-miR-23a-3p	0.0629679487412901
4	ZNF107|51427	hsa-miR-23b-3p	0.0548234199404324
5	ZNF780B|163131	hsa-miR-181a-5p	0.0438296242603137
6	ZNF780B|163131	hsa-miR-181b-5p	0.0366975459854046
7	ZNF208|7757	hsa-miR-23a-3p	0.0362654809605466
8	COL1A1|1277	hsa-miR-29a-3p	0.0339482044143891
9	ZNF780A|284323	hsa-miR-181a-5p	0.0331355881670992
10	ZNF208|7757	hsa-miR-23b-3p	0.0317433452654027
11	ZNF440|126070	hsa-miR-199a-5p	0.0316755315972061
12	ZNF91|7644	hsa-miR-23a-3p	0.0307692107206273
13	COL1A1|1277	hsa-miR-29c-3p	0.0287167115130001
14	ZNF780A|284323	hsa-miR-181b-5p	0.0277556720396061
15	ZNF91|7644	hsa-miR-23b-3p	0.0266099546946005
16	ZNF440|126070	hsa-miR-199b-5p	0.0261518157253234
17	COL1A1|1277	hsa-miR-29b-3p	0.0250876278811995
18	ZNF780B|163131	hsa-miR-181c-5p	0.0247165961302633
19	ZNF776|284309	hsa-miR-199a-5p	0.0216588325873202
20	ZNF721|170960	hsa-miR-23a-3p	0.0203646532095484
21	ZNF780B|163131	hsa-miR-181d-5p	0.0202483643826084
22	HMGA2|8091	hsa-let-7a-5p	0.0199917454030972
23	HMGA2|8091	hsa-let-7b-5p	0.0189827920937277
24	ZNF544|27300	hsa-miR-199a-5p	0.0189641382303085
25	ZNF594|84622	hsa-miR-181a-5p	0.0187910317672359
26	ZNF780A|284323	hsa-miR-181c-5p	0.0186446410090097
27	ZNF844|284391	hsa-miR-199a-5p	0.0181915579353073
28	ZNF700|90592	hsa-miR-199a-5p	0.018158142630092
29	HMGA2|8091	hsa-let-7f-5p	0.0179493615030456
30	ZNF776|284309	hsa-miR-199b-5p	0.0178569261595159
31	ZNF721|170960	hsa-miR-23b-3p	0.0177274452057373
32	TET3|200424	hsa-miR-29a-3p	0.0170658475947346
33	ZNF440|126070	hsa-miR-181a-5p	0.0166595918354275
34	ZNF254|9534	hsa-miR-23a-3p	0.016338999606033
35	ZNF844|284391	hsa-miR-181a-5p	0.0161376339855916
36	ZNF594|84622	hsa-miR-181b-5p	0.0157885667390869
37	ZNF419|79744	hsa-miR-199a-5p	0.0156435363429146
38	ZNF544|27300	hsa-miR-199b-5p	0.0156408652235981
39	ZNF141|7700	hsa-miR-23a-3p	0.0154272164303538
40	ZNF780A|284323	hsa-miR-181d-5p	0.0152449717113484
41	ZNF844|284391	hsa-miR-199b-5p	0.0150711295516935
42	ZNF700|90592	hsa-miR-199b-5p	0.0150199442285524
43	HMGA2|8091	hsa-let-7c-5p	0.0145439942156432
44	TET3|200424	hsa-miR-29c-3p	0.0143822433026614
45	IGF2|3481	hsa-miR-210-3p	0.0142331371098735
46	ONECUT2|9480	hsa-miR-9-5p	0.0141651694072295
47	ZNF254|9534	hsa-miR-23b-3p	0.014146530885379
48	HMGA2|8091	hsa-let-7e-5p	0.0140825124772025
49	ZNF440|126070	hsa-miR-181b-5p	0.013956069476342
50	ZNF195|7748	hsa-miR-23a-3p	0.0137026069373495
51	ZNF844|284391	hsa-miR-181b-5p	0.0135287056371533
52	ZNF791|163049	hsa-miR-199a-5p	0.0134875402815447
53	ZNF141|7700	hsa-miR-23b-3p	0.013414939322902
54	ZNF700|90592	hsa-miR-181a-5p	0.0132860123443683
55	HMGA2|8091	hsa-let-7i-5p	0.0132053928021363
56	ZNF419|79744	hsa-miR-199b-5p	0.0129157602616624
57	HMGA2|8091	hsa-let-7g-5p	0.0128203580167564
58	ZNF439|90594	hsa-miR-181a-5p	0.0128114776217492
59	ATP6AP2|10159	hsa-miR-148a-3p	0.0126926489965441
60	TET3|200424	hsa-miR-29b-3p	0.012561216298496
61	COL3A1|1281	hsa-miR-29a-3p	0.0120292932498857
62	ZNF267|10308	hsa-miR-23a-3p	0.0119297524053903
63	HMGA2|8091	hsa-let-7d-5p	0.0117629327517669
64	ZNF195|7748	hsa-miR-23b-3p	0.0117603058464107
65	FGFRL1|53834	hsa-miR-210-3p	0.0117097454574662
66	ZNF117|51351	hsa-miR-130a-5p	0.0116919549154108
67	TPRXL|348825	hsa-miR-185-3p	0.011588225692685
68	ZNF791|163049	hsa-miR-199b-5p	0.0111434347039193
69	ZNF700|90592	hsa-miR-181b-5p	0.0111242762659062
70	ZNF439|90594	hsa-miR-181b-5p	0.0107326632267548
71	HSPB8|26353	hsa-miR-126-5p	0.010672934013342
72	ZNF225|7768	hsa-miR-23a-3p	0.0106044434976981
73	ZNF594|84622	hsa-miR-181c-5p	0.0105889333855561
74	ARID3B|10620	hsa-let-7a-5p	0.0105201259409736
75	ZNF267|10308	hsa-miR-23b-3p	0.0104414066650943
76	ZNF788|388507	hsa-miR-181a-5p	0.0103295757917117
77	COL3A1|1281	hsa-miR-29c-3p	0.0102498085487462
78	BOK|666	hsa-miR-24-3p	0.0101537539491106
79	ARID3B|10620	hsa-let-7b-5p	0.0101076092295562
80	ZNF430|80264	hsa-miR-23a-3p	0.0100462493257734
81	COL1A2|1278	hsa-miR-29a-3p	0.0098335927361531
82	DDIT4|54541	hsa-miR-22-3p	0.00978030571470592
83	H3F3B|3021	hsa-miR-22-3p	0.00943317343162407
84	ZNF525|170958	hsa-miR-23a-3p	0.00942225153340021
85	ENO1|2023	hsa-miR-22-3p	0.00940075634680525
86	ZNF439|90594	hsa-miR-199a-5p	0.00938740848761695
87	MDM4|4194	hsa-miR-34a-5p	0.00936285275573668
88	ZNF440|126070	hsa-miR-181c-5p	0.00935044323530796
89	ARID3B|10620	hsa-let-7f-5p	0.0093390531181104
90	TFRC|7037	hsa-miR-23a-3p	0.00932934062939462
91	HMGA2|8091	hsa-miR-98-5p	0.00929051628142296
92	CTTN|2017	hsa-miR-182-5p	0.00928272208897653
93	ITM2B|9445	hsa-miR-143-3p	0.00919689976374191
94	NAA20|51126	hsa-miR-22-3p	0.00915051867355854
95	ZNF844|284391	hsa-miR-181c-5p	0.00912935650114241
96	ZFP36L1|677	hsa-miR-182-5p	0.00912524169985212
97	ZNF225|7768	hsa-miR-23b-3p	0.00904691702406761
98	COL3A1|1281	hsa-miR-29b-3p	0.0089490098229783
99	ZNF85|7639	hsa-miR-23a-3p	0.00888108154980766
100	RPL31|6160	hsa-miR-23a-3p	0.00886538208010125
101	ZNF100|163227	hsa-miR-23a-3p	0.00883902879374649
102	ZFP14|57677	hsa-miR-181a-5p	0.00881793365091008
103	FSCN1|6624	hsa-miR-145-5p	0.00880514287317839
104	H3F3C|440093	hsa-miR-22-3p	0.00878800896201346
105	ARL2|402	hsa-miR-16-5p	0.00877234616489058
106	ZNF594|84622	hsa-miR-181d-5p	0.00875289023350096
107	HIST2H2AA3|8337	hsa-miR-1247-5p	0.00874317601614456
108	TET2|54790	hsa-miR-29a-3p	0.00868095253208929
109	ZNF788|388507	hsa-miR-181b-5p	0.00866513920306507
110	ZNF430|80264	hsa-miR-23b-3p	0.00865511438691714
111	DST|667	hsa-miR-93-3p	0.00857124047406052
112	RPSAP58|388524	hsa-miR-103a-3p	0.00851938183319364
