rank	mrna name	mirna name	mirtigo score
1	ZNF208|7757	hsa-miR-23a-3p	0.0193670396684983
2	ZNF208|7757	hsa-miR-23b-3p	0.0183091979754663
3	ZNF99|7652	hsa-miR-23a-3p	0.0175408956710058
4	ZNF99|7652	hsa-miR-23b-3p	0.0167424457411533
5	ZNF117|51351	hsa-miR-23a-3p	0.0141991715761798
6	ZNF117|51351	hsa-miR-23b-3p	0.0133112607497924
7	ZNF107|51427	hsa-miR-23a-3p	0.0115774628622707
8	ZNF107|51427	hsa-miR-23b-3p	0.0109068553793926
9	ZNF780B|163131	hsa-miR-181a-5p	0.00983857557832763
10	ZNF780B|163131	hsa-miR-181b-5p	0.00775760103761845
11	ZNF91|7644	hsa-miR-23a-3p	0.00772938574200805
12	ZNF91|7644	hsa-miR-23b-3p	0.00723042753495935
13	ZNF780A|284323	hsa-miR-181a-5p	0.00632899803258565
14	ZNF844|284391	hsa-miR-181a-5p	0.00564110246726315
15	ZNF780B|163131	hsa-miR-181c-5p	0.00502651936390751
16	ZNF780A|284323	hsa-miR-181b-5p	0.00499011242749801
17	COL1A1|1277	hsa-miR-29a-3p	0.00490031996799412
18	ZNF844|284391	hsa-miR-199a-5p	0.00489759593158853
19	ZNF844|284391	hsa-miR-181b-5p	0.00444400146534347
20	ZNF440|126070	hsa-miR-199a-5p	0.00437418917059546
21	ZNF721|170960	hsa-miR-23a-3p	0.00409459482903968
22	ZNF254|9534	hsa-miR-23a-3p	0.00405241077540327
23	COL1A1|1277	hsa-miR-29c-3p	0.0040455478867066
24	ZNF721|170960	hsa-miR-23b-3p	0.00385674220496661
25	ZNF439|90594	hsa-miR-181a-5p	0.00385032687612938
26	ZNF254|9534	hsa-miR-23b-3p	0.00379280309777159
27	COL1A1|1277	hsa-miR-29b-3p	0.0037740999334783
28	ZNF676|163223	hsa-miR-23a-3p	0.00376530941610616
29	ZNF594|84622	hsa-miR-181a-5p	0.00361591821924247
30	ZNF780B|163131	hsa-miR-181d-5p	0.00360688764686104
31	ZNF676|163223	hsa-miR-23b-3p	0.00357312511528499
32	ZNF141|7700	hsa-miR-23a-3p	0.00356867518580881
33	ZNF594|84622	hsa-miR-188-3p	0.00353315813033599
34	ZNF776|284309	hsa-miR-199a-5p	0.00340431166526448
35	ZNF780B|163131	hsa-miR-188-3p	0.00338618794874759
36	ZNF141|7700	hsa-miR-23b-3p	0.00335366251219927
37	ZNF780A|284323	hsa-miR-181c-5p	0.00323660199678335
38	ZNF257|113835	hsa-miR-23a-3p	0.00321220259658799
39	ZNF439|90594	hsa-miR-181b-5p	0.00303341868843326
40	ZNF257|113835	hsa-miR-23b-3p	0.0030265847052944
41	ATP6AP2|10159	hsa-miR-148a-3p	0.0029694315681244
42	ZNF440|126070	hsa-miR-181a-5p	0.00295327864311153
43	ZNF844|284391	hsa-miR-181c-5p	0.00288044756416545
44	ZNF594|84622	hsa-miR-181b-5p	0.0028589801885474
45	ZNF544|27300	hsa-miR-199a-5p	0.00279963066171233
46	ZNF700|90592	hsa-miR-199a-5p	0.0026911219156096
47	ZNF780A|284323	hsa-miR-188-3p	0.00256209712720755
48	ZNF195|7748	hsa-miR-23a-3p	0.00254102342877685
49	ZNF700|90592	hsa-miR-181a-5p	0.00252423624509517
50	ZNF419|79744	hsa-miR-199a-5p	0.0025106520503456
51	TET3|200424	hsa-miR-29a-3p	0.00249412744799096
52	FGFRL1|53834	hsa-miR-210-3p	0.00245903033804473
53	ZNF195|7748	hsa-miR-23b-3p	0.00235866647033191
54	ZNF440|126070	hsa-miR-181b-5p	0.00232787910013373
55	ZNF780A|284323	hsa-miR-181d-5p	0.00231981695835089
56	ZNF844|284391	hsa-miR-199b-5p	0.00228869919520583
57	ZNF788|388507	hsa-miR-181a-5p	0.00227201389652596
58	ZNF85|7639	hsa-miR-23a-3p	0.00224251061187696
59	HSPB8|26353	hsa-miR-126-5p	0.00222801814659692
60	ONECUT2|9480	hsa-miR-9-5p	0.00221738126585917
61	ZNF439|90594	hsa-miR-199a-5p	0.00218084397654247
62	HOXA7|3204	hsa-miR-196b-5p	0.00215777412306857
63	ZNF525|170958	hsa-miR-23a-3p	0.00211560448603817
64	ZNF791|163049	hsa-miR-199a-5p	0.00210683087027948
65	ZNF85|7639	hsa-miR-23b-3p	0.00210335712110683
66	ZFP14|57677	hsa-miR-181a-5p	0.002083523803535
67	ZNF100|163227	hsa-miR-23a-3p	0.00207546188550978
68	ZNF844|284391	hsa-miR-181d-5p	0.00206987731964685
69	ZNF470|388566	hsa-miR-181a-5p	0.00206062707414805
70	ZNF440|126070	hsa-miR-199b-5p	0.00205800859250532
71	TET3|200424	hsa-miR-29c-3p	0.00205383731604589
72	ZNF14|7561	hsa-miR-181a-5p	0.00199707806063353
73	ZNF700|90592	hsa-miR-181b-5p	0.00198981304942277
74	ZNF439|90594	hsa-miR-181c-5p	0.00197370139233004
75	ZNF225|7768	hsa-miR-23a-3p	0.00195040742882444
76	ZNF525|170958	hsa-miR-23b-3p	0.00193910416274805
77	ZNF208|7757	hsa-miR-766-3p	0.00193599153506942
78	ZNF100|163227	hsa-miR-23b-3p	0.00191903054256031
79	TET3|200424	hsa-miR-29b-3p	0.00191268626451348
80	ITGA1|3672	hsa-miR-30a-3p	0.00189667567077039
81	CNPY2|10330	hsa-miR-30a-3p	0.00188734421481686
82	ZNF594|84622	hsa-miR-181c-5p	0.00185046385350776
83	FGFRL1|53834	hsa-miR-103a-3p	0.00184701647717502
84	ZNF440|126070	hsa-miR-188-3p	0.00183365676052377
85	HOXA7|3204	hsa-miR-196a-5p	0.00183003593407996
86	COL3A1|1281	hsa-miR-29a-3p	0.00180322089374422
87	ZNF430|80264	hsa-miR-23a-3p	0.00180261736527674
88	ZNF225|7768	hsa-miR-23b-3p	0.00179982727751852
89	ZNF788|388507	hsa-miR-181b-5p	0.00179218229194025
90	PPP2R2D|55844	hsa-miR-362-3p	0.00179139649735197
91	TET2|54790	hsa-miR-29a-3p	0.00175757421681011
92	ZNF267|10308	hsa-miR-23a-3p	0.00174784039775532
93	KIAA0040|9674	hsa-miR-22-3p	0.00174299164510753
94	ITGA1|3672	hsa-miR-30e-3p	0.00172896006561696
95	GLRX5|51218	hsa-miR-148a-3p	0.0017274735061853
96	CTTN|2017	hsa-miR-182-5p	0.00171524681499652
97	CNPY2|10330	hsa-miR-30e-3p	0.00170765959623679
98	ZNF439|90594	hsa-miR-188-3p	0.00170691646445395
99	ARID3B|10620	hsa-let-7a-5p	0.0017008860739674
100	NAA20|51126	hsa-miR-22-3p	0.00170040586301045
101	KLK4|9622	hsa-miR-423-5p	0.00169085205799949
102	ZNF208|7757	hsa-miR-23c	0.00168969536065218
103	ATP6AP2|10159	hsa-miR-152-3p	0.00168500991008236
104	MDM4|4194	hsa-miR-34a-5p	0.00168433379501531
105	ZNF430|80264	hsa-miR-23b-3p	0.00168123782623116
106	ITM2B|9445	hsa-miR-143-3p	0.00167953045815475
107	MTDH|92140	hsa-miR-30a-5p	0.00166662854678062
108	ZNF267|10308	hsa-miR-23b-3p	0.00165082560956598
109	ZFP36L1|677	hsa-miR-182-5p	0.00164248351179707
110	ZFP14|57677	hsa-miR-181b-5p	0.00164205227325505
111	BOK|666	hsa-miR-24-3p	0.00163254959091921
112	ZNF470|388566	hsa-miR-181b-5p	0.00162364943550868
113	ATP6AP2|10159	hsa-miR-148b-3p	0.00162160122321014
114	ENO1|2023	hsa-miR-22-3p	0.00161665077579969
115	ZNF28|7576	hsa-miR-23a-3p	0.00160948513949906
116	NPTN|27020	hsa-miR-148a-3p	0.00160222276963341
117	ARL2|402	hsa-miR-16-5p	0.00159946459101676
118	ZNF776|284309	hsa-miR-199b-5p	0.0015989337591646
119	ZNF681|148213	hsa-miR-23a-3p	0.00159526070820067
120	H3F3B|3021	hsa-miR-22-3p	0.0015887953183126
121	DDIT4|54541	hsa-miR-22-3p	0.00157891693744577
122	CYCS|54205	hsa-miR-29a-3p	0.00157808101945572
123	ZNF99|7652	hsa-miR-23c	0.00157689651757007
124	ARID3B|10620	hsa-let-7b-5p	0.00157581022997413
125	EPDR1|54749	hsa-miR-99b-5p	0.00157479320910496
126	ZNF14|7561	hsa-miR-181b-5p	0.00157435704365109
127	FLOT1|10211	hsa-miR-182-5p	0.00157173240821772
128	APLN|8862	hsa-miR-16-5p	0.00156906805179436
129	ARL2|402	hsa-miR-15b-5p	0.0015649698487922
130	ZNF708|7562	hsa-miR-23a-3p	0.00156428875010738
131	IFI30|10437	hsa-miR-29a-3p	0.00154607721353787
132	FTL|2512	hsa-miR-22-3p	0.00154543009205094
133	TWF1|5756	hsa-miR-30a-5p	0.00153706175958228
134	SNX16|64089	hsa-miR-30a-5p	0.00153214372335404
135	IGF2|3481	hsa-miR-210-3p	0.00152906160499307
136	RPL15|6138	hsa-miR-92a-3p	0.00152680253055586
137	ARID3B|10620	hsa-let-7f-5p	0.00152496278403951
138	ARL2|402	hsa-miR-424-5p	0.00152420707341772
139	TBCA|6902	hsa-miR-126-5p	0.00151387703234222
140	RPL15|6138	hsa-miR-25-3p	0.00151178293482886
141	UBB|7314	hsa-miR-891a-5p	0.00151001555825252
142	TFRC|7037	hsa-miR-23a-3p	0.00150609282776524
143	ZNF440|126070	hsa-miR-181c-5p	0.0015057925358065
144	COL1A2|1278	hsa-miR-29a-3p	0.00150077877065642
145	COL3A1|1281	hsa-miR-29c-3p	0.0014997204585725
146	ZNF140|7699	hsa-miR-181a-5p	0.0014995205989977
147	ZNF681|148213	hsa-miR-23b-3p	0.00149863658974136
148	GIGYF1|64599	hsa-miR-361-3p	0.00149411913754768
149	RPL14|9045	hsa-miR-16-5p	0.00149235498385841
150	ARSJ|79642	hsa-miR-10a-5p	0.00149180462797748
151	ZNF28|7576	hsa-miR-23b-3p	0.00149052697077646
152	ANKRA2|57763	hsa-miR-30a-5p	0.00148632358584538
153	MTDH|92140	hsa-miR-30e-5p	0.00148036326129773
154	ARSJ|79642	hsa-miR-10b-5p	0.00147657859452457
155	MTDH|92140	hsa-miR-30d-5p	0.00147600692320646
