rank	mrna name	mirna name	mirtigo score
1	ZNF208|7757	hsa-miR-23a-3p	0.0634263623211894
2	ZNF208|7757	hsa-miR-23b-3p	0.0579203216433623
3	ZNF117|51351	hsa-miR-23a-3p	0.0548196496698907
4	ZNF117|51351	hsa-miR-23b-3p	0.0497338775271154
5	ZNF107|51427	hsa-miR-23a-3p	0.0403476998263075
6	ZNF107|51427	hsa-miR-23b-3p	0.0367413307688937
7	ZNF780B|163131	hsa-miR-181a-5p	0.0344901244899788
8	ZNF780B|163131	hsa-miR-181b-5p	0.0282630223015549
9	ZNF780A|284323	hsa-miR-181a-5p	0.0250664145384626
10	ZNF91|7644	hsa-miR-23a-3p	0.0250041225598527
11	ZNF91|7644	hsa-miR-23b-3p	0.0226449901169548
12	ZNF780A|284323	hsa-miR-181b-5p	0.0205409840413884
13	COL1A1|1277	hsa-miR-29a-3p	0.0186997308838995
14	ZNF844|284391	hsa-miR-181a-5p	0.0178187630036788
15	ZNF440|126070	hsa-miR-199a-5p	0.0177068661449193
16	ZNF780B|163131	hsa-miR-181c-5p	0.017592418641441
17	ZNF844|284391	hsa-miR-199a-5p	0.0170448939054431
18	COL1A1|1277	hsa-miR-29c-3p	0.0162776227185724
19	ZNF594|84622	hsa-miR-181a-5p	0.0152127058753057
20	ZNF844|284391	hsa-miR-181b-5p	0.0145893797931172
21	COL1A1|1277	hsa-miR-29b-3p	0.0143911835559203
22	ZNF776|284309	hsa-miR-199a-5p	0.0142792111589144
23	ZNF780B|163131	hsa-miR-181d-5p	0.0141203907820743
24	ZNF721|170960	hsa-miR-23a-3p	0.0140375798988289
25	ZNF439|90594	hsa-miR-181a-5p	0.013472902740167
26	ZNF254|9534	hsa-miR-23a-3p	0.013064212700395
27	ZNF721|170960	hsa-miR-23b-3p	0.012798592430449
28	ZNF780A|284323	hsa-miR-181c-5p	0.0127735612510934
29	ZNF594|84622	hsa-miR-181b-5p	0.0124963652605391
30	ZNF141|7700	hsa-miR-23a-3p	0.0123024011163454
31	ZNF254|9534	hsa-miR-23b-3p	0.011834964227663
32	ZNF700|90592	hsa-miR-199a-5p	0.0114983676232783
33	ZNF141|7700	hsa-miR-23b-3p	0.0111838690926092
34	ZNF439|90594	hsa-miR-181b-5p	0.011043073130375
35	ZNF544|27300	hsa-miR-199a-5p	0.0109484133694422
36	ZNF440|126070	hsa-miR-181a-5p	0.0109255972303713
37	HSPB8|26353	hsa-miR-126-5p	0.0104929504912517
38	FGFRL1|53834	hsa-miR-210-3p	0.0103877881021604
39	ZNF788|388507	hsa-miR-181a-5p	0.0103861549073077
40	ZNF780A|284323	hsa-miR-181d-5p	0.010228016617934
41	ZNF419|79744	hsa-miR-199a-5p	0.00985993812173845
42	ZNF700|90592	hsa-miR-181a-5p	0.00985348538883316
43	TET3|200424	hsa-miR-29a-3p	0.00971266409531175
44	ZNF195|7748	hsa-miR-23a-3p	0.00963096237974392
45	ZNF99|7652	hsa-miR-23a-3p	0.00939938342450443
46	ZNF257|113835	hsa-miR-23a-3p	0.00913936676722914
47	ATP6AP2|10159	hsa-miR-148a-3p	0.00912482166244583
48	IGF2|3481	hsa-miR-210-3p	0.00911332759885555
49	ZNF844|284391	hsa-miR-181c-5p	0.00906895466305892
50	ZNF440|126070	hsa-miR-181b-5p	0.00895328393753517
51	ZNF791|163049	hsa-miR-199a-5p	0.00871347650907619
52	ZNF470|388566	hsa-miR-181a-5p	0.00867412072879647
53	ZNF195|7748	hsa-miR-23b-3p	0.00865316064648551
54	ZNF99|7652	hsa-miR-23b-3p	0.00857226664476804
55	ZNF788|388507	hsa-miR-181b-5p	0.008509870770872
56	TET3|200424	hsa-miR-29c-3p	0.00842945249609697
57	ZNF439|90594	hsa-miR-199a-5p	0.00838884237465045
58	ZNF257|113835	hsa-miR-23b-3p	0.00831244057362631
59	ZFP14|57677	hsa-miR-181a-5p	0.00830380210373329
60	ZNF700|90592	hsa-miR-181b-5p	0.00807693019153586
61	ZNF225|7768	hsa-miR-23a-3p	0.00804847558622042
62	ZNF85|7639	hsa-miR-23a-3p	0.00779524889449102
63	ITGA1|3672	hsa-miR-30a-3p	0.00775773677149381
64	ZNF594|84622	hsa-miR-181c-5p	0.00774243117983732
65	ZNF267|10308	hsa-miR-23a-3p	0.00757386949346664
66	MDM4|4194	hsa-miR-34a-5p	0.00754846979296418
67	ZNF14|7561	hsa-miR-181a-5p	0.00750510369128798
68	TET3|200424	hsa-miR-29b-3p	0.00744755096297032
69	ZNF676|163223	hsa-miR-23a-3p	0.00738206713204392
70	HOXA7|3204	hsa-miR-196b-5p	0.00732878149169874
71	APLN|8862	hsa-miR-16-5p	0.00729500075746582
72	ZNF844|284391	hsa-miR-181d-5p	0.00728524071746274
73	ZNF225|7768	hsa-miR-23b-3p	0.00718950078240003
74	ZNF470|388566	hsa-miR-181b-5p	0.0071099035160862
75	ZNF525|170958	hsa-miR-23a-3p	0.00708703457898183
76	ZNF85|7639	hsa-miR-23b-3p	0.0070605989673927
77	ITM2B|9445	hsa-miR-143-3p	0.00701315998983752
78	ZNF100|163227	hsa-miR-23a-3p	0.00699724023470329
79	COL3A1|1281	hsa-miR-29a-3p	0.00695690082665949
80	ZNF267|10308	hsa-miR-23b-3p	0.00693716274794937
81	ZNF439|90594	hsa-miR-181c-5p	0.00690694067348053
82	ITGA1|3672	hsa-miR-30e-3p	0.00680681255413171
83	ZFP14|57677	hsa-miR-181b-5p	0.00680433418232569
84	DDIT4|54541	hsa-miR-22-3p	0.00677850909555226
85	ZNF676|163223	hsa-miR-23b-3p	0.00675046989501641
86	ZNF781|163115	hsa-miR-181a-5p	0.00673140774898246
87	CNPY2|10330	hsa-miR-30a-3p	0.00672168872451306
88	ZNF788|388507	hsa-miR-199a-5p	0.00666281712051835
89	APLN|8862	hsa-miR-424-5p	0.0065926505374079
90	IGSF6|10261	hsa-miR-30a-3p	0.0065823875851495
91	CD69|969	hsa-miR-25-3p	0.00644606535710397
92	ARID3B|10620	hsa-let-7a-5p	0.00644168121062014
93	HOXA7|3204	hsa-miR-196a-5p	0.0063701316164536
94	ZNF430|80264	hsa-miR-23a-3p	0.00633961758376753
95	CD69|969	hsa-miR-92a-3p	0.00628939725931803
96	MTDH|92140	hsa-miR-30a-5p	0.00628478663253697
97	ZNF525|170958	hsa-miR-23b-3p	0.00628172140817629
98	ZNF100|163227	hsa-miR-23b-3p	0.00625898208602512
99	ZNF594|84622	hsa-miR-181d-5p	0.0062503896453316
100	ENO1|2023	hsa-miR-22-3p	0.00623326631618595
101	FGFRL1|53834	hsa-miR-103a-3p	0.00619878822348102
102	ZNF14|7561	hsa-miR-181b-5p	0.0061496040585789
103	COL3A1|1281	hsa-miR-29c-3p	0.00610101239942579
104	TBCA|6902	hsa-miR-126-5p	0.00608412762298532
105	ZNF28|7576	hsa-miR-23a-3p	0.00606169698059704
106	ARID3B|10620	hsa-let-7b-5p	0.00605658829340256
107	ZNF563|147837	hsa-miR-199a-5p	0.00600444129999181
108	ZNF208|7757	hsa-miR-130a-5p	0.0059189110878921
109	H3F3B|3021	hsa-miR-22-3p	0.00588417743986823
110	FIGN|55137	hsa-let-7a-5p	0.00586954488378531
111	CNPY2|10330	hsa-miR-30e-3p	0.00584991783559524
112	ARID3B|10620	hsa-let-7f-5p	0.00584231183796283
113	ARL2|402	hsa-miR-16-5p	0.00582532573552843
