rank	mrna name	mirna name	mirtigo score
1	ZNF117|51351	hsa-miR-23a-3p	0.0670319613607098
2	ZNF117|51351	hsa-miR-23b-3p	0.0604033904527016
3	ZNF208|7757	hsa-miR-23a-3p	0.06039607144294
4	ZNF208|7757	hsa-miR-23b-3p	0.054700001315734
5	ZNF107|51427	hsa-miR-23a-3p	0.048598990620048
6	ZNF107|51427	hsa-miR-23b-3p	0.0439966119025089
7	ZNF780B|163131	hsa-miR-181a-5p	0.0416987316145957
8	ZNF780B|163131	hsa-miR-181b-5p	0.0340412786284013
9	ZNF780A|284323	hsa-miR-181a-5p	0.0293074866283117
10	ZNF91|7644	hsa-miR-23a-3p	0.0289292267544896
11	ZNF780B|163131	hsa-miR-181c-5p	0.0259758666053899
12	ZNF91|7644	hsa-miR-23b-3p	0.0259748794201178
13	ZNF780A|284323	hsa-miR-181b-5p	0.0239258666385267
14	ZNF780B|163131	hsa-miR-181d-5p	0.0215658014098413
15	ZNF844|284391	hsa-miR-181a-5p	0.0210348114000412
16	COL1A1|1277	hsa-miR-29a-3p	0.019379902389632
17	ZNF440|126070	hsa-miR-199a-5p	0.0189176228991034
18	ZNF594|84622	hsa-miR-181a-5p	0.0185905997060356
19	ZNF780A|284323	hsa-miR-181c-5p	0.0182066301602937
20	ZNF844|284391	hsa-miR-199a-5p	0.0180784811090751
21	ZNF844|284391	hsa-miR-181b-5p	0.0171453345196019
22	COL1A1|1277	hsa-miR-29c-3p	0.0165237595497076
23	ZNF721|170960	hsa-miR-23a-3p	0.016502137838701
24	ZNF254|9534	hsa-miR-23a-3p	0.015708688575478
25	ZNF439|90594	hsa-miR-181a-5p	0.0154767308573202
26	ZNF594|84622	hsa-miR-181b-5p	0.0152160824012812
27	ZNF780A|284323	hsa-miR-181d-5p	0.0150848084735998
28	ZNF721|170960	hsa-miR-23b-3p	0.0149303518335498
29	COL1A1|1277	hsa-miR-29b-3p	0.0146309978036534
30	ZNF776|284309	hsa-miR-199a-5p	0.0143802736380737
31	ZNF141|7700	hsa-miR-23a-3p	0.0141889128207681
32	ZNF254|9534	hsa-miR-23b-3p	0.0141180978760563
33	ONECUT2|9480	hsa-miR-9-5p	0.0138726184897726
34	ZNF844|284391	hsa-miR-181c-5p	0.0130727900811157
35	ZNF440|126070	hsa-miR-181a-5p	0.0129441376019252
36	ZNF141|7700	hsa-miR-23b-3p	0.0128020322181406
37	ZNF439|90594	hsa-miR-181b-5p	0.0126246726731447
38	ZNF700|90592	hsa-miR-199a-5p	0.0125502507200471
39	ZNF700|90592	hsa-miR-181a-5p	0.0119582622821609
40	ZNF594|84622	hsa-miR-181c-5p	0.0115834878541399
41	ZNF544|27300	hsa-miR-199a-5p	0.0115011230409898
42	TET3|200424	hsa-miR-29a-3p	0.0113368651869265
43	ZNF195|7748	hsa-miR-23a-3p	0.0113222911988109
44	FGFRL1|53834	hsa-miR-210-3p	0.0109026725126371
45	ZNF844|284391	hsa-miR-181d-5p	0.0108703257951642
46	ZNF676|163223	hsa-miR-23a-3p	0.0106329555531397
47	ZNF440|126070	hsa-miR-181b-5p	0.0105642992246988
48	ZNF419|79744	hsa-miR-199a-5p	0.0103678775265308
49	ZNF788|388507	hsa-miR-181a-5p	0.0102206130097099
50	ATP6AP2|10159	hsa-miR-148a-3p	0.0101974466830373
51	ZNF195|7748	hsa-miR-23b-3p	0.0101023557193519
52	HOXA7|3204	hsa-miR-196b-5p	0.00978484839163826
