rank	mrna name	mirna name	mirtigo score
1	ZNF117|51351	hsa-miR-23a-3p	0.0514815193149288
2	ZNF107|51427	hsa-miR-23a-3p	0.0400545628557017
3	ZNF780B|163131	hsa-miR-181a-5p	0.0358197800736355
4	ZNF117|51351	hsa-miR-23b-3p	0.0335886058941194
5	ZNF208|7757	hsa-miR-23a-3p	0.0312531408302532
6	ZNF780B|163131	hsa-miR-181b-5p	0.0282543381429812
7	ZNF107|51427	hsa-miR-23b-3p	0.0262794263579837
8	ZNF91|7644	hsa-miR-23a-3p	0.0215634630612591
9	ZNF780A|284323	hsa-miR-181a-5p	0.0211219025155509
10	ZNF208|7757	hsa-miR-23b-3p	0.0206350578295179
11	ZNF99|7652	hsa-miR-23a-3p	0.0182869891452514
12	ZNF780B|163131	hsa-miR-181c-5p	0.0174331805379659
13	ZNF780A|284323	hsa-miR-181b-5p	0.0166536811225682
14	ZNF844|284391	hsa-miR-181a-5p	0.0164903023546721
15	ZNF439|90594	hsa-miR-181a-5p	0.0155487958584398
16	ZNF117|51351	hsa-miR-130a-5p	0.0145850827231363
17	ZNF594|84622	hsa-miR-181a-5p	0.0145829365804408
18	ZNF440|126070	hsa-miR-199b-5p	0.0144745431609064
19	ZNF780B|163131	hsa-miR-181d-5p	0.0143084715001254
20	ZNF91|7644	hsa-miR-23b-3p	0.0140348797457151
21	ZNF844|284391	hsa-miR-199b-5p	0.0133432205762691
22	ZNF844|284391	hsa-miR-181b-5p	0.0130039783987445
23	ZNF439|90594	hsa-miR-181b-5p	0.0122749708972422
24	ZNF99|7652	hsa-miR-23b-3p	0.0121740504398098
25	ZNF141|7700	hsa-miR-23a-3p	0.0118738423759346
26	ZNF594|84622	hsa-miR-181b-5p	0.0115249427915798
27	ZNF107|51427	hsa-miR-130a-5p	0.0114974595551972
28	ZNF776|284309	hsa-miR-199b-5p	0.0108145878130575
29	ZNF721|170960	hsa-miR-23a-3p	0.0107688923932388
30	ZNF254|9534	hsa-miR-23a-3p	0.010753194040131
31	ZNF440|126070	hsa-miR-181a-5p	0.0105595510476608
32	ZNF700|90592	hsa-miR-181a-5p	0.0102666031055617
33	ZNF780A|284323	hsa-miR-181c-5p	0.0102475907100398
34	ZNF700|90592	hsa-miR-199b-5p	0.0101520435453292
35	ZNF788|388507	hsa-miR-181a-5p	0.0101424623639056
36	ZNF208|7757	hsa-miR-130a-5p	0.00942875898041803
37	ZNF257|113835	hsa-miR-23a-3p	0.00916124960685002
38	ZNF544|27300	hsa-miR-199b-5p	0.00861952614646067
39	ZNF440|126070	hsa-miR-199a-5p	0.00858644101599466
40	TET3|200424	hsa-miR-29a-3p	0.00857598470846535
41	ZNF780A|284323	hsa-miR-181d-5p	0.00838687841333497
42	ZNF440|126070	hsa-miR-181b-5p	0.00833600721823306
43	ZNF439|90594	hsa-miR-199b-5p	0.00816414800457378
44	ZNF700|90592	hsa-miR-181b-5p	0.00810281379495225
45	ZNF844|284391	hsa-miR-181c-5p	0.00800509720192113
46	ZNF788|388507	hsa-miR-181b-5p	0.00799869075410602
47	ZNF844|284391	hsa-miR-199a-5p	0.00792103321295107
48	ZNF195|7748	hsa-miR-23a-3p	0.00777976836974149
49	ZNF141|7700	hsa-miR-23b-3p	0.0077652948003478
50	CD69|969	hsa-miR-92a-3p	0.00770740397777533
51	ZFP14|57677	hsa-miR-181a-5p	0.00769266164623433
52	ZNF439|90594	hsa-miR-181c-5p	0.0076033412631365
53	CD69|969	hsa-miR-25-3p	0.00739612262122386
54	ZNF594|84622	hsa-miR-181c-5p	0.00708997293683494
55	ZNF99|7652	hsa-miR-130a-5p	0.00708680892294823
56	ZNF721|170960	hsa-miR-23b-3p	0.00707560191801717
57	ZNF470|388566	hsa-miR-181a-5p	0.00706495375641351
58	ZNF254|9534	hsa-miR-23b-3p	0.00700369983697978
59	TET3|200424	hsa-miR-29c-3p	0.00697160848814846
60	ZNF85|7639	hsa-miR-23a-3p	0.00693872823037751
61	ZNF791|163049	hsa-miR-199b-5p	0.00689514098750067
62	ZNF419|79744	hsa-miR-199b-5p	0.0068035233140188
63	ZNF844|284391	hsa-miR-181d-5p	0.00660042691984507
64	ZNF100|163227	hsa-miR-23a-3p	0.00655070189214912
65	TET3|200424	hsa-miR-29b-3p	0.00644198847046546
66	ZNF776|284309	hsa-miR-199a-5p	0.00642189108177524
67	ZNF14|7561	hsa-miR-181a-5p	0.00638873902846149
68	ZNF225|7768	hsa-miR-23a-3p	0.00636184160537174
69	RNF168|165918	hsa-miR-223-3p	0.00631232295461853
70	ZNF439|90594	hsa-miR-181d-5p	0.00624888395344218
71	ZNF91|7644	hsa-miR-130a-5p	0.00617517415487985
72	ZNF430|80264	hsa-miR-23a-3p	0.00613362814315001
73	ZFP14|57677	hsa-miR-181b-5p	0.00606994962104765
74	ZNF257|113835	hsa-miR-23b-3p	0.0060112966129376
75	ZNF700|90592	hsa-miR-199a-5p	0.00600551177582499
76	ZNF460|10794	hsa-miR-3613-3p	0.00599968767647787
77	ZNF594|84622	hsa-miR-181d-5p	0.00585520671551123
78	ZNF267|10308	hsa-miR-23a-3p	0.00579063501506664
79	ARID3B|10620	hsa-let-7a-5p	0.00570007882495687
80	MDM4|4194	hsa-miR-34a-5p	0.00557448691898212
81	ZNF470|388566	hsa-miR-181b-5p	0.00557082157867091
82	ZNF788|388507	hsa-miR-199b-5p	0.00554954471300776
83	ARID3B|10620	hsa-let-7b-5p	0.00549801505027881
84	ATP6AP2|10159	hsa-miR-148a-3p	0.00546481942308062
85	ZNF525|170958	hsa-miR-23a-3p	0.00542313799814032
86	ZNF781|163115	hsa-miR-181a-5p	0.00540940464771035
87	ZNF708|7562	hsa-miR-23a-3p	0.00533265934349325
88	ZNF544|27300	hsa-miR-199a-5p	0.0051496408638193
89	ZNF440|126070	hsa-miR-181c-5p	0.00511389655398351
90	ZNF14|7561	hsa-miR-181b-5p	0.00504060863787201
91	ZNF195|7748	hsa-miR-23b-3p	0.0050235554853188
92	ZNF700|90592	hsa-miR-181c-5p	0.00498410223274295
93	HOXA7|3204	hsa-miR-196b-5p	0.00494753187051325
94	ZNF788|388507	hsa-miR-181c-5p	0.00491543113800734
95	ZNF681|148213	hsa-miR-23a-3p	0.00488485656404466
96	ZNF439|90594	hsa-miR-199a-5p	0.00484122946629677
97	ZNF140|7699	hsa-miR-181a-5p	0.0048180036109244
98	ZNF266|10781	hsa-miR-181a-5p	0.00477626322562941
99	ARID3B|10620	hsa-let-7f-5p	0.00477177940946428
100	TET2|54790	hsa-miR-29a-3p	0.00475880510335531
101	ARL2|402	hsa-miR-16-5p	0.00473680134765683
102	RPL14|9045	hsa-miR-16-5p	0.00473532368818639
103	ZNF791|163049	hsa-miR-181a-5p	0.00473093283193206
104	FGFRL1|53834	hsa-miR-210-3p	0.00472536963243266
105	ZNF28|7576	hsa-miR-23a-3p	0.00455628655511474
106	MYB|4602	hsa-miR-150-5p	0.00454578140873833
107	ZNF699|374879	hsa-miR-181a-5p	0.00454062659734349
108	ZNF85|7639	hsa-miR-23b-3p	0.00452862056292269
109	ZNF420|147923	hsa-miR-181a-5p	0.00448956515088108
110	FGFRL1|53834	hsa-miR-103a-3p	0.00444058348847466
111	ZNF788|388507	hsa-miR-23a-3p	0.0044245834692987
112	ARID3B|10620	hsa-let-7g-5p	0.00442121157020414
113	ARL2|402	hsa-miR-15b-5p	0.00437944677059817
114	RPL15|6138	hsa-miR-92a-3p	0.00432958044812276
115	TFRC|7037	hsa-miR-23a-3p	0.00430911106755038
116	RPL14|9045	hsa-miR-15b-5p	0.00429988625585289
117	ZNF781|163115	hsa-miR-181b-5p	0.00426345437414865
118	RPL15|6138	hsa-miR-25-3p	0.00421264446225413
119	ZNF100|163227	hsa-miR-23b-3p	0.00421008832619607
120	MTDH|92140	hsa-miR-30e-5p	0.00419814862920403
121	ZNF43|7594	hsa-miR-23a-3p	0.00418927054699071
122	ZNF440|126070	hsa-miR-181d-5p	0.00418730944691288
123	ZNF772|400720	hsa-miR-199b-5p	0.00417086505975978
124	ZNF559|84527	hsa-miR-181a-5p	0.00410922715571287
125	ATAD2B|54454	hsa-miR-29a-3p	0.00410623778645127
126	COL1A1|1277	hsa-miR-29a-3p	0.00409867135854056
127	ZNF791|163049	hsa-miR-199a-5p	0.00409788536449539
128	ZNF225|7768	hsa-miR-23b-3p	0.00408231383474475
129	PNRC2|55629	hsa-miR-23a-3p	0.00408197807715952
130	ZIK1|284307	hsa-miR-199b-5p	0.00408056952782881
131	ZNF700|90592	hsa-miR-181d-5p	0.00407849127445278
132	RNF38|152006	hsa-miR-103a-3p	0.00406600144967566
133	IGSF6|10261	hsa-miR-30e-3p	0.00406179932776729
134	ARID3B|10620	hsa-let-7d-5p	0.00405532853091507
135	FBXW7|55294	hsa-miR-223-3p	0.00405496179150058
136	ZNF788|388507	hsa-miR-181d-5p	0.00404913493391457
137	ZNF419|79744	hsa-miR-199a-5p	0.00404604751392681
138	ZNF83|55769	hsa-miR-181a-5p	0.00403921840502589
139	ARID3B|10620	hsa-let-7i-5p	0.00402481877048955
140	ZNF253|56242	hsa-miR-23a-3p	0.00400648791347341
