rank	mrna name	mirna name	mirtigo score
1	ZNF117|51351	hsa-miR-23b-3p	0.0643165596430343
2	ZNF117|51351	hsa-miR-23a-3p	0.0640844208729171
3	ZNF208|7757	hsa-miR-23b-3p	0.0544609432610269
4	ZNF208|7757	hsa-miR-23a-3p	0.0544356280378745
5	ZNF107|51427	hsa-miR-23b-3p	0.0457222009791589
6	ZNF107|51427	hsa-miR-23a-3p	0.0454018919506715
7	ZNF780B|163131	hsa-miR-181a-5p	0.0434953950353752
8	ZNF780B|163131	hsa-miR-181b-5p	0.0350611593665138
9	ZNF780A|284323	hsa-miR-181a-5p	0.0343665153491384
10	ZNF91|7644	hsa-miR-23b-3p	0.0321838349238076
11	ZNF91|7644	hsa-miR-23a-3p	0.0320996129583821
12	ONECUT2|9480	hsa-miR-9-5p	0.029260887165302
13	ZNF780A|284323	hsa-miR-181b-5p	0.027696643789639
14	COL1A1|1277	hsa-miR-29a-3p	0.0262894309809715
15	ZNF99|7652	hsa-miR-23b-3p	0.0240427606642056
16	ZNF99|7652	hsa-miR-23a-3p	0.0236104056378139
17	ZNF440|126070	hsa-miR-199a-5p	0.0232530639246083
18	COL1A1|1277	hsa-miR-29c-3p	0.0226741803780521
19	ZNF780B|163131	hsa-miR-181c-5p	0.0208884554372176
20	ZNF844|284391	hsa-miR-199a-5p	0.0207192247356787
21	COL1A1|1277	hsa-miR-29b-3p	0.0200177342919665
22	ZNF776|284309	hsa-miR-199a-5p	0.0193703157480314
23	ZNF844|284391	hsa-miR-181a-5p	0.0193193597500181
24	ZNF721|170960	hsa-miR-23b-3p	0.0183587339232683
25	ZNF721|170960	hsa-miR-23a-3p	0.0181737974439471
26	ZNF700|90592	hsa-miR-199a-5p	0.0171536698884706
27	ZNF544|27300	hsa-miR-199a-5p	0.0166710205020014
28	ZNF254|9534	hsa-miR-23b-3p	0.0166453459584809
29	ZNF254|9534	hsa-miR-23a-3p	0.0165699810080107
30	ZNF780A|284323	hsa-miR-181c-5p	0.0165239028753063
31	ZNF780B|163131	hsa-miR-181d-5p	0.0161323385687999
32	ZNF844|284391	hsa-miR-181b-5p	0.0155562555501958
33	ZNF594|84622	hsa-miR-181a-5p	0.0144969852518239
34	ZNF419|79744	hsa-miR-199a-5p	0.0144287801291405
35	ATP6AP2|10159	hsa-miR-148a-3p	0.0142846506749255
36	IGF2|3481	hsa-miR-210-3p	0.0140542187189857
37	TET3|200424	hsa-miR-29a-3p	0.0139068250358645
38	ZNF700|90592	hsa-miR-181a-5p	0.0132077508112443
39	ZNF141|7700	hsa-miR-23b-3p	0.013099603549285
40	ZNF141|7700	hsa-miR-23a-3p	0.0130215528763443
41	ZNF440|126070	hsa-miR-181a-5p	0.0128871448585245
42	FGFRL1|53834	hsa-miR-210-3p	0.0127721756187205
43	ZNF780A|284323	hsa-miR-181d-5p	0.012722016189801
44	ZNF195|7748	hsa-miR-23a-3p	0.0120468918528137
45	ZNF195|7748	hsa-miR-23b-3p	0.0119825510806363
