rank	mrna name	mirna name	mirtigo score
1	ZNF117|51351	hsa-miR-23a-3p	0.0974520903125991
2	ZNF117|51351	hsa-miR-23b-3p	0.0884952790097292
3	ZNF208|7757	hsa-miR-23a-3p	0.075640807397294
4	ZNF208|7757	hsa-miR-23b-3p	0.0688365264446072
5	ZNF107|51427	hsa-miR-23a-3p	0.0665722197969021
6	ZNF107|51427	hsa-miR-23b-3p	0.060645582448195
7	ZNF780B|163131	hsa-miR-181a-5p	0.0542304044422254
8	ZNF780B|163131	hsa-miR-181b-5p	0.046211957565528
9	ZNF780A|284323	hsa-miR-181a-5p	0.0393013541347051
10	ZNF91|7644	hsa-miR-23a-3p	0.0373374125256864
11	COL1A1|1277	hsa-miR-29a-3p	0.0348653038342438
12	ZNF91|7644	hsa-miR-23b-3p	0.0337848672873553
13	ZNF780A|284323	hsa-miR-181b-5p	0.0335032872121263
14	ZNF440|126070	hsa-miR-199a-5p	0.0317995550752869
15	ZNF780B|163131	hsa-miR-181c-5p	0.0316839482667015
16	COL1A1|1277	hsa-miR-29c-3p	0.0304153395032934
17	ZNF780B|163131	hsa-miR-181d-5p	0.0267219273060348
18	COL1A1|1277	hsa-miR-29b-3p	0.0262814655483961
19	ZNF844|284391	hsa-miR-199a-5p	0.0261778528845427
20	ZNF440|126070	hsa-miR-199b-5p	0.0252322776279847
21	ZNF844|284391	hsa-miR-181a-5p	0.0246001016015715
22	ZNF776|284309	hsa-miR-199a-5p	0.0241944323689217
23	ZNF780A|284323	hsa-miR-181c-5p	0.0229502647783383
24	ZNF594|84622	hsa-miR-181a-5p	0.0223739969940166
25	ZNF254|9534	hsa-miR-23a-3p	0.0213697052621087
26	ZNF721|170960	hsa-miR-23a-3p	0.0210541006030664
27	ZNF844|284391	hsa-miR-181b-5p	0.0209609358697629
28	ZNF844|284391	hsa-miR-199b-5p	0.0207839642180402
29	ZNF544|27300	hsa-miR-199a-5p	0.0197940342650717
30	ZNF700|90592	hsa-miR-199a-5p	0.0197711817256409
31	ZNF439|90594	hsa-miR-181a-5p	0.0193966863171846
32	ZNF254|9534	hsa-miR-23b-3p	0.0193704300466158
33	ZNF780A|284323	hsa-miR-181d-5p	0.0193334485039091
34	ZNF721|170960	hsa-miR-23b-3p	0.019182274407051
35	ZNF776|284309	hsa-miR-199b-5p	0.0191731301556888
36	ZNF594|84622	hsa-miR-181b-5p	0.0191085026073483
37	ZNF141|7700	hsa-miR-23a-3p	0.0180572419709492
38	ZNF440|126070	hsa-miR-181a-5p	0.0176150435131836
39	ZNF419|79744	hsa-miR-199a-5p	0.0175361544773009
40	TET3|200424	hsa-miR-29a-3p	0.0167885435360572
41	ZNF439|90594	hsa-miR-181b-5p	0.0165247527657215
42	ZNF141|7700	hsa-miR-23b-3p	0.0164079322396139
43	ZNF700|90592	hsa-miR-199b-5p	0.0157179263600245
44	ZNF544|27300	hsa-miR-199b-5p	0.0156818888425025
45	ZNF700|90592	hsa-miR-181a-5p	0.015227321599733
46	ONECUT2|9480	hsa-miR-9-5p	0.0150881868487137
47	ZNF440|126070	hsa-miR-181b-5p	0.0150115773501524
48	TET3|200424	hsa-miR-29c-3p	0.0145687145227888
49	ZNF195|7748	hsa-miR-23a-3p	0.0145176842900522
50	ZNF791|163049	hsa-miR-199a-5p	0.0144943039656849
51	ZNF208|7757	hsa-miR-135b-3p	0.0144595201983206
52	ZNF844|284391	hsa-miR-181c-5p	0.0143194330243126
53	ZNF419|79744	hsa-miR-199b-5p	0.0139062806622585
54	ATP6AP2|10159	hsa-miR-148a-3p	0.0137164496627035
55	ZNF788|388507	hsa-miR-181a-5p	0.0136293759609935
56	ZNF439|90594	hsa-miR-199a-5p	0.0134484497463268
57	FGFRL1|53834	hsa-miR-210-3p	0.0131299963474273
58	ZNF594|84622	hsa-miR-181c-5p	0.0130551466188251
59	ZNF195|7748	hsa-miR-23b-3p	0.0130495653122101
60	ZNF700|90592	hsa-miR-181b-5p	0.0129733341506636
61	ZNF470|388566	hsa-miR-181a-5p	0.0128926356460203
62	COL3A1|1281	hsa-miR-29a-3p	0.012591886177228
63	TET3|200424	hsa-miR-29b-3p	0.0125904314916774
64	ZFP14|57677	hsa-miR-181a-5p	0.0123014202805557
65	ZNF844|284391	hsa-miR-181d-5p	0.0121076234542589
66	IGF2|3481	hsa-miR-210-3p	0.0119358858810523
67	ZNF257|113835	hsa-miR-23a-3p	0.0119172800749068
68	MDM4|4194	hsa-miR-34a-5p	0.0116910908766805
69	ZNF788|388507	hsa-miR-181b-5p	0.0116185126373235
70	ZNF225|7768	hsa-miR-23a-3p	0.0115522843308583
71	ZNF791|163049	hsa-miR-199b-5p	0.0115108300824994
72	ZNF14|7561	hsa-miR-181a-5p	0.0114304040339031
73	ZNF85|7639	hsa-miR-23a-3p	0.0113755419930784
