rank	mrna name	mirna name	mirtigo score
1	ZNF117|51351	hsa-miR-23a-3p	0.070504170924373
2	ZNF117|51351	hsa-miR-23b-3p	0.0624554118517191
3	ZNF107|51427	hsa-miR-23a-3p	0.0522498552969892
4	ZNF107|51427	hsa-miR-23b-3p	0.0464880081391757
5	ZNF208|7757	hsa-miR-23a-3p	0.0451107606776348
6	ZNF780B|163131	hsa-miR-181a-5p	0.0403129530682145
7	ZNF208|7757	hsa-miR-23b-3p	0.0402253549998471
8	ZNF780B|163131	hsa-miR-181b-5p	0.0334463686145691
9	ZNF780A|284323	hsa-miR-181a-5p	0.0275391021965522
10	ZNF440|126070	hsa-miR-199a-5p	0.0270540834185094
11	ZNF91|7644	hsa-miR-23a-3p	0.0261674965391245
12	COL1A1|1277	hsa-miR-29a-3p	0.025688977895823
13	ZNF91|7644	hsa-miR-23b-3p	0.0230893703045485
14	ZNF780B|163131	hsa-miR-181c-5p	0.0228522375082792
15	ZNF780A|284323	hsa-miR-181b-5p	0.0228482766599589
16	COL1A1|1277	hsa-miR-29c-3p	0.0226250710145222
17	ZNF440|126070	hsa-miR-199b-5p	0.0221211220325631
18	COL1A1|1277	hsa-miR-29b-3p	0.0198182879657848
19	ZNF780B|163131	hsa-miR-181d-5p	0.0195960090235105
20	ZNF776|284309	hsa-miR-199a-5p	0.0192687888041922
21	ZNF844|284391	hsa-miR-199a-5p	0.0172303909169997
22	ZNF594|84622	hsa-miR-181a-5p	0.0169811933716496
23	ZNF544|27300	hsa-miR-199a-5p	0.0161337409271655
24	ZNF721|170960	hsa-miR-23a-3p	0.0160932150883669
25	ZNF700|90592	hsa-miR-199a-5p	0.0160534989225151
26	ZNF776|284309	hsa-miR-199b-5p	0.0157558035710922
27	ZNF780A|284323	hsa-miR-181c-5p	0.0155888958770585
28	ZNF844|284391	hsa-miR-181a-5p	0.0147602873819901
29	ZNF721|170960	hsa-miR-23b-3p	0.0143088699902539
30	ZNF594|84622	hsa-miR-181b-5p	0.0141241657441199
31	ZNF419|79744	hsa-miR-199a-5p	0.0141235111388069
32	ZNF844|284391	hsa-miR-199b-5p	0.0140982592408984
33	ZNF254|9534	hsa-miR-23a-3p	0.0140749264810844
34	HMGA2|8091	hsa-let-7a-5p	0.0140293003225915
35	ZNF440|126070	hsa-miR-181a-5p	0.0136591540409232
36	ZNF439|90594	hsa-miR-181a-5p	0.0134852813940347
37	TET3|200424	hsa-miR-29a-3p	0.0134642261108836
38	ONECUT2|9480	hsa-miR-9-5p	0.013354662636016
39	HMGA2|8091	hsa-let-7b-5p	0.0133514624617601
40	ZNF780A|284323	hsa-miR-181d-5p	0.0133328305221891
41	ZNF544|27300	hsa-miR-199b-5p	0.013183842299065
42	ZNF700|90592	hsa-miR-199b-5p	0.0131573058576976
43	ZNF141|7700	hsa-miR-23a-3p	0.0129976444717357
44	HMGA2|8091	hsa-let-7f-5p	0.0125590399151121
45	ZNF254|9534	hsa-miR-23b-3p	0.0124352339276961
46	ZNF844|284391	hsa-miR-181b-5p	0.0122476298573395
47	ZNF791|163049	hsa-miR-199a-5p	0.0118433920849908
48	TET3|200424	hsa-miR-29c-3p	0.0118011144008372
49	ZNF419|79744	hsa-miR-199b-5p	0.0115530948790099
50	ZNF141|7700	hsa-miR-23b-3p	0.0115229486765143
51	ZNF440|126070	hsa-miR-181b-5p	0.0113258102829435
52	ZNF700|90592	hsa-miR-181a-5p	0.0112799485632228
53	ZNF195|7748	hsa-miR-23a-3p	0.0112293049070748
54	ZNF439|90594	hsa-miR-181b-5p	0.0112148638232705
55	ATP6AP2|10159	hsa-miR-148a-3p	0.0107186127128033
56	IGF2|3481	hsa-miR-210-3p	0.0105657590982771
57	HMGA2|8091	hsa-let-7c-5p	0.0103812548006099
58	TET3|200424	hsa-miR-29b-3p	0.0103500086979599
59	ZNF439|90594	hsa-miR-199a-5p	0.0102252410353226
60	FGFRL1|53834	hsa-miR-210-3p	0.0100799173866536
61	HMGA2|8091	hsa-let-7e-5p	0.00993883129406204
62	ZNF195|7748	hsa-miR-23b-3p	0.00985136479583931
63	ZNF791|163049	hsa-miR-199b-5p	0.00970428910443018
64	ZNF594|84622	hsa-miR-181c-5p	0.00961812195416894
65	ZNF117|51351	hsa-miR-130a-5p	0.00960617990428485
66	ZNF700|90592	hsa-miR-181b-5p	0.00935433616705908
67	HMGA2|8091	hsa-let-7i-5p	0.00935180343417905
68	COL3A1|1281	hsa-miR-29a-3p	0.00935052638247096
69	HMGA2|8091	hsa-let-7g-5p	0.00912317518922354
70	ZNF267|10308	hsa-miR-23a-3p	0.00905635730139294
71	ZNF225|7768	hsa-miR-23a-3p	0.00903012470617619
72	ZNF788|388507	hsa-miR-181a-5p	0.00902017393247209
73	ZFP14|57677	hsa-miR-181a-5p	0.0088900285736026
74	ARID3B|10620	hsa-let-7a-5p	0.00868968025699132
75	ZNF525|170958	hsa-miR-23a-3p	0.00863829186162886
76	ZNF470|388566	hsa-miR-181a-5p	0.00859392051880385
77	HMGA2|8091	hsa-let-7d-5p	0.00843647221573988
78	MDM4|4194	hsa-miR-34a-5p	0.00841487752188416
79	ARID3B|10620	hsa-let-7b-5p	0.00837477766515593
80	ZNF439|90594	hsa-miR-199b-5p	0.00835312796437143
81	ZNF844|284391	hsa-miR-181c-5p	0.00835165506529687
82	ZNF594|84622	hsa-miR-181d-5p	0.00830751152170905
83	COL3A1|1281	hsa-miR-29c-3p	0.00829239692714654
84	ZNF267|10308	hsa-miR-23b-3p	0.00809547821479005
85	ZNF14|7561	hsa-miR-181a-5p	0.00806849196149965
86	TPRXL|348825	hsa-miR-185-3p	0.00799329514434836
87	ZNF430|80264	hsa-miR-23a-3p	0.00796759805520563
88	ZNF225|7768	hsa-miR-23b-3p	0.00786736172927581
89	TFRC|7037	hsa-miR-23a-3p	0.00783361327887635
90	ZNF85|7639	hsa-miR-23a-3p	0.00778030170256211
91	ZNF440|126070	hsa-miR-181c-5p	0.00771979143749876
92	ARID3B|10620	hsa-let-7f-5p	0.00768768592968051
93	ZNF439|90594	hsa-miR-181c-5p	0.00768432988347636
94	ZNF100|163227	hsa-miR-23a-3p	0.00756582994552673
95	COL1A2|1278	hsa-miR-29a-3p	0.00753337658189965
96	ZNF788|388507	hsa-miR-181b-5p	0.00748819647457866
97	DDIT4|54541	hsa-miR-22-3p	0.00746797099067357
98	ZNF525|170958	hsa-miR-23b-3p	0.00746223911493415
99	ZFP14|57677	hsa-miR-181b-5p	0.00737764502415208
100	COL3A1|1281	hsa-miR-29b-3p	0.00726396072818872
101	ZFP36L1|677	hsa-miR-182-5p	0.00724192192963958
102	DST|667	hsa-miR-93-3p	0.00721837519479511
103	ZNF844|284391	hsa-miR-181d-5p	0.00716378909786538
104	ZNF107|51427	hsa-miR-130a-5p	0.00715781069656663
105	HSPB8|26353	hsa-miR-126-5p	0.00715306279431019
106	ZNF772|400720	hsa-miR-199a-5p	0.00715279122671036
107	H3F3B|3021	hsa-miR-22-3p	0.00714730057367694
108	ZNF470|388566	hsa-miR-181b-5p	0.00713887772905326
109	CTTN|2017	hsa-miR-182-5p	0.00704775061404278
110	ENO1|2023	hsa-miR-22-3p	0.00704450846505656
111	ZNF788|388507	hsa-miR-199a-5p	0.0070355794091596
112	BOK|666	hsa-miR-296-5p	0.00702738091034055
113	ZNF28|7576	hsa-miR-23a-3p	0.00702104869707653
114	ZNF430|80264	hsa-miR-23b-3p	0.0070078089635841
115	CD69|969	hsa-miR-25-3p	0.00697152813605537
116	ZNF117|51351	hsa-miR-23c	0.0069539737554593
117	TFRC|7037	hsa-miR-103a-3p	0.00693308217705158
118	CD69|969	hsa-miR-92a-3p	0.00688156333914272
119	ZNF85|7639	hsa-miR-23b-3p	0.00688115471257389
120	ITM2B|9445	hsa-miR-143-3p	0.00686558776645622
121	TFRC|7037	hsa-miR-23b-3p	0.0068622927631111
122	NAA20|51126	hsa-miR-22-3p	0.00685561059439178
123	ZNF563|147837	hsa-miR-199a-5p	0.00682983679269432
124	FSCN1|6624	hsa-miR-145-5p	0.00682814689903722
