rank	mrna name	mirna name	mirtigo score
1	ZNF208|7757	hsa-miR-23a-3p	0.0224245624366672
2	ZNF117|51351	hsa-miR-23a-3p	0.020236460493998
3	ZNF208|7757	hsa-miR-23b-3p	0.0200317158663845
4	ZNF117|51351	hsa-miR-23b-3p	0.0179787874138049
5	ZNF107|51427	hsa-miR-23a-3p	0.0140354108708529
6	ZNF107|51427	hsa-miR-23b-3p	0.0125150712671376
7	ZNF780B|163131	hsa-miR-181a-5p	0.0110194491992804
8	ZNF780B|163131	hsa-miR-181b-5p	0.00904537263056712
9	ZNF91|7644	hsa-miR-23a-3p	0.0082881227990244
10	COL1A1|1277	hsa-miR-29a-3p	0.00820850140499483
11	ZNF780A|284323	hsa-miR-181a-5p	0.00799574286976724
12	ZNF91|7644	hsa-miR-23b-3p	0.00733642262839611
13	COL1A1|1277	hsa-miR-29b-3p	0.00671509338056572
14	COL1A1|1277	hsa-miR-29c-3p	0.00667631971401096
15	ZNF780B|163131	hsa-miR-181c-5p	0.00662960300093245
16	ZNF99|7652	hsa-miR-23a-3p	0.00656778167977127
17	ZNF780A|284323	hsa-miR-181b-5p	0.00656437152323896
18	ZNF440|126070	hsa-miR-199a-5p	0.00627153633878925
19	ZNF844|284391	hsa-miR-199a-5p	0.00585014793768854
20	ZNF99|7652	hsa-miR-23b-3p	0.00571745566079673
21	ZNF208|7757	hsa-miR-130a-5p	0.00562694741968176
22	ZNF780B|163131	hsa-miR-181d-5p	0.00556748948533417
23	ZNF776|284309	hsa-miR-199a-5p	0.00543525135499037
24	ZNF117|51351	hsa-miR-130a-5p	0.00504216485509405
25	ZNF440|126070	hsa-miR-199b-5p	0.00503293230886429
26	ZNF844|284391	hsa-miR-181a-5p	0.00494753327990102
27	ZNF594|84622	hsa-miR-181a-5p	0.00483277780356525
28	ZNF780A|284323	hsa-miR-181c-5p	0.00481212508522021
29	ZNF844|284391	hsa-miR-199b-5p	0.00470497412995596
30	ZNF700|90592	hsa-miR-199a-5p	0.00460668500024761
31	ZNF721|170960	hsa-miR-23a-3p	0.004572254272511
32	ZNF254|9534	hsa-miR-23a-3p	0.00446460511498514
