rank	mrna name	mirna name	mirtigo score
1	ZNF208|7757	hsa-miR-23a-3p	0.0709077340129019
2	ZNF208|7757	hsa-miR-23b-3p	0.0684992393058037
3	ZNF117|51351	hsa-miR-23a-3p	0.0588813036883564
4	ZNF117|51351	hsa-miR-23b-3p	0.0562709860029954
5	ZNF107|51427	hsa-miR-23a-3p	0.041295222550003
6	ZNF107|51427	hsa-miR-23b-3p	0.0396425261218225
7	ZNF99|7652	hsa-miR-23a-3p	0.0365146197331903
8	ZNF780B|163131	hsa-miR-181a-5p	0.0355192983681548
9	ZNF99|7652	hsa-miR-23b-3p	0.0347627519651144
10	ZNF780B|163131	hsa-miR-181b-5p	0.0281539056152534
11	ZNF91|7644	hsa-miR-23a-3p	0.0250686456739967
12	ZNF780A|284323	hsa-miR-181a-5p	0.0242607668675637
13	ZNF91|7644	hsa-miR-23b-3p	0.0238947484296311
14	COL1A1|1277	hsa-miR-29a-3p	0.0215330174144681
15	ZNF780B|163131	hsa-miR-181c-5p	0.0196853867490653
16	ZNF780A|284323	hsa-miR-181b-5p	0.0192265373043436
17	ZNF844|284391	hsa-miR-181a-5p	0.0188797115177951
18	ZNF780B|163131	hsa-miR-181d-5p	0.0187977275072496
19	ZNF440|126070	hsa-miR-199a-5p	0.0185180425006916
20	ZNF844|284391	hsa-miR-199a-5p	0.0161103447369325
21	ZNF439|90594	hsa-miR-181a-5p	0.01519811439646
22	ZNF844|284391	hsa-miR-181b-5p	0.014974670794378
23	ZNF594|84622	hsa-miR-181a-5p	0.0147540213882162
24	ZNF676|163223	hsa-miR-23a-3p	0.0143323738900809
25	FN3K|64122	hsa-miR-92b-5p	0.0137017914520832
26	ZNF676|163223	hsa-miR-23b-3p	0.0137015298898842
27	ZNF780A|284323	hsa-miR-181c-5p	0.0134576531131673
28	HMGA2|8091	hsa-let-7b-5p	0.0133731562045723
29	HMGA2|8091	hsa-let-7a-5p	0.0133449776967088
30	ZNF254|9534	hsa-miR-23a-3p	0.013241817026387
31	ZNF776|284309	hsa-miR-199a-5p	0.0131184829432889
32	ZNF721|170960	hsa-miR-23a-3p	0.0130887608358388
33	ZNF257|113835	hsa-miR-23a-3p	0.0128574422268195
34	ZNF780A|284323	hsa-miR-181d-5p	0.0128141945660222
35	ZNF440|126070	hsa-miR-181a-5p	0.0128070287467593
36	ZNF254|9534	hsa-miR-23b-3p	0.0126363887541466
37	ZNF721|170960	hsa-miR-23b-3p	0.0125773748778682
38	ZNF257|113835	hsa-miR-23b-3p	0.0123500513883169
39	ZNF439|90594	hsa-miR-181b-5p	0.0120562512659234
40	PPP2R2D|55844	hsa-miR-1275	0.0119922681017421
41	ZNF141|7700	hsa-miR-23a-3p	0.011858573180295
42	ZNF594|84622	hsa-miR-181b-5p	0.0117331204454509
43	HMGA2|8091	hsa-let-7c-5p	0.0116920394141634
44	BOK|666	hsa-miR-296-5p	0.0115262372208988
45	ZNF141|7700	hsa-miR-23b-3p	0.0113625602173412
46	ZNF544|27300	hsa-miR-199a-5p	0.0109183246527669
47	COL1A1|1277	hsa-miR-29c-3p	0.010793143188887
48	ZNF844|284391	hsa-miR-181c-5p	0.0104932358088375
49	TET3|200424	hsa-miR-29a-3p	0.0104156646792123
50	HMGA2|8091	hsa-let-7e-5p	0.0103954569849968
51	ZNF788|388507	hsa-miR-181a-5p	0.0103083963258476
52	IGF2|3481	hsa-miR-210-3p	0.0102100367104183
53	ZNF440|126070	hsa-miR-181b-5p	0.0101597193076684
54	ZNF700|90592	hsa-miR-199a-5p	0.0101300833420588
55	ZNF844|284391	hsa-miR-181d-5p	0.0100568141717169
56	ZNF700|90592	hsa-miR-181a-5p	0.0097274881752402
57	ZNF195|7748	hsa-miR-23a-3p	0.00950655993422759
58	FGFRL1|53834	hsa-miR-210-3p	0.00949088827877704
59	HMGA2|8091	hsa-let-7f-5p	0.00922440967074762
60	ZNF195|7748	hsa-miR-23b-3p	0.00899952391764527
61	ZNF791|163049	hsa-miR-199a-5p	0.0087460086317367
62	ZNF470|388566	hsa-miR-181a-5p	0.00866241743252277
63	ZNF419|79744	hsa-miR-199a-5p	0.00860368704931548
64	ZNF439|90594	hsa-miR-181c-5p	0.00849328131921068
65	ZNF439|90594	hsa-miR-199a-5p	0.00843070690699919
66	ZNF208|7757	hsa-miR-130a-5p	0.00842550458180005
67	ZNF14|7561	hsa-miR-181a-5p	0.0083745532353635
68	ZFP14|57677	hsa-miR-181a-5p	0.0083663321593247
69	ZNF85|7639	hsa-miR-23a-3p	0.0083154951002724
70	ZNF594|84622	hsa-miR-181c-5p	0.0082087478192605
71	ZNF208|7757	hsa-miR-766-3p	0.00820545385881244
72	ZNF788|388507	hsa-miR-181b-5p	0.0081763825120481
73	ZNF439|90594	hsa-miR-181d-5p	0.00810315160068368
74	HMGA2|8091	hsa-let-7d-5p	0.00806418873940016
75	ZNF85|7639	hsa-miR-23b-3p	0.00793499079466086
76	ZNF594|84622	hsa-miR-181d-5p	0.00786912394389435
77	ZNF700|90592	hsa-miR-181b-5p	0.0077105631219287
78	HMGA2|8091	hsa-let-7i-5p	0.00746852746885782
79	FGFRL1|53834	hsa-miR-103a-3p	0.00737908715333945
80	ZNF440|126070	hsa-miR-199b-5p	0.00732906968024262
81	ARID3B|10620	hsa-let-7b-5p	0.00731822658822627
82	ZNF100|163227	hsa-miR-23a-3p	0.00722278240193511
83	ARID3B|10620	hsa-let-7a-5p	0.00720740519018935
84	COL3A1|1281	hsa-miR-29a-3p	0.00711265746025397
85	ZNF440|126070	hsa-miR-181c-5p	0.00710977569960622
86	HMGA2|8091	hsa-let-7g-5p	0.00705557428733893
87	RPL15|6138	hsa-miR-92a-3p	0.00700313372900418
88	ARL2|402	hsa-miR-15b-5p	0.00689826528030177
89	ZNF470|388566	hsa-miR-181b-5p	0.00685900883118062
90	ZNF100|163227	hsa-miR-23b-3p	0.00680246251040015
91	ZNF440|126070	hsa-miR-181d-5p	0.00677858470867316
92	ATP6AP2|10159	hsa-miR-148a-3p	0.00667100562847019
93	ZNF14|7561	hsa-miR-181b-5p	0.00663686112081879
94	ZFP14|57677	hsa-miR-181b-5p	0.00663134985007427
95	ZNF267|10308	hsa-miR-23a-3p	0.00659317440836921
96	ZNF430|80264	hsa-miR-23a-3p	0.00653426490940442
97	ZNF225|7768	hsa-miR-23a-3p	0.00650415148564899
98	ZNF525|170958	hsa-miR-23a-3p	0.00649541958563109
99	ZNF117|51351	hsa-miR-130a-5p	0.00648502322592036
100	CD69|969	hsa-miR-92a-3p	0.00641615269467752
101	ZNF681|148213	hsa-miR-23a-3p	0.00640859529437762
102	ZNF844|284391	hsa-miR-199b-5p	0.00640689584288016
103	ZNF208|7757	hsa-miR-135b-3p	0.00639607745991875
104	TPRXL|348825	hsa-miR-185-3p	0.00638015700836474
105	ZNF267|10308	hsa-miR-23b-3p	0.00636850946420053
106	ONECUT2|9480	hsa-miR-9-5p	0.00636815492665476
107	ARID3B|10620	hsa-let-7c-5p	0.00627954246657612
108	RPL15|6138	hsa-miR-25-3p	0.00625505619175278
109	COL1A1|1277	hsa-miR-29b-3p	0.00622534506174967
110	ZNF430|80264	hsa-miR-23b-3p	0.0062045377155353
111	COL1A2|1278	hsa-miR-29a-3p	0.00617746835446059
112	GIGYF1|64599	hsa-miR-361-3p	0.0061400244362308
113	ZNF681|148213	hsa-miR-23b-3p	0.00613744422377699
114	ZNF225|7768	hsa-miR-23b-3p	0.00611721058332403
115	ZNF140|7699	hsa-miR-181a-5p	0.00606774594478192
116	ZNF525|170958	hsa-miR-23b-3p	0.00606564722976656
117	FGFRL1|53834	hsa-miR-107	0.00599734502864843
118	RPL14|9045	hsa-miR-15b-5p	0.00594324409504361
119	DCAF6|55827	hsa-miR-92a-3p	0.0059115851928833
120	CNPY2|10330	hsa-miR-30e-3p	0.00588307706822914
121	FIGN|55137	hsa-let-7a-5p	0.00588198816622635
122	ZNF788|388507	hsa-miR-199a-5p	0.00586355599308105
123	FIGN|55137	hsa-let-7b-5p	0.00583666566670154
124	ZNF420|147923	hsa-miR-181a-5p	0.00583612445956441
125	CNPY2|10330	hsa-miR-30a-3p	0.00577368990638936
126	ZNF791|163049	hsa-miR-181a-5p	0.00569072955143986
127	ZNF788|388507	hsa-miR-181c-5p	0.00567813387111095
128	CD69|969	hsa-miR-25-3p	0.00567246305976959
129	HMGA1|3159	hsa-miR-296-5p	0.0056568908951039
130	BOK|666	hsa-miR-24-3p	0.00565375947137118
131	HIST2H2AA3|8337	hsa-miR-1247-5p	0.00562298174600875
132	LMLN|89782	hsa-miR-92a-1-5p	0.00561635388416285
133	ATP6AP2|10159	hsa-miR-148b-3p	0.00560299983553935
134	ARID3B|10620	hsa-let-7e-5p	0.0055895164198198
135	C20orf27|54976	hsa-miR-423-5p	0.00557179678781129
136	C22orf46|79640	hsa-miR-326	0.00557144039742018
137	RPSAP58|388524	hsa-miR-103a-3p	0.00554922968902193
138	ZIK1|284307	hsa-miR-199a-5p	0.00551645979458058
139	ZNF90|7643	hsa-miR-23a-3p	0.00550452690674478
140	SOX12|6666	hsa-miR-423-5p	0.00549711967843548
141	TPT1|7178	hsa-miR-181a-2-3p	0.00547339786035249
142	ZNF28|7576	hsa-miR-23a-3p	0.00547312164106081
143	ZNF788|388507	hsa-miR-181d-5p	0.00543720415998032
