rank	mrna name	mirna name	mirtigo score
1	ZNF208|7757	hsa-miR-23a-3p	0.0410600318699126
2	ZNF117|51351	hsa-miR-23a-3p	0.0389983579557645
3	ZNF208|7757	hsa-miR-23b-3p	0.0372177302112147
4	ZNF117|51351	hsa-miR-23b-3p	0.0351453575499443
5	ZNF107|51427	hsa-miR-23a-3p	0.026243786398416
6	ZNF107|51427	hsa-miR-23b-3p	0.0237697181545601
7	ZNF780B|163131	hsa-miR-181a-5p	0.0233748486179969
8	ZNF780B|163131	hsa-miR-181b-5p	0.0195563057257868
9	ZNF780A|284323	hsa-miR-181a-5p	0.0165470718983846
10	ZNF440|126070	hsa-miR-199a-5p	0.0161582758634476
11	ZNF91|7644	hsa-miR-23a-3p	0.0159180054037762
12	COL1A1|1277	hsa-miR-29a-3p	0.0155622072827634
13	ZNF780B|163131	hsa-miR-181c-5p	0.0144756570382714
14	ZNF91|7644	hsa-miR-23b-3p	0.0143283746329999
15	ZNF780A|284323	hsa-miR-181b-5p	0.0138476926560532
16	COL1A1|1277	hsa-miR-29c-3p	0.0136403166454701
17	ZNF844|284391	hsa-miR-199a-5p	0.0131380328028634
18	ZNF440|126070	hsa-miR-199b-5p	0.0130965376637347
19	ZNF780B|163131	hsa-miR-181d-5p	0.0122958158154606
20	COL1A1|1277	hsa-miR-29b-3p	0.0122126693940042
21	ZNF776|284309	hsa-miR-199a-5p	0.011787665313115
22	ONECUT2|9480	hsa-miR-9-5p	0.0116699914277986
23	ZNF844|284391	hsa-miR-199b-5p	0.0106447826731608
24	ZNF844|284391	hsa-miR-181a-5p	0.0105600856480134
25	ZNF780A|284323	hsa-miR-181c-5p	0.0102366543394733
26	ZNF700|90592	hsa-miR-199a-5p	0.0100478910406067
27	ZNF594|84622	hsa-miR-181a-5p	0.00964756913461969
28	ZNF776|284309	hsa-miR-199b-5p	0.00953870744187801
29	ZNF721|170960	hsa-miR-23a-3p	0.00900714346988654
30	ZNF544|27300	hsa-miR-199a-5p	0.00886292941283508
31	ZNF844|284391	hsa-miR-181b-5p	0.00883942528212227
32	ZNF780A|284323	hsa-miR-181d-5p	0.00868219906751676
33	ZNF419|79744	hsa-miR-199a-5p	0.00861547386202728
34	ZNF439|90594	hsa-miR-181a-5p	0.00861271218337895
35	ZNF721|170960	hsa-miR-23b-3p	0.00816149460412039
36	ZNF700|90592	hsa-miR-199b-5p	0.00815553745503152
37	ZNF254|9534	hsa-miR-23a-3p	0.0081373395173853
38	ZNF594|84622	hsa-miR-181b-5p	0.00808686568049152
39	ZNF440|126070	hsa-miR-181a-5p	0.00767143503175419
40	ZNF141|7700	hsa-miR-23a-3p	0.00753868976663056
41	ZNF254|9534	hsa-miR-23b-3p	0.00732889002975797
42	ZNF439|90594	hsa-miR-181b-5p	0.00720793370003315
43	ZNF544|27300	hsa-miR-199b-5p	0.00717452488634812
44	ZNF676|163223	hsa-miR-23a-3p	0.00714821532023404
45	ZNF791|163049	hsa-miR-199a-5p	0.00701795191166027
46	ZNF419|79744	hsa-miR-199b-5p	0.00697414504048945
47	ZNF439|90594	hsa-miR-199a-5p	0.00696625055851974
48	ZNF141|7700	hsa-miR-23b-3p	0.00681278919296515
49	ZNF208|7757	hsa-miR-135b-3p	0.00664360699622986
50	ZNF700|90592	hsa-miR-181a-5p	0.0066347315772612
51	HMGA2|8091	hsa-let-7a-5p	0.00653450697916774
52	ZNF844|284391	hsa-miR-181c-5p	0.00652958674607669
53	TET3|200424	hsa-miR-29a-3p	0.00648779938036557
54	ZNF676|163223	hsa-miR-23b-3p	0.00645248080728843
55	ZNF440|126070	hsa-miR-181b-5p	0.00642299770869389
56	HMGA2|8091	hsa-let-7b-5p	0.00631092525315864
57	ZNF195|7748	hsa-miR-23a-3p	0.00622480583295539
58	ZNF594|84622	hsa-miR-181c-5p	0.00596813623835831
59	IGF2|3481	hsa-miR-210-3p	0.00579494613165274
60	ATP6AP2|10159	hsa-miR-148a-3p	0.00578630096483095
61	HMGA2|8091	hsa-let-7f-5p	0.00576896260393717
62	ZNF791|163049	hsa-miR-199b-5p	0.00569292698667033
63	ZNF788|388507	hsa-miR-181a-5p	0.0056874038627463
64	TET3|200424	hsa-miR-29c-3p	0.00566253330745191
65	COL3A1|1281	hsa-miR-29a-3p	0.00564309371028463
66	ZNF439|90594	hsa-miR-199b-5p	0.00563837852984939
67	ZNF195|7748	hsa-miR-23b-3p	0.00556266102733163
68	ZNF844|284391	hsa-miR-181d-5p	0.00555954235940613
69	ZNF700|90592	hsa-miR-181b-5p	0.0055542420835654
70	ZNF439|90594	hsa-miR-181c-5p	0.00534560791236995
71	FGFRL1|53834	hsa-miR-210-3p	0.00525573775736219
72	ZFP14|57677	hsa-miR-181a-5p	0.00517585768921836
73	ZNF470|388566	hsa-miR-181a-5p	0.00514834118541131
74	ZNF208|7757	hsa-miR-23c	0.00512613897982814
75	ZNF594|84622	hsa-miR-181d-5p	0.00509223394167
76	TET3|200424	hsa-miR-29b-3p	0.00507222102475554
77	HMGA2|8091	hsa-let-7c-5p	0.00505165491144014
78	ZNF267|10308	hsa-miR-23a-3p	0.00500632378141326
79	ZNF225|7768	hsa-miR-23a-3p	0.00499643519362822
80	COL3A1|1281	hsa-miR-29c-3p	0.00498092015019907
81	ZNF208|7757	hsa-miR-130a-5p	0.00494500098722358
82	HIST2H2AA3|8337	hsa-miR-1247-5p	0.00485373161585983
83	ZNF117|51351	hsa-miR-23c	0.0048282332106173
84	ZNF788|388507	hsa-miR-181b-5p	0.00476096118074906
85	HMGA2|8091	hsa-let-7e-5p	0.00475995064120151
86	ZNF563|147837	hsa-miR-199a-5p	0.00475956059481948
87	ZNF788|388507	hsa-miR-199a-5p	0.00472765831853992
88	ZNF440|126070	hsa-miR-181c-5p	0.00472004366015048
89	ZNF14|7561	hsa-miR-181a-5p	0.00468342568108467
