rank	mrna name	mirna name	mirtigo score
1	ZNF208|7757	hsa-miR-23a-3p	0.0455450094897227
2	ZNF208|7757	hsa-miR-23b-3p	0.0403400764804409
3	ZNF117|51351	hsa-miR-23a-3p	0.0398365975222078
4	ZNF117|51351	hsa-miR-23b-3p	0.0351800555574622
5	ZNF107|51427	hsa-miR-23a-3p	0.0246210119614863
6	ZNF780B|163131	hsa-miR-181a-5p	0.0245663987974512
7	ZNF107|51427	hsa-miR-23b-3p	0.0218253831406254
8	ZNF780B|163131	hsa-miR-181b-5p	0.0201349049686056
9	ZNF780B|163131	hsa-miR-181c-5p	0.0190007977490672
10	ZNF91|7644	hsa-miR-23a-3p	0.0169897264829073
11	ZNF780A|284323	hsa-miR-181a-5p	0.0159035030687891
12	ZNF780B|163131	hsa-miR-181d-5p	0.0157792441360566
13	ZNF91|7644	hsa-miR-23b-3p	0.014941678025278
14	ONECUT2|9480	hsa-miR-9-5p	0.0136357816336002
15	ZNF780A|284323	hsa-miR-181b-5p	0.0130340050426301
16	ZNF780A|284323	hsa-miR-181c-5p	0.0122888077255859
17	COL1A1|1277	hsa-miR-29a-3p	0.0118473690393751
18	COL1A1|1277	hsa-miR-29c-3p	0.0110581879606284
19	COL1A1|1277	hsa-miR-29b-3p	0.0104468809014475
20	ZNF780A|284323	hsa-miR-181d-5p	0.0101889481833993
21	ZNF844|284391	hsa-miR-199a-5p	0.0099444032620578
22	ZNF844|284391	hsa-miR-181a-5p	0.00972469692767718
23	ZNF594|84622	hsa-miR-181a-5p	0.00961355309800726
24	ZNF721|170960	hsa-miR-23a-3p	0.0096072390907908
25	ZNF676|163223	hsa-miR-23a-3p	0.00954147436096622
26	ZNF440|126070	hsa-miR-199a-5p	0.00940049535217689
27	IGF2|3481	hsa-miR-210-3p	0.00933232407333139
28	ZNF776|284309	hsa-miR-199a-5p	0.0093256142990755
29	ZNF254|9534	hsa-miR-23a-3p	0.00900683176726934
30	ZNF141|7700	hsa-miR-23a-3p	0.00882137690334668
31	ZNF721|170960	hsa-miR-23b-3p	0.00851074459534429
