rank	mrna name	mirna name	mirtigo score
1	ZNF117|51351	hsa-miR-23b-3p	0.109813655628674
2	ZNF117|51351	hsa-miR-23a-3p	0.109201938831126
3	ZNF208|7757	hsa-miR-23b-3p	0.0873976792169281
4	ZNF208|7757	hsa-miR-23a-3p	0.0862631979819732
5	ZNF107|51427	hsa-miR-23b-3p	0.0810802854867692
6	ZNF107|51427	hsa-miR-23a-3p	0.0802889535496717
7	ZNF780B|163131	hsa-miR-181a-5p	0.0622382002395121
8	ZNF91|7644	hsa-miR-23b-3p	0.0514619299786083
9	ZNF91|7644	hsa-miR-23a-3p	0.0513302425564082
10	ZNF780B|163131	hsa-miR-181b-5p	0.0479195531221207
11	ZNF440|126070	hsa-miR-199a-5p	0.0456706201756039
12	ZNF780B|163131	hsa-miR-181c-5p	0.0448627928916287
13	ZNF780A|284323	hsa-miR-181a-5p	0.0434630530579149
14	ZNF844|284391	hsa-miR-199a-5p	0.04271051081933
15	COL1A1|1277	hsa-miR-29a-3p	0.0384294337712918
16	ZNF440|126070	hsa-miR-199b-5p	0.038218663392462
17	COL1A1|1277	hsa-miR-29c-3p	0.0360857672888582
18	ZNF844|284391	hsa-miR-199b-5p	0.0358025676952715
19	ZNF776|284309	hsa-miR-199a-5p	0.034735409794152
20	ZNF780B|163131	hsa-miR-181d-5p	0.0340808134202254
21	ZNF780A|284323	hsa-miR-181b-5p	0.0334685128219289
22	ZNF844|284391	hsa-miR-181a-5p	0.0319849415472847
23	ZNF780A|284323	hsa-miR-181c-5p	0.0313269004904768
24	ZNF776|284309	hsa-miR-199b-5p	0.0290750075247486
25	ONECUT2|9480	hsa-miR-9-5p	0.0288081388842052
26	COL1A1|1277	hsa-miR-29b-3p	0.0283760929908526
27	ZNF721|170960	hsa-miR-23b-3p	0.0280127112582771
28	ZNF721|170960	hsa-miR-23a-3p	0.0277409823024269
29	ZNF594|84622	hsa-miR-181a-5p	0.0274988637365024
30	ZNF544|27300	hsa-miR-199a-5p	0.0273632120446609
31	ZNF700|90592	hsa-miR-199a-5p	0.0266709473098669
32	ZNF254|9534	hsa-miR-23b-3p	0.0263851034981912
33	ZNF254|9534	hsa-miR-23a-3p	0.0262903264982649
34	ZNF419|79744	hsa-miR-199a-5p	0.0255220492637653
35	ZNF844|284391	hsa-miR-181b-5p	0.0246340962063238
36	ZNF141|7700	hsa-miR-23b-3p	0.0237754869927948
37	ZNF780A|284323	hsa-miR-181d-5p	0.0237601393061035
38	ZNF141|7700	hsa-miR-23a-3p	0.0236157571712595
39	ZNF844|284391	hsa-miR-181c-5p	0.0229900396903628
40	ZNF544|27300	hsa-miR-199b-5p	0.0229046763057821
41	ZNF700|90592	hsa-miR-199b-5p	0.0223752914100627
42	TET3|200424	hsa-miR-29a-3p	0.0216810646950931
43	ZNF439|90594	hsa-miR-181a-5p	0.021540945585822
44	ZNF419|79744	hsa-miR-199b-5p	0.0213727709438536
45	ZNF594|84622	hsa-miR-181b-5p	0.0212182610662485
46	TET3|200424	hsa-miR-29c-3p	0.0202560490568325
47	ZNF440|126070	hsa-miR-181a-5p	0.0201699758978866
48	KLK4|9622	hsa-miR-423-5p	0.0201426452511234
49	ZNF594|84622	hsa-miR-181c-5p	0.0197845273515978
50	ZNF791|163049	hsa-miR-199a-5p	0.0196851059742173
51	ATP6AP2|10159	hsa-miR-148a-3p	0.0194018766962476
52	ZNF439|90594	hsa-miR-199a-5p	0.018722389056549
53	ZNF195|7748	hsa-miR-23a-3p	0.0185437939077019
54	ZNF195|7748	hsa-miR-23b-3p	0.0184735238090663
55	ZNF844|284391	hsa-miR-181d-5p	0.0175102191241916
56	ZNF439|90594	hsa-miR-181b-5p	0.0165956357368204
57	ZNF791|163049	hsa-miR-199b-5p	0.0165049267608514
