rank	mrna name	mirna name	mirtigo score
1	ZNF117|51351	hsa-miR-23a-3p	0.0134544581848784
2	ZNF117|51351	hsa-miR-23b-3p	0.0121289397131899
3	ZNF107|51427	hsa-miR-23a-3p	0.0108431759005698
4	ZNF107|51427	hsa-miR-23b-3p	0.00981659948478516
5	ZNF780B|163131	hsa-miR-181a-5p	0.00809452196712163
6	ZNF208|7757	hsa-miR-23a-3p	0.00791775292454861
7	ZNF208|7757	hsa-miR-23b-3p	0.00720975944910781
8	ZNF780B|163131	hsa-miR-181b-5p	0.00685700522622277
9	ZNF91|7644	hsa-miR-23a-3p	0.00651161470132428
10	ZNF91|7644	hsa-miR-23b-3p	0.00584866889461859
11	ZNF780A|284323	hsa-miR-181a-5p	0.00564281173323257
12	COL1A1|1277	hsa-miR-29a-3p	0.00538027074586862
13	ZNF440|126070	hsa-miR-199a-5p	0.00535226751047246
14	ZNF780B|163131	hsa-miR-181d-5p	0.00507434265804815
15	ZNF780B|163131	hsa-miR-181c-5p	0.00494902260466476
16	ZNF780A|284323	hsa-miR-181b-5p	0.00478064989185057
17	ZNF844|284391	hsa-miR-199a-5p	0.00435473342573973
18	COL1A1|1277	hsa-miR-29b-3p	0.00421285338368555
19	ZNF440|126070	hsa-miR-199b-5p	0.00419212377735103
20	COL1A1|1277	hsa-miR-29c-3p	0.00414846679385894
21	ZNF844|284391	hsa-miR-181a-5p	0.00378094162037567
22	ZNF776|284309	hsa-miR-199a-5p	0.00364864774840963
23	ZNF780A|284323	hsa-miR-181d-5p	0.00353269850222768
24	ZNF780A|284323	hsa-miR-181c-5p	0.00345021161045644
25	ZNF844|284391	hsa-miR-199b-5p	0.00341323867376806
26	ZNF721|170960	hsa-miR-23a-3p	0.00334481230806512
27	ZNF254|9534	hsa-miR-23a-3p	0.0032155387292334
28	ZNF700|90592	hsa-miR-199a-5p	0.00321174992089807
29	ZNF844|284391	hsa-miR-181b-5p	0.00319995807584705
30	ZNF721|170960	hsa-miR-23b-3p	0.00302640866704541
31	ZNF594|84622	hsa-miR-181a-5p	0.00301936171964515
32	HMGA2|8091	hsa-let-7a-5p	0.0029537029779288
33	ZNF141|7700	hsa-miR-23a-3p	0.00294663721011133
34	ZNF544|27300	hsa-miR-199a-5p	0.00293333251716242
35	ZNF254|9534	hsa-miR-23b-3p	0.00289050702729529
36	HMGA2|8091	hsa-let-7f-5p	0.0028645251106478
37	ZNF776|284309	hsa-miR-199b-5p	0.00285682253798379
38	ZNF440|126070	hsa-miR-181a-5p	0.00274487037795752
39	ZNF439|90594	hsa-miR-181a-5p	0.00268894716854809
40	TET3|200424	hsa-miR-29a-3p	0.002674641856502
41	HMGA2|8091	hsa-let-7b-5p	0.00266481130406336
42	ZNF141|7700	hsa-miR-23b-3p	0.00265662163158032
43	ONECUT2|9480	hsa-miR-9-5p	0.00258006059797068
44	ZNF594|84622	hsa-miR-181b-5p	0.00256260029390056
45	ZNF195|7748	hsa-miR-23a-3p	0.00252241907424231
46	ZNF700|90592	hsa-miR-199b-5p	0.00251931984656309
47	ZNF419|79744	hsa-miR-199a-5p	0.00243179106979374
48	ZNF844|284391	hsa-miR-181d-5p	0.00237501177817934
49	ATP6AP2|10159	hsa-miR-148a-3p	0.00233600910024897
50	ZNF440|126070	hsa-miR-181b-5p	0.00232441191516097
51	ZNF844|284391	hsa-miR-181c-5p	0.00230974711248868
52	IGF2|3481	hsa-miR-210-3p	0.00230304252953163
53	ZNF544|27300	hsa-miR-199b-5p	0.00229660232698229
54	ZNF700|90592	hsa-miR-181a-5p	0.00229187993305985
55	ZNF791|163049	hsa-miR-199a-5p	0.00227548826103304
56	ZNF439|90594	hsa-miR-181b-5p	0.00227332785662071
57	ZNF195|7748	hsa-miR-23b-3p	0.00225118318841017
58	FGFRL1|53834	hsa-miR-210-3p	0.00223981597092026
59	HOXA7|3204	hsa-miR-196b-5p	0.00213362022982411
60	HMGA2|8091	hsa-let-7e-5p	0.00212654436513004
61	HMGA2|8091	hsa-let-7g-5p	0.00210960692549146
62	TET3|200424	hsa-miR-29b-3p	0.00208792255875656
63	TET3|200424	hsa-miR-29c-3p	0.00205355704389219
64	HMGA2|8091	hsa-let-7i-5p	0.00204608225111285
65	ZNF439|90594	hsa-miR-199a-5p	0.00202215461412057
66	HMGA2|8091	hsa-let-7c-5p	0.00197074382745645
67	COL3A1|1281	hsa-miR-29a-3p	0.00195603487186486
68	ZNF700|90592	hsa-miR-181b-5p	0.00194120073940612
69	ZNF419|79744	hsa-miR-199b-5p	0.00190599381848104
70	ZNF594|84622	hsa-miR-181d-5p	0.00190408933566007
71	ZNF208|7757	hsa-miR-135b-3p	0.00189697798699015
72	ZNF470|388566	hsa-miR-181a-5p	0.00188380584223888
73	HIST2H2AA3|8337	hsa-miR-1247-5p	0.00187219714335254
74	ZNF267|10308	hsa-miR-23a-3p	0.0018488826415183
75	ZNF594|84622	hsa-miR-181c-5p	0.00184523598768933
76	HMGA2|8091	hsa-let-7d-5p	0.00183683288079899
77	ZNF525|170958	hsa-miR-23a-3p	0.00182272701239023
78	ZNF791|163049	hsa-miR-199b-5p	0.00178663508749183
79	ARID3B|10620	hsa-let-7a-5p	0.00176609140612984
80	ZNF100|163227	hsa-miR-23a-3p	0.00171377891852758
81	ZNF440|126070	hsa-miR-181d-5p	0.00171194201072326
82	ZNF788|388507	hsa-miR-181a-5p	0.00169848166867405
83	ZFP14|57677	hsa-miR-181a-5p	0.00169414756994234
84	ZNF439|90594	hsa-miR-181d-5p	0.00169336728665384
85	ARID3B|10620	hsa-let-7f-5p	0.00169217243763391
86	ZNF267|10308	hsa-miR-23b-3p	0.00168306250986076
