rank	mrna name	mirna name	mirtigo score
1	ZNF117|51351	hsa-miR-23a-3p	0.0584417539103104
2	ZNF208|7757	hsa-miR-23a-3p	0.051269796118518
3	ZNF117|51351	hsa-miR-23b-3p	0.049608879561809
4	ZNF208|7757	hsa-miR-23b-3p	0.0440724281128068
5	ZNF107|51427	hsa-miR-23a-3p	0.0433817101004585
6	ZNF780B|163131	hsa-miR-181a-5p	0.0371283690206857
7	ZNF107|51427	hsa-miR-23b-3p	0.0368211896355963
8	ZNF780B|163131	hsa-miR-181b-5p	0.0307706051968812
9	ZNF780A|284323	hsa-miR-181a-5p	0.0263127985204046
10	ZNF91|7644	hsa-miR-23a-3p	0.025536995076414
11	COL1A1|1277	hsa-miR-29a-3p	0.0245531761824129
12	ZNF844|284391	hsa-miR-199a-5p	0.0241452424987957
13	ZNF440|126070	hsa-miR-199a-5p	0.0239365478048533
14	ZNF780A|284323	hsa-miR-181b-5p	0.0217969103383928
15	ZNF91|7644	hsa-miR-23b-3p	0.0215500564892678
16	ZNF780B|163131	hsa-miR-181c-5p	0.0196704438673723
17	ZNF844|284391	hsa-miR-181a-5p	0.0187183645292073
18	ZNF776|284309	hsa-miR-199a-5p	0.0186904722999575
19	ZNF99|7652	hsa-miR-23a-3p	0.018661612287687
20	COL1A1|1277	hsa-miR-29c-3p	0.0186076586768876
21	COL1A1|1277	hsa-miR-29b-3p	0.0181866721670947
22	ZNF780B|163131	hsa-miR-181d-5p	0.017711357359032
23	ZNF700|90592	hsa-miR-199a-5p	0.0170433351757542
24	ZNF99|7652	hsa-miR-23b-3p	0.0166308825549772
25	ZNF440|126070	hsa-miR-199b-5p	0.0165412499200453
26	ZNF844|284391	hsa-miR-199b-5p	0.0165034353827606
27	ZNF594|84622	hsa-miR-181a-5p	0.0160575456205097
28	ZNF844|284391	hsa-miR-181b-5p	0.0155046917726786
29	ZNF544|27300	hsa-miR-199a-5p	0.0149869994354635
30	ZNF439|90594	hsa-miR-181a-5p	0.0145749249297996
31	ZNF419|79744	hsa-miR-199a-5p	0.0145391686816463
