rank	mrna name	mirna name	mirtigo score
1	ZNF117|51351	hsa-miR-23a-3p	0.0187534302816025
2	ZNF117|51351	hsa-miR-23b-3p	0.0155579664508536
3	ZNF107|51427	hsa-miR-23a-3p	0.0138963446463786
4	ZNF780B|163131	hsa-miR-181a-5p	0.0129853707150008
5	ZNF107|51427	hsa-miR-23b-3p	0.0115543462972373
6	ZNF780B|163131	hsa-miR-181b-5p	0.0111265439113178
7	ZNF780A|284323	hsa-miR-181a-5p	0.0095946335058424
8	ZNF780A|284323	hsa-miR-181b-5p	0.00822503361018786
9	ZNF208|7757	hsa-miR-23a-3p	0.00811000415390848
10	ZNF91|7644	hsa-miR-23a-3p	0.00806308789995843
11	COL1A1|1277	hsa-miR-29a-3p	0.00787676163285883
12	ZNF440|126070	hsa-miR-199a-5p	0.00688215850616368
13	ZNF208|7757	hsa-miR-23b-3p	0.00677362593609301
14	ZNF91|7644	hsa-miR-23b-3p	0.00664746005340408
15	ZNF440|126070	hsa-miR-199b-5p	0.00547304407417504
16	ZNF844|284391	hsa-miR-181a-5p	0.00538119128091869
17	COL1A1|1277	hsa-miR-29b-3p	0.00534107070201774
18	ZNF780B|163131	hsa-miR-181c-5p	0.00531320023669834
19	ZNF594|84622	hsa-miR-181a-5p	0.0053021583104121
20	ZNF780B|163131	hsa-miR-181d-5p	0.0052472450558339
21	ZNF439|90594	hsa-miR-181a-5p	0.00524439082712236
22	COL1A1|1277	hsa-miR-29c-3p	0.00515833872155427
23	ZNF776|284309	hsa-miR-199a-5p	0.00507056506679056
24	ZNF844|284391	hsa-miR-199a-5p	0.00504416503192028
25	ZNF721|170960	hsa-miR-23a-3p	0.00478389954986817
26	ZNF844|284391	hsa-miR-181b-5p	0.00462023854505866
27	ZNF594|84622	hsa-miR-181b-5p	0.00455533551633886
28	ZNF439|90594	hsa-miR-181b-5p	0.00449252293810707
29	ZNF440|126070	hsa-miR-181a-5p	0.00433280682368055
30	ZNF700|90592	hsa-miR-199a-5p	0.00421373921130066
31	ZNF254|9534	hsa-miR-23a-3p	0.00420057589978195
32	ZNF544|27300	hsa-miR-199a-5p	0.00412002096767619
33	ZNF776|284309	hsa-miR-199b-5p	0.00404142412319274
34	ZNF844|284391	hsa-miR-199b-5p	0.0040392032590996
35	ZNF721|170960	hsa-miR-23b-3p	0.00397003732896833
36	ONECUT2|9480	hsa-miR-9-5p	0.00396628445738945
37	ZNF780A|284323	hsa-miR-181c-5p	0.00391370147016983
38	ZNF419|79744	hsa-miR-199a-5p	0.0038795265253808
39	ZNF780A|284323	hsa-miR-181d-5p	0.00384993443365979
40	ZNF141|7700	hsa-miR-23a-3p	0.00381793791109444
