rank	mrna name	mirna name	mirtigo score
1	ZNF117|51351	hsa-miR-23a-3p	0.0907082701844962
2	ZNF117|51351	hsa-miR-23b-3p	0.0824459709029533
3	ZNF208|7757	hsa-miR-23a-3p	0.0745369420888951
4	ZNF208|7757	hsa-miR-23b-3p	0.0687201503165919
5	ZNF107|51427	hsa-miR-23a-3p	0.0673131545461409
6	ZNF107|51427	hsa-miR-23b-3p	0.0614001320745768
7	ZNF780B|163131	hsa-miR-181a-5p	0.0503820092926962
8	ZNF780B|163131	hsa-miR-181b-5p	0.0410171213316371
9	ZNF91|7644	hsa-miR-23a-3p	0.0406473646387756
10	ZNF91|7644	hsa-miR-23b-3p	0.0368517361426727
11	COL1A1|1277	hsa-miR-29a-3p	0.0348688084081883
12	ZNF780A|284323	hsa-miR-181a-5p	0.0339557010379492
13	ZNF99|7652	hsa-miR-23a-3p	0.0326152448422724
14	ZNF440|126070	hsa-miR-199a-5p	0.0325020925230746
15	ZNF780B|163131	hsa-miR-181c-5p	0.0311625840808474
16	COL1A1|1277	hsa-miR-29c-3p	0.0305951242377392
17	ZNF99|7652	hsa-miR-23b-3p	0.0299512522153989
18	ONECUT2|9480	hsa-miR-9-5p	0.028037625559013
19	ZNF780A|284323	hsa-miR-181b-5p	0.0276682849029981
20	COL1A1|1277	hsa-miR-29b-3p	0.0269790848889125
21	ZNF844|284391	hsa-miR-199a-5p	0.0266669292527764
22	ZNF440|126070	hsa-miR-199b-5p	0.0265999389948697
23	ZNF780B|163131	hsa-miR-181d-5p	0.0253388092047985
24	ZNF776|284309	hsa-miR-199a-5p	0.0236386695260377
25	ZNF844|284391	hsa-miR-181a-5p	0.0227128389381445
26	ZNF844|284391	hsa-miR-199b-5p	0.0218694430887204
27	ZNF780A|284323	hsa-miR-181c-5p	0.0209565490174413
28	ZNF721|170960	hsa-miR-23a-3p	0.0209229211626137
29	ZNF776|284309	hsa-miR-199b-5p	0.0193406667884487
30	ZNF721|170960	hsa-miR-23b-3p	0.01908175649861
31	ZNF254|9534	hsa-miR-23a-3p	0.0189747209400923
32	ZNF700|90592	hsa-miR-199a-5p	0.0188915465793566
33	ZNF544|27300	hsa-miR-199a-5p	0.0185661437750716
34	ZNF844|284391	hsa-miR-181b-5p	0.0184562442952364
35	ZNF594|84622	hsa-miR-181a-5p	0.0183719212697286
36	TET3|200424	hsa-miR-29a-3p	0.0173516803579743
37	ZNF254|9534	hsa-miR-23b-3p	0.0172305678085014
38	ZNF780A|284323	hsa-miR-181d-5p	0.0170119246635439
39	ZNF141|7700	hsa-miR-23a-3p	0.0168786818037464
40	ZNF440|126070	hsa-miR-181a-5p	0.0164959645582798
41	HMGA2|8091	hsa-let-7a-5p	0.0162629188193963
42	ZNF791|163049	hsa-miR-199a-5p	0.0157878591495122
43	ZNF700|90592	hsa-miR-199b-5p	0.0154950101919795
44	ZNF141|7700	hsa-miR-23b-3p	0.0154158511304694
45	ZNF544|27300	hsa-miR-199b-5p	0.0151935517063793
46	TET3|200424	hsa-miR-29c-3p	0.015157290168146
47	ZNF439|90594	hsa-miR-181a-5p	0.0150255632868345
48	ZNF594|84622	hsa-miR-181b-5p	0.0150078204624222
49	HMGA2|8091	hsa-let-7b-5p	0.0149287704486023
50	ZNF195|7748	hsa-miR-23a-3p	0.0148824798128128
51	HMGA2|8091	hsa-let-7f-5p	0.0148818724563727
52	ZNF844|284391	hsa-miR-181c-5p	0.0141135180619774
53	ZNF419|79744	hsa-miR-199a-5p	0.0137941279948495
54	ZNF676|163223	hsa-miR-23a-3p	0.0136905681556925
55	ZNF440|126070	hsa-miR-181b-5p	0.0134282240177608
56	ZNF195|7748	hsa-miR-23b-3p	0.0133767967787963
57	TET3|200424	hsa-miR-29b-3p	0.0133665999736689
58	ZNF700|90592	hsa-miR-181a-5p	0.0133322168911597
59	ATP6AP2|10159	hsa-miR-148a-3p	0.0132937642938541
60	ZNF791|163049	hsa-miR-199b-5p	0.0129400222934371
61	ZNF676|163223	hsa-miR-23b-3p	0.0126382442723297
62	IGF2|3481	hsa-miR-210-3p	0.0124571757288795
63	COL3A1|1281	hsa-miR-29a-3p	0.0123285833158165
64	ZNF439|90594	hsa-miR-181b-5p	0.0122254071265619
65	ZNF208|7757	hsa-miR-135b-3p	0.0118712848648579
66	ARID3B|10620	hsa-let-7a-5p	0.0118031059228497
67	FGFRL1|53834	hsa-miR-210-3p	0.0117670661081501
68	ZNF788|388507	hsa-miR-181a-5p	0.0116566604174677
69	HMGA2|8091	hsa-let-7c-5p	0.0116329974338354
70	HMGA2|8091	hsa-let-7e-5p	0.0116139112806099
71	ZNF844|284391	hsa-miR-181d-5p	0.0114911723153134
72	ZNF439|90594	hsa-miR-199a-5p	0.0114350825018921
73	ZNF267|10308	hsa-miR-23a-3p	0.0114262220080104
74	ZNF594|84622	hsa-miR-181c-5p	0.0113641366910728
75	ZNF419|79744	hsa-miR-199b-5p	0.0112791079649919
76	MDM4|4194	hsa-miR-34a-5p	0.011242215078742
77	ZNF117|51351	hsa-miR-23c	0.0111191196773971
78	HMGA2|8091	hsa-let-7g-5p	0.0110660992393777
79	ARID3B|10620	hsa-let-7b-5p	0.0109666447151075
80	COL3A1|1281	hsa-miR-29c-3p	0.0109055232625934
81	ZNF700|90592	hsa-miR-181b-5p	0.0108551672262358
82	ZNF100|163227	hsa-miR-23a-3p	0.0108214980240052
83	ZNF225|7768	hsa-miR-23a-3p	0.0108056372472034
84	ZFP14|57677	hsa-miR-181a-5p	0.0107325268769194
85	ZNF257|113835	hsa-miR-23a-3p	0.010728600586611
86	ARID3B|10620	hsa-let-7f-5p	0.0106765875311666
87	ZNF430|80264	hsa-miR-23a-3p	0.0105823065923198
88	HMGA2|8091	hsa-let-7i-5p	0.0105064633635561
89	ZNF267|10308	hsa-miR-23b-3p	0.0104730892705554
90	ITM2B|9445	hsa-miR-143-3p	0.0103623842769095
91	ZNF85|7639	hsa-miR-23a-3p	0.0103283481079162
92	ZNF208|7757	hsa-miR-23c	0.0102182900676914
93	ZNF440|126070	hsa-miR-181c-5p	0.0101480049731379
94	COL1A2|1278	hsa-miR-29a-3p	0.0100657633400071
95	FGFRL1|53834	hsa-miR-103a-3p	0.00996848914218339
96	ZNF14|7561	hsa-miR-181a-5p	0.00985280669484205
97	ZNF257|113835	hsa-miR-23b-3p	0.00984757595910377
98	HMGA2|8091	hsa-let-7d-5p	0.00977402019686437
99	ZNF525|170958	hsa-miR-23a-3p	0.00970940795194257
100	ZNF100|163227	hsa-miR-23b-3p	0.00969392263556642
101	ZNF225|7768	hsa-miR-23b-3p	0.00966855613706845
102	ZNF470|388566	hsa-miR-181a-5p	0.00962078636967617
103	COL3A1|1281	hsa-miR-29b-3p	0.00959863890826563
104	ZNF430|80264	hsa-miR-23b-3p	0.00955833557025063
105	ZNF788|388507	hsa-miR-181b-5p	0.00948616713609358
106	BOK|666	hsa-miR-24-3p	0.00938813698229285
107	ZNF439|90594	hsa-miR-181c-5p	0.00937891638333843
108	ZNF85|7639	hsa-miR-23b-3p	0.00937758190044659
109	ZNF439|90594	hsa-miR-199b-5p	0.00937346623596188
110	ZNF594|84622	hsa-miR-181d-5p	0.00933319496546371
111	HSPB8|26353	hsa-miR-126-5p	0.00922174566949892
112	ZNF788|388507	hsa-miR-199a-5p	0.0091366799672022
113	CD69|969	hsa-miR-25-3p	0.00913310718731175
114	TET2|54790	hsa-miR-29a-3p	0.00902611653458447
115	CD69|969	hsa-miR-92a-3p	0.00899659796789514
116	ZNF28|7576	hsa-miR-23a-3p	0.00886078253957489
117	COL1A2|1278	hsa-miR-29c-3p	0.00883992567899531
118	ZFP14|57677	hsa-miR-181b-5p	0.00873951944447392
119	ZFP36L1|677	hsa-miR-182-5p	0.00872145836078811
120	TFRC|7037	hsa-miR-23a-3p	0.00867777608411697
121	H3F3B|3021	hsa-miR-22-3p	0.00866177940116094
122	ZNF708|7562	hsa-miR-23a-3p	0.00864213718347222
123	RPL15|6138	hsa-miR-25-3p	0.0086169254692222
124	ZNF525|170958	hsa-miR-23b-3p	0.00861387780268462
125	ITGA1|3672	hsa-miR-30e-3p	0.00856697250881975
126	KIAA0040|9674	hsa-miR-22-3p	0.0084917881090799
127	GLRX5|51218	hsa-miR-148a-3p	0.00848610266561758
128	ARID3B|10620	hsa-let-7c-5p	0.00847904430751315
129	RPSAP58|388524	hsa-miR-103a-3p	0.00844834229700235
130	DDIT4|54541	hsa-miR-22-3p	0.00841990775090927
131	RPL15|6138	hsa-miR-92a-3p	0.00840979963234706
132	ARID3B|10620	hsa-let-7e-5p	0.00840771477996978
133	ZNF563|147837	hsa-miR-199a-5p	0.00840153106802273
134	ARL2|402	hsa-miR-16-5p	0.0083894270894694
135	ZNF107|51427	hsa-miR-23c	0.00830106965289513
136	TPT1|7178	hsa-miR-145-5p	0.00825614193940412
137	RPL31|6160	hsa-miR-23a-3p	0.00822984758989826
138	ZNF700|90592	hsa-miR-181c-5p	0.008225428603098
139	ZNF440|126070	hsa-miR-181d-5p	0.00821695827163627
140	NAA20|51126	hsa-miR-22-3p	0.00821515941278098
141	PNRC2|55629	hsa-miR-23a-3p	0.00817433697809342
142	ENO1|2023	hsa-miR-22-3p	0.00815862842180829
143	MTDH|92140	hsa-miR-30a-5p	0.00815669441345155
144	FSCN1|6624	hsa-miR-145-5p	0.00812035768237769
145	CNPY2|10330	hsa-miR-30e-3p	0.00811759387894517
146	ARID3B|10620	hsa-let-7g-5p	0.00810228614488019
147	NET1|10276	hsa-miR-22-3p	0.00809489055297933
148	RNF38|152006	hsa-miR-103a-3p	0.00808524870534127
149	ITGA1|3672	hsa-miR-30a-3p	0.00807128602044261
150	ATAD2B|54454	hsa-miR-29a-3p	0.00806395421744366
151	NPTN|27020	hsa-miR-148a-3p	0.00803099785514442
152	PABPC4|8761	hsa-miR-192-5p	0.00802450481243694
153	ZNF14|7561	hsa-miR-181b-5p	0.00801782084317249
154	ARID3B|10620	hsa-let-7i-5p	0.00798779557171589
155	CTTN|2017	hsa-miR-182-5p	0.00798124338248205
156	ZNF83|55769	hsa-miR-199a-5p	0.00796066041869567
157	GIGYF1|64599	hsa-miR-361-3p	0.0079569234408217
158	CST3|1471	hsa-miR-103a-3p	0.00795511084409797
159	IFI30|10437	hsa-miR-29a-3p	0.00795243920583754
160	TET2|54790	hsa-miR-29c-3p	0.00794008475513043
161	ZNF28|7576	hsa-miR-23b-3p	0.00793772619887293
