rank	mrna name	mirna name	mirtigo score
1	ZNF99|7652	hsa-miR-23a-3p	0.0525767657087169
2	ZNF99|7652	hsa-miR-23b-3p	0.0442203544699287
3	ZNF208|7757	hsa-miR-23a-3p	0.0441955922192176
4	ZNF208|7757	hsa-miR-23b-3p	0.0375067940511406
5	ZNF117|51351	hsa-miR-23a-3p	0.0225891421085323
6	ZNF99|7652	hsa-miR-130a-5p	0.0224692929510216
7	ZNF107|51427	hsa-miR-23a-3p	0.0202443816641908
8	ZNF208|7757	hsa-miR-135b-3p	0.0197342542487442
9	ZNF117|51351	hsa-miR-23b-3p	0.019236814087832
10	ZNF208|7757	hsa-miR-130a-5p	0.0187636370370962
11	ZNF107|51427	hsa-miR-23b-3p	0.0172437420598028
12	ZNF780B|163131	hsa-miR-181a-5p	0.0161313205683724
13	ZNF780B|163131	hsa-miR-181b-5p	0.0131435802126429
14	ZNF676|163223	hsa-miR-23a-3p	0.0128380525915383
15	ZNF676|163223	hsa-miR-23b-3p	0.0107912644678045
16	ZNF780A|284323	hsa-miR-181a-5p	0.0106263326940696
17	ZNF91|7644	hsa-miR-23a-3p	0.0104353046795468
18	ZNF780B|163131	hsa-miR-181c-5p	0.00987897354437725
19	ZNF117|51351	hsa-miR-130a-5p	0.00936283678955545
20	ZNF99|7652	hsa-miR-135b-3p	0.0092734984596375
21	ZNF440|126070	hsa-miR-199a-5p	0.00920640924315793
22	ZNF91|7644	hsa-miR-23b-3p	0.00884658454397571
23	ZNF844|284391	hsa-miR-199a-5p	0.00879206469386858
24	ZNF780A|284323	hsa-miR-181b-5p	0.00865780667062958
25	ZNF780B|163131	hsa-miR-181d-5p	0.00848666834957779
26	ZNF107|51427	hsa-miR-130a-5p	0.00846929489934805
27	COL1A1|1277	hsa-miR-29a-3p	0.00811038054499566
28	ZNF776|284309	hsa-miR-199a-5p	0.00767715937745823
29	ZNF594|84622	hsa-miR-181a-5p	0.00753604263681905
30	ZNF844|284391	hsa-miR-181a-5p	0.00743981645175257
31	COL1A1|1277	hsa-miR-29c-3p	0.00710405744487531
32	ZNF440|126070	hsa-miR-199b-5p	0.0070337471561648
33	COL1A1|1277	hsa-miR-29b-3p	0.00674791859936635
34	ZNF844|284391	hsa-miR-199b-5p	0.00672635394938318
