rank	mrna name	mirna name	mirtigo score
1	ZNF208|7757	hsa-miR-23a-3p	0.163083146875486
2	ZNF208|7757	hsa-miR-23b-3p	0.157170128606021
3	ZNF117|51351	hsa-miR-23a-3p	0.105015050357855
4	ZNF117|51351	hsa-miR-23b-3p	0.10056783967317
5	ZNF107|51427	hsa-miR-23a-3p	0.0768221787812692
6	ZNF780B|163131	hsa-miR-181a-5p	0.0746835073411121
7	ZNF107|51427	hsa-miR-23b-3p	0.0738699651939154
8	ZNF780B|163131	hsa-miR-181b-5p	0.0633739823196281
9	ZNF780A|284323	hsa-miR-181a-5p	0.0512603036269221
10	ZNF780B|163131	hsa-miR-181c-5p	0.050218621101826
11	ZNF91|7644	hsa-miR-23a-3p	0.0468897660785911
12	ZNF91|7644	hsa-miR-23b-3p	0.0448047008075287
13	ZNF780A|284323	hsa-miR-181b-5p	0.043497141936253
14	ZNF208|7757	hsa-miR-135b-3p	0.0432559953210362
15	ZNF676|163223	hsa-miR-23a-3p	0.0420937026899826
16	ZNF780B|163131	hsa-miR-181d-5p	0.0416015591938698
17	ZNF676|163223	hsa-miR-23b-3p	0.0403481472218611
18	ZNF844|284391	hsa-miR-181a-5p	0.0375159137848861
19	COL1A1|1277	hsa-miR-29a-3p	0.0360148325819532
20	ZNF780A|284323	hsa-miR-181c-5p	0.034442005939807
21	ZNF844|284391	hsa-miR-199a-5p	0.034155038490692
22	ZNF208|7757	hsa-miR-130a-5p	0.0341546484135473
23	ZNF594|84622	hsa-miR-181a-5p	0.0318902468496263
24	ZNF844|284391	hsa-miR-181b-5p	0.0318421004521513
25	COL1A1|1277	hsa-miR-29c-3p	0.0315996417997291
26	ZNF440|126070	hsa-miR-199a-5p	0.0307461748326436
27	ZNF439|90594	hsa-miR-181a-5p	0.0289251707723734
28	ZNF780A|284323	hsa-miR-181d-5p	0.0284784424651565
29	ZNF208|7757	hsa-miR-23c	0.0282919524945326
30	COL1A1|1277	hsa-miR-29b-3p	0.0280818613661667
31	ZNF594|84622	hsa-miR-181b-5p	0.0271320937489442
32	ZNF254|9534	hsa-miR-23a-3p	0.0266253942663524
33	ZNF721|170960	hsa-miR-23a-3p	0.0259578946581099
34	ZNF776|284309	hsa-miR-199a-5p	0.0258887478208667
35	ZNF254|9534	hsa-miR-23b-3p	0.0254555257422543
36	HMGA2|8091	hsa-let-7a-5p	0.0253791740013362
37	ZNF844|284391	hsa-miR-181c-5p	0.0251243870316375
38	ZNF721|170960	hsa-miR-23b-3p	0.0249694184715253
39	ZNF439|90594	hsa-miR-181b-5p	0.0245481563243869
40	HMGA2|8091	hsa-let-7f-5p	0.0237033356043861
41	HMGA2|8091	hsa-let-7b-5p	0.02208546152257
42	ZNF141|7700	hsa-miR-23a-3p	0.0220643911056425
43	ZNF844|284391	hsa-miR-199b-5p	0.0220268931305422
44	ZNF544|27300	hsa-miR-199a-5p	0.0214897728643427
45	ZNF117|51351	hsa-miR-130a-5p	0.0214107357443048
46	ZNF594|84622	hsa-miR-181c-5p	0.0214088300799061
47	ZNF141|7700	hsa-miR-23b-3p	0.0211736736128981
