rank	mrna name	mirna name	mirtigo score
1	ZNF208|7757	hsa-miR-23a-3p	0.0239447381066307
2	ZNF117|51351	hsa-miR-23a-3p	0.0212422918899795
3	ZNF208|7757	hsa-miR-23b-3p	0.0202017168017717
4	ZNF117|51351	hsa-miR-23b-3p	0.0179807449318511
5	ZNF107|51427	hsa-miR-23a-3p	0.0172770159456426
6	ZNF780B|163131	hsa-miR-181a-5p	0.0169032290137543
7	ZNF107|51427	hsa-miR-23b-3p	0.0146815391193824
8	ZNF780B|163131	hsa-miR-181b-5p	0.0140744773979126
9	ZNF780A|284323	hsa-miR-181a-5p	0.0115382122282315
10	ZNF780B|163131	hsa-miR-181c-5p	0.0100128261555276
11	ZNF780A|284323	hsa-miR-181b-5p	0.00960734448603979
12	ZNF91|7644	hsa-miR-23a-3p	0.00953225794517782
13	ZNF780B|163131	hsa-miR-181d-5p	0.00880175994202196
14	ZNF91|7644	hsa-miR-23b-3p	0.00803472738607026
15	ZNF440|126070	hsa-miR-199a-5p	0.00777496761446983
16	ZNF594|84622	hsa-miR-181a-5p	0.00762893684484035
17	ZNF208|7757	hsa-miR-130a-5p	0.00760676772937128
18	ZNF439|90594	hsa-miR-181a-5p	0.00715455266145848
19	ZNF844|284391	hsa-miR-181a-5p	0.00702639678535431
20	ZNF780A|284323	hsa-miR-181c-5p	0.00682149233358108
21	ZNF594|84622	hsa-miR-181b-5p	0.00636762546635814
22	COL1A1|1277	hsa-miR-29a-3p	0.00633465099538184
23	ZNF117|51351	hsa-miR-130a-5p	0.00617972314978264
24	COL1A1|1277	hsa-miR-29c-3p	0.00608386705565256
25	ZNF780A|284323	hsa-miR-181d-5p	0.00598364101769527
26	ZNF439|90594	hsa-miR-181b-5p	0.00595934290459222
27	ZNF844|284391	hsa-miR-181b-5p	0.00584826694084757
28	ZNF440|126070	hsa-miR-199b-5p	0.00579985080511327
29	ZNF844|284391	hsa-miR-199a-5p	0.00576517904881971
30	ZNF440|126070	hsa-miR-181a-5p	0.0056131641341276
31	ZNF676|163223	hsa-miR-23a-3p	0.0056120632518953
32	ZNF776|284309	hsa-miR-199a-5p	0.00547383048258044
33	ZNF721|170960	hsa-miR-23a-3p	0.00546214384958752
34	COL1A1|1277	hsa-miR-29b-3p	0.00546176618550649
35	ZNF141|7700	hsa-miR-23a-3p	0.00514949934458572
36	ZNF107|51427	hsa-miR-130a-5p	0.00512027907383357
37	ZNF254|9534	hsa-miR-23a-3p	0.00499693952023664
38	ZNF676|163223	hsa-miR-23b-3p	0.00470601873701916
39	ZNF440|126070	hsa-miR-181b-5p	0.00467328797635015
40	ZNF721|170960	hsa-miR-23b-3p	0.00464055448602229
41	ZNF788|388507	hsa-miR-181a-5p	0.00461398099981024
42	ZNF700|90592	hsa-miR-181a-5p	0.00456899533395395
43	ZNF544|27300	hsa-miR-199a-5p	0.00454866280437808
44	ZNF700|90592	hsa-miR-199a-5p	0.00452125715025292
45	ZNF594|84622	hsa-miR-181c-5p	0.00450636731767786
46	ZNF141|7700	hsa-miR-23b-3p	0.00436129488445266
47	ZNF844|284391	hsa-miR-199b-5p	0.00432521772820514
48	ZNF419|79744	hsa-miR-199a-5p	0.00430439487745587
49	ZNF254|9534	hsa-miR-23b-3p	0.00421607360568372
50	ZNF439|90594	hsa-miR-181c-5p	0.00420599651971162
51	ZNF844|284391	hsa-miR-181c-5p	0.00417834117942729
52	ZNF594|84622	hsa-miR-188-3p	0.00410929031857493
53	ZNF776|284309	hsa-miR-199b-5p	0.00408403486719336
54	ZNF257|113835	hsa-miR-23a-3p	0.00402394409322927
55	ZNF594|84622	hsa-miR-181d-5p	0.00398335907570348
56	ZNF470|388566	hsa-miR-181a-5p	0.00391126500736726
57	ZNF195|7748	hsa-miR-23a-3p	0.00387646972371693
58	ZNF788|388507	hsa-miR-181b-5p	0.00384299182979692
59	ZFP14|57677	hsa-miR-181a-5p	0.00382192780246458
60	ZNF700|90592	hsa-miR-181b-5p	0.00380530645979645
61	TET3|200424	hsa-miR-29a-3p	0.00372930351931022
62	ZNF439|90594	hsa-miR-199a-5p	0.00372717108084483
63	ZNF439|90594	hsa-miR-181d-5p	0.00370012120701725
64	ZNF844|284391	hsa-miR-181d-5p	0.00368608396183793
65	HMGA2|8091	hsa-let-7a-5p	0.00361174575041357
66	TET3|200424	hsa-miR-29c-3p	0.00356601281029688
67	ZNF14|7561	hsa-miR-181a-5p	0.00355637493790889
68	ATP6AP2|10159	hsa-miR-148a-3p	0.00349491399406573
69	HMGA2|8091	hsa-let-7b-5p	0.00341140066119717
70	ZNF257|113835	hsa-miR-23b-3p	0.00340505810410902
71	ZNF544|27300	hsa-miR-199b-5p	0.00339159837551136
72	ZNF700|90592	hsa-miR-199b-5p	0.00338569676575144
73	MDM4|4194	hsa-miR-34a-5p	0.00337480200556565
74	ZNF440|126070	hsa-miR-181c-5p	0.00332380942024159
75	ZNF470|388566	hsa-miR-181b-5p	0.00325748670686475
76	ZNF195|7748	hsa-miR-23b-3p	0.00324771701999519
77	HMGA2|8091	hsa-let-7f-5p	0.00323568946925962
78	TET3|200424	hsa-miR-29b-3p	0.00320864900532632
79	ZNF419|79744	hsa-miR-199b-5p	0.00320846236347937
80	ZNF780B|163131	hsa-miR-188-3p	0.00320719409648951
81	ZFP14|57677	hsa-miR-181b-5p	0.00318249154967324
82	ZNF99|7652	hsa-miR-23a-3p	0.00317368374863032
83	ZNF85|7639	hsa-miR-23a-3p	0.00311575164957289
84	ZNF781|163115	hsa-miR-181a-5p	0.00307383008662011
85	CD69|969	hsa-miR-92a-3p	0.0030528509680244
86	MDM4|4194	hsa-miR-34c-5p	0.00299071700988188
87	ZNF14|7561	hsa-miR-181b-5p	0.00296107456436531
88	HMGA2|8091	hsa-let-7c-5p	0.00296017760440589
89	CD69|969	hsa-miR-25-3p	0.00293948371898482
90	ZNF440|126070	hsa-miR-181d-5p	0.00291672328166431
91	ZNF208|7757	hsa-miR-766-3p	0.00288704331169426
92	ARID3B|10620	hsa-let-7a-5p	0.00286614280815674
93	ZNF225|7768	hsa-miR-23a-3p	0.00282313410333182
94	ZNF91|7644	hsa-miR-130a-5p	0.00281374392825271
95	ZNF439|90594	hsa-miR-199b-5p	0.00278062957023681
96	IGF2|3481	hsa-miR-210-3p	0.00274783150630987
