rank	mrna name	mirna name	mirtigo score
1	ZNF117|51351	hsa-miR-23a-3p	0.083549641868931
2	ZNF117|51351	hsa-miR-23b-3p	0.0739321567758371
3	ZNF107|51427	hsa-miR-23a-3p	0.0602686800763337
4	ZNF107|51427	hsa-miR-23b-3p	0.0536036132477205
5	ZNF780B|163131	hsa-miR-181a-5p	0.0455587942239089
6	ZNF208|7757	hsa-miR-23a-3p	0.0401792776306025
7	ZNF780B|163131	hsa-miR-181b-5p	0.0390306170123143
8	ZNF208|7757	hsa-miR-23b-3p	0.0362618967620616
9	ZNF91|7644	hsa-miR-23a-3p	0.0351355570598603
10	ZNF780A|284323	hsa-miR-181a-5p	0.0328212599669302
11	ZNF440|126070	hsa-miR-199a-5p	0.0318992075977931
12	ZNF91|7644	hsa-miR-23b-3p	0.0310022627061099
13	ZNF780B|163131	hsa-miR-181c-5p	0.0308199908551881
14	ZNF780A|284323	hsa-miR-181b-5p	0.0281191385746971
15	COL1A1|1277	hsa-miR-29a-3p	0.02751417425631
16	ZNF780B|163131	hsa-miR-181d-5p	0.0270125271471659
17	ZNF844|284391	hsa-miR-199a-5p	0.0255918885748061
18	ZNF440|126070	hsa-miR-199b-5p	0.024600016252501
19	COL1A1|1277	hsa-miR-29c-3p	0.0229348688195063
20	ZNF780A|284323	hsa-miR-181c-5p	0.0221995422538993
21	ZNF844|284391	hsa-miR-181a-5p	0.0218494238331192
22	ZNF776|284309	hsa-miR-199a-5p	0.0218196864919947
23	COL1A1|1277	hsa-miR-29b-3p	0.0204232843559915
24	ZNF594|84622	hsa-miR-181a-5p	0.0200991129743871
25	ONECUT2|9480	hsa-miR-9-5p	0.0199979898570927
26	ZNF844|284391	hsa-miR-199b-5p	0.0197208302304171
27	ZNF721|170960	hsa-miR-23a-3p	0.0195223729084496
28	ZNF780A|284323	hsa-miR-181d-5p	0.0194192929365658
29	ZNF254|9534	hsa-miR-23a-3p	0.019010491539059
30	ZNF117|51351	hsa-miR-130a-5p	0.0187683098068717
31	ZNF844|284391	hsa-miR-181b-5p	0.0187257301558426
32	ZNF700|90592	hsa-miR-199a-5p	0.0185330766157875
33	ZNF439|90594	hsa-miR-181a-5p	0.0179944318712127
34	ZNF141|7700	hsa-miR-23a-3p	0.0178539783045904
35	ZNF544|27300	hsa-miR-199a-5p	0.017706725557612
36	ZNF721|170960	hsa-miR-23b-3p	0.0173518385657352
37	ZNF594|84622	hsa-miR-181b-5p	0.0172725504675172
38	ZNF254|9534	hsa-miR-23b-3p	0.0167929046862424
39	ZNF776|284309	hsa-miR-199b-5p	0.0167777749422193
40	ZNF419|79744	hsa-miR-199a-5p	0.0164336588799628
41	ZNF99|7652	hsa-miR-23a-3p	0.0162831082626385
42	ZNF440|126070	hsa-miR-181a-5p	0.0160408385302178
43	HMGA2|8091	hsa-let-7a-5p	0.0160362044367492
44	ZNF141|7700	hsa-miR-23b-3p	0.0158465563548517
45	IGF2|3481	hsa-miR-210-3p	0.0155103455876807
46	ZNF439|90594	hsa-miR-181b-5p	0.0154336667618212
47	HMGA2|8091	hsa-let-7b-5p	0.0150286482880494
48	ZNF594|84622	hsa-miR-188-3p	0.0150086519391921
49	ZNF844|284391	hsa-miR-181c-5p	0.0147835262599085
50	FGFRL1|53834	hsa-miR-210-3p	0.014747298274345
51	ZNF99|7652	hsa-miR-23b-3p	0.0146259304924231
52	TET3|200424	hsa-miR-29a-3p	0.0145206136535086
53	ZNF700|90592	hsa-miR-199b-5p	0.0142903449018298
54	HMGA2|8091	hsa-let-7f-5p	0.0141760829328942
55	ZNF195|7748	hsa-miR-23a-3p	0.0138884447339507
56	ZNF440|126070	hsa-miR-181b-5p	0.0137409664319262
57	ZNF439|90594	hsa-miR-199a-5p	0.0136750175780697
58	ZNF544|27300	hsa-miR-199b-5p	0.0136494063936975
59	ZNF107|51427	hsa-miR-130a-5p	0.0136376194878464
60	ZNF594|84622	hsa-miR-181c-5p	0.0136099403374511
61	ZNF844|284391	hsa-miR-181d-5p	0.0130197973892594
62	ZNF700|90592	hsa-miR-181a-5p	0.0129838057604529
63	ZNF419|79744	hsa-miR-199b-5p	0.0126467961665808
64	ATP6AP2|10159	hsa-miR-148a-3p	0.0126334573585579
65	ZNF788|388507	hsa-miR-181a-5p	0.0125087727409768
66	ZNF439|90594	hsa-miR-181c-5p	0.0122703070710362
67	ZNF791|163049	hsa-miR-199a-5p	0.0122037550833673
68	ZNF195|7748	hsa-miR-23b-3p	0.0121789825862468
69	HMGA2|8091	hsa-let-7c-5p	0.0121204735395958
70	TET3|200424	hsa-miR-29c-3p	0.012046984418424
71	ZNF594|84622	hsa-miR-181d-5p	0.0120079128075267
72	ZNF780B|163131	hsa-miR-188-3p	0.0119867781402087
73	HMGA2|8091	hsa-let-7e-5p	0.011965739212544
74	HMGA2|8091	hsa-let-7g-5p	0.0113824102379518
75	ZNF85|7639	hsa-miR-23a-3p	0.0113746840803964
76	ZNF470|388566	hsa-miR-181a-5p	0.0111478611403577
77	ZNF700|90592	hsa-miR-181b-5p	0.0111241381116307
78	ZNF440|126070	hsa-miR-181c-5p	0.0108593091429141
79	ZNF439|90594	hsa-miR-181d-5p	0.0107818975759522
80	TET3|200424	hsa-miR-29b-3p	0.0107232210728123
81	ZNF788|388507	hsa-miR-181b-5p	0.010720785018449
82	MDM4|4194	hsa-miR-34a-5p	0.010593700645226
83	FN3K|64122	hsa-miR-92b-5p	0.010579485657821
84	ZNF439|90594	hsa-miR-199b-5p	0.0105455182076725
85	ARID3B|10620	hsa-let-7a-5p	0.0105346908267069
86	ZFP14|57677	hsa-miR-181a-5p	0.0104112734645108
87	ZNF525|170958	hsa-miR-23a-3p	0.0103513401645865
88	ZNF257|113835	hsa-miR-23a-3p	0.0103315529218258
89	ZNF225|7768	hsa-miR-23a-3p	0.0102856983352305
90	ZNF100|163227	hsa-miR-23a-3p	0.0102042769370218
91	ZNF780A|284323	hsa-miR-188-3p	0.0101084637056189
92	ZNF85|7639	hsa-miR-23b-3p	0.0100636411526614
93	HMGA2|8091	hsa-let-7d-5p	0.0100307910161052
94	ZNF14|7561	hsa-miR-181a-5p	0.0100248545505617
95	ZNF208|7757	hsa-miR-130a-5p	0.010018294641776
96	ARID3B|10620	hsa-let-7b-5p	0.00999373117897042
97	HMGA2|8091	hsa-let-7i-5p	0.0099025659331911
98	ZNF788|388507	hsa-miR-199a-5p	0.00979014913260243
99	FGFRL1|53834	hsa-miR-103a-3p	0.00967668087514999
100	ZNF267|10308	hsa-miR-23a-3p	0.00963516667250755
101	ZNF470|388566	hsa-miR-181b-5p	0.00955497325959966
102	COL3A1|1281	hsa-miR-29a-3p	0.0095210735916856
103	ZNF440|126070	hsa-miR-181d-5p	0.009506323885135
104	ZNF791|163049	hsa-miR-199b-5p	0.00939288929837266
105	ZNF208|7757	hsa-miR-135b-3p	0.0092759380014347
106	ARID3B|10620	hsa-let-7f-5p	0.00922577247193621
107	BOK|666	hsa-miR-24-3p	0.00921650324697029
108	ZNF257|113835	hsa-miR-23b-3p	0.00914376151113958
109	ZFP36L1|677	hsa-miR-182-5p	0.00910792085594372
110	ZNF563|147837	hsa-miR-199a-5p	0.00902965675707382
111	ZNF225|7768	hsa-miR-23b-3p	0.00895746969917383
112	CNPY2|10330	hsa-miR-30e-3p	0.00894412013229521
113	HOXA7|3204	hsa-miR-196b-5p	0.00894411275345815
114	ZNF525|170958	hsa-miR-23b-3p	0.00893821395061186
115	CNPY2|10330	hsa-miR-30a-3p	0.0089230702660943
116	ZFP14|57677	hsa-miR-181b-5p	0.00892192656538594
117	ZNF100|163227	hsa-miR-23b-3p	0.00889414959109315
118	ZNF700|90592	hsa-miR-181c-5p	0.00879384003821646
119	CTTN|2017	hsa-miR-182-5p	0.00878194576808112
120	RPL15|6138	hsa-miR-25-3p	0.00865897088295184
121	PPP2R2D|55844	hsa-miR-362-3p	0.00865232429158093
122	ZNF267|10308	hsa-miR-23b-3p	0.00861291739213331
123	ZNF117|51351	hsa-miR-23c	0.00860828529244122
124	RPSAP58|388524	hsa-miR-103a-3p	0.00860649892151152
125	ZNF14|7561	hsa-miR-181b-5p	0.00859196924967703
126	ZNF681|148213	hsa-miR-23a-3p	0.00856855544309755
127	ARL2|402	hsa-miR-16-5p	0.00856832262212091
128	FLOT1|10211	hsa-miR-182-5p	0.00850761530987662
129	ZNF90|7643	hsa-miR-23a-3p	0.00849612356904441
130	ZNF28|7576	hsa-miR-23a-3p	0.0084617931262556
131	RPL15|6138	hsa-miR-92a-3p	0.00844683146188143
132	ZNF788|388507	hsa-miR-181c-5p	0.0084095339829149
133	RPL31|6160	hsa-miR-23a-3p	0.00837919222755446
134	ZNF430|80264	hsa-miR-23a-3p	0.00827176641616928
135	ZNF83|55769	hsa-miR-199a-5p	0.00825822828680443
136	RPL14|9045	hsa-miR-16-5p	0.00821098632846253
137	ITM2B|9445	hsa-miR-143-3p	0.00818485418147012
138	TPT1|7178	hsa-miR-181a-2-3p	0.00812730628418853
139	ZNF117|51351	hsa-miR-135b-3p	0.00811764968533073
140	COL1A2|1278	hsa-miR-29a-3p	0.00811191501004134
141	DDIT4|54541	hsa-miR-22-3p	0.00809078839702966
142	H3F3B|3021	hsa-miR-22-3p	0.00807108198880955
143	ARL2|402	hsa-miR-15b-5p	0.00806800874977115
144	CD69|969	hsa-miR-25-3p	0.00803619564359439
145	TFRC|7037	hsa-miR-23a-3p	0.00802079654590311
146	COL3A1|1281	hsa-miR-29c-3p	0.00799234917373159
147	ZNF708|7562	hsa-miR-23a-3p	0.007985699146866
148	ZNF91|7644	hsa-miR-130a-5p	0.00794320056949505
149	ENO1|2023	hsa-miR-22-3p	0.00792748640120716
150	CD69|969	hsa-miR-92a-3p	0.00792528140222483
151	GLRX5|51218	hsa-miR-148a-3p	0.00792430292366404
152	ARID3B|10620	hsa-let-7c-5p	0.0079101651064629
153	ARID3B|10620	hsa-let-7e-5p	0.00782325016047001
154	DST|667	hsa-miR-93-3p	0.00778490785949308
155	HSPB8|26353	hsa-miR-126-5p	0.00777412498652544
156	HMGA2|8091	hsa-miR-98-5p	0.00772774458903771
157	ZNF140|7699	hsa-miR-181a-5p	0.00770479776813551
158	ZNF700|90592	hsa-miR-181d-5p	0.00769639938827034
159	ZNF440|126070	hsa-miR-188-3p	0.00768355562017442
160	ZNF788|388507	hsa-miR-199b-5p	0.00760725260996592
161	GIGYF1|64599	hsa-miR-361-3p	0.00760088904472179
162	ZNF681|148213	hsa-miR-23b-3p	0.00759742258959853
163	RPL14|9045	hsa-miR-15b-5p	0.00759169513101516
164	ARID3B|10620	hsa-let-7g-5p	0.00758639724132349
165	BOK|666	hsa-miR-296-5p	0.00754785409435664
166	ZNF90|7643	hsa-miR-23b-3p	0.00749254013136358
167	ZNF470|388566	hsa-miR-181c-5p	0.00748182271425298
168	NAA20|51126	hsa-miR-22-3p	0.0074275304494449
169	PNRC2|55629	hsa-miR-23a-3p	0.00741797258796023
170	ZNF788|388507	hsa-miR-181d-5p	0.00739547279153696
171	ZNF28|7576	hsa-miR-23b-3p	0.00738312440382129
172	TET2|54790	hsa-miR-29a-3p	0.00738080978381203
173	C17orf58|284018	hsa-miR-22-3p	0.00735939476085962
174	DCAF6|55827	hsa-miR-25-3p	0.00730433787972645
175	ZNF43|7594	hsa-miR-23a-3p	0.00729530194053861
176	MBOAT7|79143	hsa-miR-23a-3p	0.00728848677754649
177	ZNF430|80264	hsa-miR-23b-3p	0.00727027584758131
178	RPL31|6160	hsa-miR-23b-3p	0.00726772047814497
179	MDM4|4194	hsa-miR-34c-5p	0.00724071355793362
180	BZW1|9689	hsa-let-7a-5p	0.0072354293309481
181	MTDH|92140	hsa-miR-30a-5p	0.00723245947988945
182	ATP6AP2|10159	hsa-miR-148b-3p	0.00719823003898333
183	CST3|1471	hsa-miR-103a-3p	0.00717965204956381
184	DCAF6|55827	hsa-miR-92a-3p	0.00716201280285229
185	TFRC|7037	hsa-miR-103a-3p	0.00715599031609301
186	ARL2|402	hsa-miR-424-5p	0.00715496726982534
187	COL3A1|1281	hsa-miR-29b-3p	0.00711231103302496
188	TPT1|7178	hsa-miR-145-5p	0.007104808233057
189	KIAA0040|9674	hsa-miR-22-3p	0.00709371427263934
190	ARL2|402	hsa-miR-15a-5p	0.00709294886223856
191	H3F3C|440093	hsa-miR-22-3p	0.00707475689583657
192	NPTN|27020	hsa-miR-148a-3p	0.00705502481105244
193	ZFP14|57677	hsa-miR-181c-5p	0.00703010101917143
194	ZNF563|147837	hsa-miR-199b-5p	0.00702481438974662
195	NCALD|83988	hsa-miR-182-5p	0.00702214578082334
196	ARL8B|55207	hsa-miR-148a-3p	0.00702103903859996
197	ZDHHC16|84287	hsa-miR-22-3p	0.00700984488509791
198	TFRC|7037	hsa-miR-23b-3p	0.0070081218450594
199	TMEM167B|56900	hsa-miR-28-3p	0.00695411599481215
200	ZNF708|7562	hsa-miR-23b-3p	0.00695367144001698
201	FSCN1|6624	hsa-miR-145-5p	0.00692086015435607
202	BTG2|7832	hsa-miR-25-3p	0.00691831728864313
203	TBCA|6902	hsa-miR-126-5p	0.00691519540429637
204	IFI30|10437	hsa-miR-29a-3p	0.00691307205167492
205	ARID3B|10620	hsa-let-7d-5p	0.00690570996986369
206	ZNF772|400720	hsa-miR-199a-5p	0.00689710073111514
207	RNF38|152006	hsa-miR-103a-3p	0.00689513004880024
208	CCT6A|908	hsa-miR-148a-3p	0.00686174058804471
209	TET1|80312	hsa-miR-29a-3p	0.00685322946691585
210	MTDH|92140	hsa-miR-30e-5p	0.00684290161801324
211	ARID3B|10620	hsa-let-7i-5p	0.0068216160238529
212	ATAD2B|54454	hsa-miR-29a-3p	0.00682133652095881
213	ITGA1|3672	hsa-miR-30e-3p	0.00680676741303056
214	ZNF266|10781	hsa-miR-181a-5p	0.00678996386938792
215	ZNF584|201514	hsa-miR-199a-5p	0.00678055418706935
216	COL1A2|1278	hsa-miR-29c-3p	0.006760823719161
217	FTL|2512	hsa-miR-22-3p	0.00675684461833391
218	HIST2H2AA3|8337	hsa-miR-1247-5p	0.00675320685521627
219	ZNF253|56242	hsa-miR-23a-3p	0.0067513388734814
220	ITGA1|3672	hsa-miR-30a-3p	0.00673698970122605
221	ZNF14|7561	hsa-miR-181c-5p	0.00673492551386716
222	NET1|10276	hsa-miR-22-3p	0.0067208976296201
223	ESR1|2099	hsa-miR-22-3p	0.00672081712808507
224	ZNF788|388507	hsa-miR-23a-3p	0.00671993346299134
225	TOR2A|27433	hsa-miR-24-3p	0.00670915225062847
226	BZW1|9689	hsa-let-7b-5p	0.00665844926370952
227	DOHH|83475	hsa-miR-331-3p	0.00663880634429272
228	ARIH2|10425	hsa-miR-103a-3p	0.00663805053198466
229	TRIAP1|51499	hsa-miR-103a-3p	0.00662928800482778
230	MPDU1|9526	hsa-miR-24-3p	0.00661820245925849
231	ZNF91|7644	hsa-miR-135b-3p	0.00661587512337184
232	QARS|5859	hsa-let-7a-5p	0.00661077001798211
233	ZNF140|7699	hsa-miR-181b-5p	0.00660326193914136
234	PNRC2|55629	hsa-miR-23b-3p	0.00659976484720539
235	ZNF470|388566	hsa-miR-181d-5p	0.00659666927011556
236	RPL34|6164	hsa-miR-103a-3p	0.00659660891491182
237	NFIA|4774	hsa-miR-29a-3p	0.00658544655050859
238	EIF4E2|9470	hsa-miR-29a-3p	0.00658388131371387
239	ATP6AP2|10159	hsa-miR-152-3p	0.00656993120845162
240	BZW1|9689	hsa-let-7f-5p	0.00656922654218915
