rank	mrna name	mirna name	mirtigo score
1	ZNF117|51351	hsa-miR-23a-3p	0.0097784204775978
2	ZNF117|51351	hsa-miR-23b-3p	0.00857528482824742
3	ZNF107|51427	hsa-miR-23a-3p	0.00746766734704621
4	ZNF780B|163131	hsa-miR-181a-5p	0.00682458636723437
5	ZNF107|51427	hsa-miR-23b-3p	0.0065782700287409
6	ZNF780B|163131	hsa-miR-181b-5p	0.00611180009907742
7	ZNF780A|284323	hsa-miR-181a-5p	0.00477519033826678
8	ZNF208|7757	hsa-miR-23a-3p	0.00468978309984786
9	ZNF440|126070	hsa-miR-199a-5p	0.00458116304138244
10	ZNF780A|284323	hsa-miR-181b-5p	0.00427594314898408
11	ZNF208|7757	hsa-miR-23b-3p	0.00421432074982298
12	ZNF91|7644	hsa-miR-23a-3p	0.00409088472739243
13	ZNF844|284391	hsa-miR-199a-5p	0.00406307052206042
14	ZNF780B|163131	hsa-miR-181c-5p	0.00395668577068846
15	ZNF780B|163131	hsa-miR-181d-5p	0.00385616707972591
16	ZNF776|284309	hsa-miR-199a-5p	0.00369952299710687
17	ZNF440|126070	hsa-miR-199b-5p	0.00365218248940801
18	COL1A1|1277	hsa-miR-29a-3p	0.00358118215979053
19	ZNF117|51351	hsa-miR-130a-5p	0.00357839881166232
20	ZNF91|7644	hsa-miR-23b-3p	0.00357541580623268
21	ONECUT2|9480	hsa-miR-9-5p	0.00325400247890941
22	ZNF844|284391	hsa-miR-199b-5p	0.00324663545934707
23	ZNF844|284391	hsa-miR-181a-5p	0.00299289866070062
24	ZNF544|27300	hsa-miR-199a-5p	0.00298827814033245
25	ZNF776|284309	hsa-miR-199b-5p	0.00294540387748064
26	ZNF700|90592	hsa-miR-199a-5p	0.00293983715596756
27	ZNF594|84622	hsa-miR-181a-5p	0.00290546316180438
28	COL1A1|1277	hsa-miR-29b-3p	0.00289164319295005
29	HMGA2|8091	hsa-let-7a-5p	0.00280635731238068
30	IGF2|3481	hsa-miR-210-3p	0.00279652737214942
31	ZNF419|79744	hsa-miR-199a-5p	0.0027902554210995
32	ZNF780A|284323	hsa-miR-181c-5p	0.00277499478102452
33	ZNF107|51427	hsa-miR-130a-5p	0.00274997837138237
34	COL1A1|1277	hsa-miR-29c-3p	0.0027218791880366
35	ZNF780A|284323	hsa-miR-181d-5p	0.00269862935243479
36	ZNF844|284391	hsa-miR-181b-5p	0.00268172205602297
37	ZNF594|84622	hsa-miR-181b-5p	0.00260828139089638
38	ZNF439|90594	hsa-miR-181a-5p	0.00259478902270483
39	HMGA2|8091	hsa-let-7b-5p	0.00255339896893306
40	HMGA2|8091	hsa-let-7c-5p	0.00243709238572081
41	ZNF544|27300	hsa-miR-199b-5p	0.00238221626158677
42	ZNF721|170960	hsa-miR-23a-3p	0.00237755546870519
43	ZNF700|90592	hsa-miR-199b-5p	0.00234586590718466
44	ZNF254|9534	hsa-miR-23a-3p	0.002336063460852
45	ZNF439|90594	hsa-miR-181b-5p	0.0023215172833823
46	HMGA2|8091	hsa-let-7f-5p	0.00231504485291204
47	ZNF439|90594	hsa-miR-199a-5p	0.00228224115904162
48	HMGA2|8091	hsa-let-7e-5p	0.00225810816459631
49	ZNF419|79744	hsa-miR-199b-5p	0.0022209022921442
50	ZNF141|7700	hsa-miR-23a-3p	0.00221307528261411
51	ZNF721|170960	hsa-miR-23b-3p	0.00208950700391066
52	ZNF254|9534	hsa-miR-23b-3p	0.00204249899898448
53	ZNF440|126070	hsa-miR-181a-5p	0.0019941752867878
54	ZNF791|163049	hsa-miR-199a-5p	0.00195966644015752
55	ZNF141|7700	hsa-miR-23b-3p	0.00193895702957123
56	FGFRL1|53834	hsa-miR-210-3p	0.00192269626695767
57	HMGA2|8091	hsa-let-7g-5p	0.00190837150760749
58	ZNF208|7757	hsa-miR-130a-5p	0.0018789384503224
59	ZNF439|90594	hsa-miR-199b-5p	0.00182253796199714
60	ZNF788|388507	hsa-miR-181a-5p	0.00181345060445313
61	ZNF594|84622	hsa-miR-188-3p	0.0018015917397542
62	ZNF440|126070	hsa-miR-181b-5p	0.00178466033710056
63	ZNF700|90592	hsa-miR-181a-5p	0.0017774797707109
64	HMGA2|8091	hsa-let-7i-5p	0.00176293217950493
65	ZNF844|284391	hsa-miR-181c-5p	0.0017357166875762
66	ZNF844|284391	hsa-miR-181d-5p	0.00169718207310856
67	TET3|200424	hsa-miR-29a-3p	0.00169074898885659
68	ZNF195|7748	hsa-miR-23a-3p	0.0016897633109095
69	ZNF594|84622	hsa-miR-181c-5p	0.00168559049474613
70	HMGA2|8091	hsa-let-7d-5p	0.00166794566201853
71	ZNF99|7652	hsa-miR-23a-3p	0.00165866556109519
72	ZNF594|84622	hsa-miR-181d-5p	0.00165133284570792
73	ZNF788|388507	hsa-miR-199a-5p	0.00164393404664073
74	ZNF788|388507	hsa-miR-181b-5p	0.00162445759207511
75	ATP6AP2|10159	hsa-miR-148a-3p	0.00162318573802316
76	ZNF470|388566	hsa-miR-181a-5p	0.00162167890560227
77	ZNF700|90592	hsa-miR-181b-5p	0.00159099000619953
78	ZNF257|113835	hsa-miR-23a-3p	0.00158120795864819
79	ZFP14|57677	hsa-miR-181a-5p	0.00156474774629863
80	ZNF791|163049	hsa-miR-199b-5p	0.00156070017054571
81	ZNF439|90594	hsa-miR-181c-5p	0.00152034601054295
82	ZNF780B|163131	hsa-miR-188-3p	0.00150432603901897
83	ZNF91|7644	hsa-miR-130a-5p	0.00149843938395132
84	ZNF439|90594	hsa-miR-181d-5p	0.00147720503207601
85	ZNF781|163115	hsa-miR-181a-5p	0.00147633997173674
86	ZNF85|7639	hsa-miR-23a-3p	0.00146666421179874
87	ZNF195|7748	hsa-miR-23b-3p	0.00146593923014354
88	ZNF99|7652	hsa-miR-23b-3p	0.00145505840148769
89	ZNF470|388566	hsa-miR-181b-5p	0.00145135187946706
90	HOXA7|3204	hsa-miR-196b-5p	0.00144569728930387
91	ZNF14|7561	hsa-miR-181a-5p	0.00140421679407653
92	ZFP14|57677	hsa-miR-181b-5p	0.00140141995613081
93	ZNF563|147837	hsa-miR-199a-5p	0.0014000549009453
