rank	mrna name	mirna name	mirtigo score
1	ZNF117|51351	hsa-miR-23a-3p	0.0188396096507008
2	ZNF117|51351	hsa-miR-23b-3p	0.0145766879428425
3	ZNF208|7757	hsa-miR-23a-3p	0.0117474263946392
4	ZNF780B|163131	hsa-miR-181a-5p	0.01157502212158
5	ZNF780B|163131	hsa-miR-181b-5p	0.00998475085020873
6	ZNF107|51427	hsa-miR-23a-3p	0.00954579017330885
7	ZNF780A|284323	hsa-miR-181a-5p	0.00893380820517787
8	ZNF208|7757	hsa-miR-23b-3p	0.00893182374342443
9	ZNF91|7644	hsa-miR-23a-3p	0.00779549792430567
10	ZNF780A|284323	hsa-miR-181b-5p	0.00770628203193831
11	ZNF107|51427	hsa-miR-23b-3p	0.00741998846481049
12	ZNF91|7644	hsa-miR-23b-3p	0.00600620127559056
13	ZNF780B|163131	hsa-miR-181d-5p	0.00532371961553873
14	ZNF594|84622	hsa-miR-181a-5p	0.00532031236350493
15	ZNF440|126070	hsa-miR-199a-5p	0.00523251118036767
16	ZNF780B|163131	hsa-miR-181c-5p	0.0052040818221534
17	COL1A1|1277	hsa-miR-29a-3p	0.00505588926617262
18	ZNF844|284391	hsa-miR-181a-5p	0.00501620221426342
19	ZNF117|51351	hsa-miR-130a-5p	0.00465948725166689
20	ZNF594|84622	hsa-miR-181b-5p	0.00460113658976636
21	ZNF844|284391	hsa-miR-181b-5p	0.00432591731294139
22	ZNF776|284309	hsa-miR-199a-5p	0.00423544540183818
23	ZNF721|170960	hsa-miR-23a-3p	0.00416095200898668
24	ZNF780A|284323	hsa-miR-181d-5p	0.00408317157230543
25	ZNF844|284391	hsa-miR-199a-5p	0.00408109351259719
26	ZNF780A|284323	hsa-miR-181c-5p	0.00398986929119944
27	ZNF254|9534	hsa-miR-23a-3p	0.00390940455280403
28	COL1A1|1277	hsa-miR-29c-3p	0.00387328461193951
29	ZNF439|90594	hsa-miR-181a-5p	0.00386930107085275
30	ZNF440|126070	hsa-miR-199b-5p	0.00376439210558245
31	ZNF141|7700	hsa-miR-23a-3p	0.00373461148546018
32	COL1A1|1277	hsa-miR-29b-3p	0.00368237735693357
33	ZNF440|126070	hsa-miR-181a-5p	0.00366839946506378
34	ZNF788|388507	hsa-miR-181a-5p	0.00363035579199315
35	BOK|666	hsa-miR-296-5p	0.00348189998447129
36	ZNF419|79744	hsa-miR-199a-5p	0.003383119773894
37	ZNF439|90594	hsa-miR-181b-5p	0.00333457530804074
38	ZNF544|27300	hsa-miR-199a-5p	0.00330077844208408
39	ZNF721|170960	hsa-miR-23b-3p	0.00323221228671483
40	ZNF440|126070	hsa-miR-181b-5p	0.00316358444842134
41	ZNF788|388507	hsa-miR-181b-5p	0.00313255520914854
42	FGFRL1|53834	hsa-miR-210-3p	0.00308674018836809
43	ZNF208|7757	hsa-miR-130a-5p	0.003083013876352
44	ZNF776|284309	hsa-miR-199b-5p	0.00306506680824164
45	ZNF470|388566	hsa-miR-181a-5p	0.00304975786691401
46	ZNF254|9534	hsa-miR-23b-3p	0.00301691214602493
47	ZNF844|284391	hsa-miR-199b-5p	0.00300916667643314
48	TET3|200424	hsa-miR-29a-3p	0.00295187587592796
49	ZNF141|7700	hsa-miR-23b-3p	0.00288981215238141
50	ZNF195|7748	hsa-miR-23a-3p	0.00286413623841972
51	ZNF700|90592	hsa-miR-199a-5p	0.00280611138154926
52	ONECUT2|9480	hsa-miR-9-5p	0.00277608545697692
53	ATP6AP2|10159	hsa-miR-148a-3p	0.00277505118965453
54	ZNF700|90592	hsa-miR-181a-5p	0.00272345427408023
55	ZFP14|57677	hsa-miR-181a-5p	0.00265483535845156
56	ZNF470|388566	hsa-miR-181b-5p	0.00263078504642787
57	ZNF225|7768	hsa-miR-23a-3p	0.00258795226848034
58	MDM4|4194	hsa-miR-34a-5p	0.00251176409464173
59	ZNF594|84622	hsa-miR-181d-5p	0.00245686126818969
60	ZNF419|79744	hsa-miR-199b-5p	0.00245236832706243
61	ZNF544|27300	hsa-miR-199b-5p	0.00241140096156705
62	ZNF676|163223	hsa-miR-23a-3p	0.00240166436214217
63	ARL2|402	hsa-miR-15b-5p	0.00239542156824851
64	ZNF594|84622	hsa-miR-181c-5p	0.00239129999307631
65	FGFRL1|53834	hsa-miR-103a-3p	0.00238512778023325
66	FIGN|55137	hsa-let-7a-5p	0.00235069941932665
67	ZNF700|90592	hsa-miR-181b-5p	0.00234853579276061
68	ZNF85|7639	hsa-miR-23a-3p	0.00233474662802684
69	ZNF107|51427	hsa-miR-130a-5p	0.002311357158732
70	ZNF844|284391	hsa-miR-181d-5p	0.00231033371771358
71	RPL31|6160	hsa-miR-23a-3p	0.002300621216118
72	ZNF14|7561	hsa-miR-181a-5p	0.00229489811137332
73	ZFP14|57677	hsa-miR-181b-5p	0.002289660727336
74	AP1S2|8905	hsa-miR-211-5p	0.00228910920879099
75	ZNF791|163049	hsa-miR-199a-5p	0.00228022661541385
76	RPL15|6138	hsa-miR-92a-3p	0.00227022022812494
77	ARL2|402	hsa-miR-16-5p	0.00226246021413513
78	ZNF844|284391	hsa-miR-181c-5p	0.00225749722009489
79	TET3|200424	hsa-miR-29c-3p	0.00225564952034302
80	GIGYF1|64599	hsa-miR-361-3p	0.00224237949948656
81	ZNF195|7748	hsa-miR-23b-3p	0.00219470597741292
82	TPT1|7178	hsa-miR-181a-2-3p	0.00214863811049693
83	IGF2|3481	hsa-miR-210-3p	0.00214815309102127
84	TET3|200424	hsa-miR-29b-3p	0.00214686269227972
85	BOK|666	hsa-miR-24-3p	0.00211448820349361
86	FIGN|55137	hsa-let-7f-5p	0.00210873226926167
87	CNPY2|10330	hsa-miR-30e-3p	0.0020992083004062
88	FIGN|55137	hsa-let-7b-5p	0.00209746478026035
89	CNPY2|10330	hsa-miR-30a-3p	0.00209602092445355
90	RPL15|6138	hsa-miR-25-3p	0.0020858510733126
91	TRIB2|28951	hsa-miR-29a-3p	0.00208455143584036
92	ZNF594|84622	hsa-miR-188-3p	0.00208366408352873
93	ZNF439|90594	hsa-miR-199a-5p	0.00207984900458913
94	ZNF525|170958	hsa-miR-23a-3p	0.00207865729056422
95	ARL2|402	hsa-miR-15a-5p	0.00203742381707629
96	ZNF788|388507	hsa-miR-199a-5p	0.00202603819216717
97	RPSAP58|388524	hsa-miR-103a-3p	0.00202167093890205
98	ZNF700|90592	hsa-miR-199b-5p	0.00201306894874284
99	RPL14|9045	hsa-miR-15b-5p	0.00199209326583552
100	ZNF14|7561	hsa-miR-181b-5p	0.00197956894330843
101	ZNF225|7768	hsa-miR-23b-3p	0.00197013258507562
102	TAX1BP3|30851	hsa-miR-338-3p	0.00195690011728654
103	ZNF267|10308	hsa-miR-23a-3p	0.00195305295532059
104	TPT1|7178	hsa-miR-211-5p	0.00194740498362192
105	ZNF140|7699	hsa-miR-181a-5p	0.0019275107954548
106	ZNF91|7644	hsa-miR-130a-5p	0.00192510820050248
107	ENO1|2023	hsa-miR-22-3p	0.0019199418060065
108	RPL14|9045	hsa-miR-16-5p	0.00191972719810305
109	ARID3B|10620	hsa-let-7a-5p	0.00189771041774447
110	FIGN|55137	hsa-let-7c-5p	0.00189444092616228
111	H3F3B|3021	hsa-miR-22-3p	0.00188352984218652
112	ZNF100|163227	hsa-miR-23a-3p	0.00187443736696578
113	GLRX5|51218	hsa-miR-148a-3p	0.00187405695375148
114	PIP4K2A|5305	hsa-miR-30d-5p	0.00187027461176872
115	GIPC3|126326	hsa-miR-185-3p	0.00185979803093145
116	MTDH|92140	hsa-miR-30d-5p	0.00185261958188656
117	PNRC2|55629	hsa-miR-23a-3p	0.00184957320017876
118	MBOAT7|79143	hsa-miR-23a-3p	0.00184486656078013
119	COL1A2|1278	hsa-miR-29a-3p	0.00182720646912328
120	ZNF266|10781	hsa-miR-181a-5p	0.00182481889856828
121	COL3A1|1281	hsa-miR-29a-3p	0.00181825311874995
122	MITF|4286	hsa-miR-148a-3p	0.00181497773945436
123	ZNF676|163223	hsa-miR-23b-3p	0.00181339226084401
124	NAA20|51126	hsa-miR-22-3p	0.00180984433450648
125	VIM|7431	hsa-miR-30d-5p	0.00180945283664089
126	ZNF85|7639	hsa-miR-23b-3p	0.00179954421992179
127	C20orf27|54976	hsa-miR-423-5p	0.00179309352197394
128	ZNF439|90594	hsa-miR-181d-5p	0.00179108120073889
129	EIF4EBP3|8637	hsa-miR-22-3p	0.00178945961413564
130	C17orf58|284018	hsa-miR-22-3p	0.0017865600241824
131	QARS|5859	hsa-let-7a-5p	0.0017635285926509
132	ZNF788|388507	hsa-miR-23a-3p	0.00175907116589683
133	CST3|1471	hsa-miR-103a-3p	0.00175890647779842
134	FIGN|55137	hsa-let-7e-5p	0.00175392907106042
135	ZNF439|90594	hsa-miR-181c-5p	0.00175342566530939
136	DCAF6|55827	hsa-miR-92a-3p	0.00174352478049747
137	FTL|2512	hsa-miR-22-3p	0.00174325094443914
138	RPL31|6160	hsa-miR-23b-3p	0.0017416672791064
139	ARID3B|10620	hsa-let-7b-5p	0.0017344134494406
140	ZNF772|400720	hsa-miR-199a-5p	0.00171373740694437
141	ZIK1|284307	hsa-miR-199a-5p	0.00169045155230038
142	RPL34|6164	hsa-miR-103a-3p	0.00168540543353202
143	ZNF420|147923	hsa-miR-181a-5p	0.00168316980885548
144	ZNF440|126070	hsa-miR-181d-5p	0.0016780126033634
145	RNF38|152006	hsa-miR-103a-3p	0.00167419054933963
146	ARID3B|10620	hsa-let-7f-5p	0.00167155553084532
147	SSR2|6746	hsa-miR-30c-2-3p	0.00166433949751288
148	ENSA|2029	hsa-miR-532-3p	0.00166300372037789
149	ZNF140|7699	hsa-miR-181b-5p	0.00166262645631293
150	BZW1|9689	hsa-let-7a-5p	0.00166093458524611
151	ZNF90|7643	hsa-miR-23a-3p	0.00165981324360537
152	ZNF788|388507	hsa-miR-181d-5p	0.00164819384873705
153	PPP2R2D|55844	hsa-miR-362-3p	0.00164506214999903
154	TMEM167B|56900	hsa-miR-28-3p	0.0016443471670854
155	ZDHHC16|84287	hsa-miR-22-3p	0.00164345388972438
156	ZNF440|126070	hsa-miR-181c-5p	0.00164202346121473
157	ZNF791|163049	hsa-miR-199b-5p	0.00164121023483667
158	ANKRA2|57763	hsa-miR-30d-5p	0.001640773731477
159	RPL14|9045	hsa-miR-15a-5p	0.00163376926393203
160	CDC34|997	hsa-let-7a-5p	0.0016336790575125
161	RPN2|6185	hsa-miR-378a-3p	0.0016333766975264
162	ZNF708|7562	hsa-miR-23a-3p	0.00162880854254622
163	SEC14L1|6397	hsa-miR-129-1-3p	0.00162123226569811
164	EVC|2121	hsa-miR-423-5p	0.00161793762787899
165	PIP4K2A|5305	hsa-miR-30a-5p	0.00161618631661221
166	ZNF563|147837	hsa-miR-199a-5p	0.0016127654222204
167	TRIB2|28951	hsa-miR-29c-3p	0.00160784985792239
168	QARS|5859	hsa-let-7b-5p	0.00160728257679241
169	SCAF1|58506	hsa-miR-423-5p	0.00160300784609375
170	ZNF788|388507	hsa-miR-181c-5p	0.0016021041747842
171	ZNF780B|163131	hsa-miR-188-3p	0.00160034540018284
