gene id	miRNA 
23543	hsa-miR-200b-3p
23543	hsa-miR-429
114044	hsa-miR-34a-5p
22828	hsa-miR-34a-5p
79834	hsa-miR-30e-5p
8683	hsa-miR-30e-5p
79892	hsa-miR-30e-5p
79834	hsa-miR-30c-5p
79892	hsa-miR-30c-5p
8683	hsa-miR-101-3p
23543	hsa-miR-186-5p
9169	hsa-miR-29b-3p
148362	hsa-miR-29b-3p
284900	hsa-miR-107
22870	hsa-miR-130a-3p
148362	hsa-miR-130a-3p
6427	hsa-miR-139-5p
11168	hsa-miR-139-5p
8226	hsa-let-7a-5p
23543	hsa-miR-200c-3p
114044	hsa-let-7i-5p
22863	hsa-miR-16-5p
9776	hsa-miR-15a-5p
22828	hsa-miR-15a-5p
22863	hsa-miR-17-5p
79834	hsa-miR-17-5p
148362	hsa-miR-17-5p
79834	hsa-miR-18a-5p
22878	hsa-miR-18a-5p
26084	hsa-miR-19a-3p
148362	hsa-miR-19a-3p
79834	hsa-miR-20a-5p
55855	hsa-miR-20a-5p
148362	hsa-miR-20a-5p
26084	hsa-miR-19b-3p
148362	hsa-miR-19b-3p
79834	hsa-miR-92a-3p
55853	hsa-miR-431-5p
253714	hsa-miR-211-5p
9169	hsa-miR-365a-3p
8683	hsa-miR-328-3p
26084	hsa-miR-22-3p
6432	hsa-miR-22-3p
6427	hsa-miR-195-5p
11168	hsa-miR-195-5p
6427	hsa-miR-497-5p
23595	hsa-miR-497-5p
11168	hsa-miR-497-5p
10929	hsa-miR-33b-5p
26084	hsa-miR-454-3p
51030	hsa-miR-454-3p
148362	hsa-miR-454-3p
148362	hsa-miR-301a-3p
11168	hsa-miR-133a-3p
6427	hsa-miR-1-3p
8683	hsa-miR-1-3p
11168	hsa-miR-1-3p
88745	hsa-miR-1-3p
22863	hsa-miR-128-3p
26084	hsa-miR-130b-3p
114044	hsa-let-7b-5p
8226	hsa-let-7b-5p
9295	hsa-let-7b-5p
22878	hsa-miR-425-5p
22863	hsa-miR-15b-5p
22828	hsa-miR-15b-5p
11168	hsa-miR-143-3p
8683	hsa-miR-206
11168	hsa-miR-133b
6427	hsa-miR-30a-5p
8683	hsa-miR-30a-5p
79892	hsa-miR-30a-5p
79834	hsa-miR-25-3p
79834	hsa-miR-93-5p
148362	hsa-miR-93-5p
79834	hsa-miR-106b-5p
9169	hsa-miR-96-5p
140890	hsa-miR-29a-3p
23383	hsa-miR-29a-3p
9295	hsa-miR-29a-3p
148362	hsa-miR-29a-3p
22878	hsa-miR-320a
23594	hsa-miR-486-5p
79834	hsa-miR-30b-5p
79892	hsa-miR-30b-5p
79834	hsa-miR-30d-5p
8683	hsa-miR-30d-5p
79892	hsa-miR-30d-5p
6432	hsa-miR-23b-3p
79834	hsa-miR-32-5p
414241	hsa-miR-221-3p
439965	hsa-miR-221-3p
414241	hsa-miR-222-3p
439965	hsa-miR-222-3p
23543	hsa-miR-98-5p
22828	hsa-miR-223-3p
6430	hsa-miR-421
22870	hsa-miR-374b-5p
79834	hsa-miR-20b-5p
79834	hsa-miR-18b-5p
79834	hsa-miR-106a-5p
0	hsa-miR-424-5p
22828	hsa-miR-424-5p
9701	hsa-miR-424-5p
84726	hsa-miR-34a-5p
23215	hsa-miR-34a-5p
440145	hsa-miR-30c-5p
285672	hsa-miR-186-5p
10772	hsa-miR-214-3p
23384	hsa-miR-181b-5p
84726	hsa-miR-15a-5p
84726	hsa-miR-494-3p
23215	hsa-miR-22-3p
84726	hsa-miR-195-5p
23215	hsa-miR-338-3p
84726	hsa-miR-27a-3p
84726	hsa-miR-103a-3p
10772	hsa-let-7b-5p
440145	hsa-miR-30a-5p
285672	hsa-miR-183-5p
440145	hsa-miR-30b-5p
440145	hsa-miR-30d-5p
84726	hsa-miR-221-3p
84726	hsa-miR-222-3p
285672	hsa-miR-421
653653	hsa-miR-15a-5p
653653	hsa-miR-27a-3p
653653	hsa-miR-128-3p
653653	hsa-miR-26b-5p
149047	hsa-miR-183-5p
653653	hsa-miR-27b-3p
64844	hsa-miR-200a-3p
4735	hsa-miR-34a-5p
4735	hsa-miR-30e-5p
989	hsa-miR-30e-5p
989	hsa-miR-30c-5p
55752	hsa-miR-101-3p
4735	hsa-miR-101-3p
55752	hsa-miR-186-5p
23176	hsa-miR-186-5p
989	hsa-miR-186-5p
9403	hsa-miR-320b
10299	hsa-miR-214-3p
4735	hsa-miR-16-5p
4735	hsa-miR-15a-5p
23157	hsa-miR-15a-5p
4735	hsa-miR-17-5p
989	hsa-miR-17-5p
4735	hsa-miR-20a-5p
989	hsa-miR-20a-5p
4735	hsa-miR-203a-3p
4735	hsa-miR-7-5p
64844	hsa-miR-324-5p
9403	hsa-miR-152-3p
64844	hsa-miR-142-3p
9403	hsa-miR-454-3p
989	hsa-miR-454-3p
989	hsa-miR-301a-3p
23176	hsa-miR-338-3p
10299	hsa-miR-27a-3p
10299	hsa-miR-150-5p
55016	hsa-miR-103a-3p
54708	hsa-miR-103a-3p
10299	hsa-miR-155-5p
989	hsa-miR-130b-3p
4735	hsa-miR-425-5p
4735	hsa-miR-15b-5p
989	hsa-miR-30a-5p
4735	hsa-miR-590-5p
989	hsa-miR-590-3p
4735	hsa-miR-93-5p
989	hsa-miR-93-5p
4735	hsa-miR-106b-5p
989	hsa-miR-106b-5p
989	hsa-miR-182-5p
9403	hsa-miR-30b-5p
64844	hsa-miR-30b-5p
4735	hsa-miR-30b-5p
989	hsa-miR-30b-5p
989	hsa-miR-30d-5p
23176	hsa-miR-223-3p
4735	hsa-miR-20b-5p
989	hsa-miR-20b-5p
989	hsa-miR-106a-5p
57589	hsa-miR-200b-3p
255919	hsa-miR-200b-3p
26258	hsa-miR-200b-3p
56985	hsa-miR-200b-3p
56160	hsa-miR-200b-3p
23271	hsa-miR-200b-3p
8613	hsa-miR-200b-3p
55319	hsa-miR-200b-3p
11041	hsa-miR-200b-3p
170954	hsa-miR-200b-3p
54471	hsa-miR-200b-3p
80723	hsa-miR-200b-3p
64645	hsa-miR-200a-3p
23271	hsa-miR-200a-3p
23266	hsa-miR-200a-3p
57589	hsa-miR-429
255919	hsa-miR-429
56985	hsa-miR-429
27351	hsa-miR-429
56160	hsa-miR-429
170954	hsa-miR-429
84437	hsa-miR-429
91748	hsa-miR-429
26258	hsa-miR-429
23271	hsa-miR-429
11041	hsa-miR-429
56946	hsa-miR-34a-5p
153222	hsa-miR-34a-5p
8613	hsa-miR-34a-5p
4297	hsa-miR-34a-5p
64430	hsa-miR-34a-5p
55706	hsa-miR-34a-5p
25843	hsa-miR-34a-5p
159371	hsa-miR-34a-5p
91748	hsa-miR-34a-5p
116224	hsa-miR-34a-5p
27161	hsa-miR-34a-5p
5612	hsa-miR-34a-5p
51430	hsa-miR-34a-5p
4610	hsa-miR-34a-5p
55233	hsa-miR-34a-5p
55425	hsa-miR-34a-5p
8085	hsa-miR-34a-5p
51527	hsa-miR-30e-5p
64645	hsa-miR-30e-5p
154743	hsa-miR-30e-5p
56005	hsa-miR-30e-5p
26128	hsa-miR-30e-5p
80723	hsa-miR-30e-5p
51714	hsa-miR-30e-5p
168455	hsa-miR-30e-5p
27161	hsa-miR-30e-3p
51527	hsa-miR-30c-5p
64645	hsa-miR-30c-5p
805	hsa-miR-30c-5p
56005	hsa-miR-30c-5p
26128	hsa-miR-30c-5p
27161	hsa-miR-30c-5p
57724	hsa-miR-30c-5p
26258	hsa-miR-30c-5p
6734	hsa-miR-30c-5p
168455	hsa-miR-30c-5p
51527	hsa-miR-101-3p
55714	hsa-miR-101-3p
58489	hsa-miR-101-3p
805	hsa-miR-101-3p
23255	hsa-miR-101-3p
55706	hsa-miR-101-3p
54920	hsa-miR-101-3p
11068	hsa-miR-101-3p
23271	hsa-miR-101-3p
55571	hsa-miR-101-3p
51029	hsa-miR-101-3p
647087	hsa-miR-101-3p
55257	hsa-miR-101-3p
220042	hsa-miR-101-3p
9780	hsa-miR-101-3p
51714	hsa-miR-101-3p
154743	hsa-miR-186-5p
155370	hsa-miR-186-5p
58508	hsa-miR-186-5p
55904	hsa-miR-186-5p
49854	hsa-miR-186-5p
168455	hsa-miR-186-5p
57213	hsa-miR-186-5p
192670	hsa-miR-137
9414	hsa-miR-137
10472	hsa-miR-137
79960	hsa-miR-137
