gene id	miRNA
200030	hsa-miR-23b-3p
728340	hsa-miR-455-5p
9502	hsa-miR-374a-5p
6218	hsa-miR-10a-5p
6218	hsa-miR-10b-5p
24150	hsa-miR-193b-3p
24150	hsa-miR-374a-5p
24150	hsa-miR-27a-3p
24150	hsa-miR-23b-3p
7077	hsa-miR-30a-3p
84251	hsa-miR-199a-5p
84251	hsa-miR-122-5p
84871	hsa-miR-30e-3p
84871	hsa-miR-27a-3p
84871	hsa-miR-139-5p
55707	hsa-miR-23b-3p
113451	hsa-miR-374a-5p
113451	hsa-miR-27a-3p
50651	hsa-miR-30e-3p
50651	hsa-miR-139-5p
25932	hsa-miR-302a-3p
25932	hsa-miR-520f-3p
7049	hsa-miR-193b-3p
7049	hsa-miR-381-3p
7049	hsa-miR-374a-5p
7049	hsa-miR-23b-3p
1629	hsa-miR-376a-5p
58497	hsa-miR-374a-5p
81563	hsa-miR-374a-5p
64326	hsa-miR-374a-5p
286826	hsa-miR-21-5p
5590	hsa-miR-30a-3p
5590	hsa-miR-30d-5p
5590	hsa-miR-374a-5p
5590	hsa-miR-27a-3p
5590	hsa-miR-139-5p
5590	hsa-miR-23b-3p
23261	hsa-miR-100-5p
23261	hsa-miR-193b-3p
23261	hsa-miR-27a-3p
23261	hsa-miR-137
63976	hsa-miR-100-5p
63976	hsa-miR-23b-3p
2048	hsa-miR-139-5p
3925	hsa-miR-193b-3p
3925	hsa-miR-132-3p
3925	hsa-miR-10a-5p
3925	hsa-miR-10b-5p
3925	hsa-miR-21-5p
3925	hsa-miR-137
10657	hsa-miR-10a-5p
10657	hsa-miR-10b-5p
2140	hsa-miR-30e-3p
2140	hsa-let-7d-5p
2140	hsa-miR-30b-5p
2140	hsa-miR-374a-5p
2140	hsa-miR-139-5p
2035	hsa-let-7d-5p
2035	hsa-miR-374a-5p
2035	hsa-miR-23b-3p
23499	hsa-miR-27a-3p
114784	hsa-miR-27a-3p
388630	hsa-miR-520f-3p
5792	hsa-miR-27b-3p
5792	hsa-miR-374a-5p
5865	hsa-miR-302a-3p
5865	hsa-miR-372-3p
5865	hsa-miR-520f-3p
5865	hsa-miR-520c-3p
6342	hsa-miR-30b-5p
6342	hsa-miR-374a-5p
6342	hsa-miR-23b-3p
11124	hsa-miR-10b-5p
11124	hsa-miR-374a-5p
127428	hsa-miR-27a-3p
7398	hsa-miR-21-5p
7398	hsa-miR-137
4774	hsa-miR-302a-3p
4774	hsa-miR-374a-5p
4774	hsa-miR-137
4774	hsa-miR-23b-3p
3953	hsa-miR-30a-3p
3953	hsa-miR-30d-5p
3953	hsa-miR-27a-3p
3953	hsa-miR-23b-3p
23421	hsa-miR-10b-5p
23421	hsa-miR-21-5p
55277	hsa-miR-520f-3p
55277	hsa-miR-137
257194	hsa-miR-374a-5p
257194	hsa-miR-27a-3p
257194	hsa-miR-139-5p
257194	hsa-miR-23b-3p
10026	hsa-miR-10a-5p
10026	hsa-miR-10b-5p
10026	hsa-miR-27a-3p
22802	hsa-miR-374a-5p
22802	hsa-miR-27a-3p
22802	hsa-miR-137
23576	hsa-miR-193b-3p
23576	hsa-miR-21-5p
84230	hsa-miR-30e-3p
84230	hsa-miR-27a-3p
84230	hsa-miR-137
84230	hsa-miR-139-5p
2730	hsa-miR-10a-5p
388650	hsa-miR-155-5p
22854	hsa-miR-30a-3p
22854	hsa-miR-30d-5p
22854	hsa-miR-302a-3p
22854	hsa-miR-520f-3p
22854	hsa-miR-21-5p
22854	hsa-miR-199a-5p
22854	hsa-miR-27a-3p
22854	hsa-miR-137
22854	hsa-miR-23b-3p
5906	hsa-miR-520f-3p
5906	hsa-miR-374a-5p
3737	hsa-miR-27a-3p
389	hsa-miR-374a-5p
389	hsa-miR-23b-3p
10745	hsa-miR-374a-5p
4853	hsa-miR-199a-5p
440670	hsa-miR-302a-3p
440670	hsa-miR-520f-3p
440673	hsa-miR-10a-5p
440673	hsa-miR-10b-5p
440673	hsa-miR-32-5p
5174	hsa-miR-100-5p
5174	hsa-miR-199a-5p
5174	hsa-miR-374a-5p
641559	hsa-miR-27a-3p
7170	hsa-let-7d-5p
7170	hsa-miR-374a-5p
7170	hsa-miR-139-5p
5087	hsa-let-7d-5p
5087	hsa-miR-374a-5p
2212	hsa-miR-27a-3p
8995	hsa-miR-100-5p
8995	hsa-miR-137
26052	hsa-miR-100-5p
26052	hsa-miR-376a-5p
6646	hsa-miR-30e-3p
6646	hsa-miR-376a-5p
6646	hsa-miR-199a-5p
6646	hsa-miR-139-5p
9887	hsa-miR-23b-3p
353299	hsa-miR-27a-3p
353299	hsa-miR-497-5p
57795	hsa-miR-372-3p
57795	hsa-miR-374a-5p
9462	hsa-miR-30e-3p
9462	hsa-miR-139-5p
9462	hsa-miR-23b-3p
5743	hsa-miR-30e-3p
5743	hsa-miR-27a-3p
5743	hsa-miR-139-5p
140609	hsa-miR-374a-5p
360023	hsa-miR-100-5p
360023	hsa-miR-374a-5p
4660	hsa-miR-520f-3p
4660	hsa-miR-376a-5p
23380	hsa-miR-27a-3p
55509	hsa-miR-137
2104	hsa-miR-137
7399	hsa-miR-376a-5p
1772	hsa-miR-376a-5p
1772	hsa-miR-374a-5p
1772	hsa-miR-139-5p
2058	hsa-miR-10a-5p
2058	hsa-miR-10b-5p
55746	hsa-miR-10a-5p
55746	hsa-miR-520f-3p
6000	hsa-miR-21-5p
6000	hsa-miR-199a-5p
6000	hsa-miR-27a-3p
1130	hsa-miR-17-3p
984	hsa-miR-302a-3p
984	hsa-miR-520f-3p
54998	hsa-miR-27a-3p
65220	hsa-miR-23b-3p
388581	hsa-miR-30d-5p
388581	hsa-miR-23b-3p
6497	hsa-miR-448
6497	hsa-miR-302a-3p
6497	hsa-miR-520f-3p
8764	hsa-miR-302a-3p
1677	hsa-miR-374a-5p
1953	hsa-miR-520f-3p
1953	hsa-miR-374a-5p
1953	hsa-miR-27a-3p
55966	hsa-miR-376a-5p
8514	hsa-miR-27a-3p
8514	hsa-miR-137
